,datestamp,estimated_actual_footfall,year,month,weekday,week_of_year,Sin_weekday,Cos_weekday,Sin_monthday,Cos_monthday,Sin_week_of_year,Cos_week_of_year,Sin_month,Cos_month,is_weekend,bank_hol,school_hol,covid,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,daylight_duration,area_name,area_Bradford - BID,area_Bradford - City Centre,area_Bradford - Lister Park,area_Bradford - Local Authority,area_Bradford - Roberts Park
1,2019-01-01,54153.485,2019,1,1,1,0.8660254037844386,0.5000000000000001,0.20129852008866,0.9795299412524944,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,1,1,0,6.1583333,0.0,24.490587,27067.838,Bradford - BID,1,0,0,0,0
2,2019-01-01,530996.0,2019,1,1,1,0.8660254037844386,0.5000000000000001,0.20129852008866,0.9795299412524944,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,1,1,0,6.0244994,0.1,28.460497,27067.838,Bradford - Local Authority,0,0,0,1,0
4,2019-01-02,158891.385,2019,1,2,1,0.8660254037844387,-0.4999999999999998,0.3943558551133185,0.9189578116202306,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,0,1,0,2.3041668,0.0,10.086427,27147.844,Bradford - BID,1,0,0,0,0
5,2019-01-02,568621.0,2019,1,2,1,0.8660254037844387,-0.4999999999999998,0.3943558551133185,0.9189578116202306,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,0,1,0,1.5661669,0.0,8.4963045,27147.844,Bradford - Local Authority,0,0,0,1,0
7,2019-01-03,56947.585,2019,1,3,1,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,0,1,0,0.38749996,0.0,6.4799995,27235.123,Bradford - BID,1,0,0,0,0
8,2019-01-03,606939.0,2019,1,3,1,1.2246467991473532e-16,-1.0,0.5712682150947923,0.8207634412072763,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,0,1,0,0.73908323,0.0,6.87779,27235.123,Bradford - Local Authority,0,0,0,1,0
10,2019-01-04,35202.405,2019,1,4,1,-0.8660254037844385,-0.5000000000000004,0.72479278722912,0.6889669190756866,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,0,1,0,2.0645833,0.0,15.629971,27329.416,Bradford - BID,1,0,0,0,0
11,2019-01-04,508695.0,2019,1,4,1,-0.8660254037844385,-0.5000000000000004,0.72479278722912,0.6889669190756866,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,0,1,0,2.3995,0.0,16.09969,27329.416,Bradford - Local Authority,0,0,0,1,0
13,2019-01-05,92953.335,2019,1,5,1,-0.8660254037844386,0.5000000000000001,0.8486442574947509,0.5289640103269624,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,1,0,0,0,3.76875,0.0,14.168641,27430.486,Bradford - BID,1,0,0,0,0
14,2019-01-05,468546.0,2019,1,5,1,-0.8660254037844386,0.5000000000000001,0.8486442574947509,0.5289640103269624,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,1,0,0,0,4.136999,0.0,18.331741,27430.486,Bradford - Local Authority,0,0,0,1,0
16,2019-01-06,41867.825,2019,1,6,1,-2.4492935982947064e-16,1.0,0.9377521321470804,0.3473052528448203,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,1,0,0,0,6.90625,0.0,20.696085,27538.08,Bradford - BID,1,0,0,0,0
17,2019-01-06,410141.0,2019,1,6,1,-2.4492935982947064e-16,1.0,0.9377521321470804,0.3473052528448203,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,1,0,0,0,6.9849167,0.0,19.211996,27538.08,Bradford - Local Authority,0,0,0,1,0
21,2019-01-07,51098.965,2019,1,0,2,0.0,1.0,0.9884683243281114,0.1514277775045767,0.2348860457809836,0.9720229140804107,0.4999999999999999,0.8660254037844387,0,0,0,0,8.106251,1.5000001,34.62369,27651.951,Bradford - BID,1,0,0,0,0
22,2019-01-07,98332.65,2019,1,0,2,0.0,1.0,0.9884683243281114,0.1514277775045767,0.2348860457809836,0.9720229140804107,0.4999999999999999,0.8660254037844387,0,0,0,0,8.106251,1.5000001,34.62369,27651.951,Bradford - City Centre,0,1,0,0,0
23,2019-01-07,13050.005,2019,1,0,2,0.0,1.0,0.9884683243281114,0.1514277775045767,0.2348860457809836,0.9720229140804107,0.4999999999999999,0.8660254037844387,0,0,0,0,8.106251,1.5000001,34.62369,27651.951,Bradford - Lister Park,0,0,1,0,0
24,2019-01-07,488741.0,2019,1,0,2,0.0,1.0,0.9884683243281114,0.1514277775045767,0.2348860457809836,0.9720229140804107,0.4999999999999999,0.8660254037844387,0,0,0,0,8.051583,2.7,39.04631,27651.951,Bradford - Local Authority,0,0,0,1,0
25,2019-01-07,9753.705,2019,1,0,2,0.0,1.0,0.9884683243281114,0.1514277775045767,0.2348860457809836,0.9720229140804107,0.4999999999999999,0.8660254037844387,0,0,0,0,8.106251,1.5000001,34.62369,27651.951,Bradford - Roberts Park,0,0,0,0,1
30,2019-01-08,70184.155,2019,1,1,2,0.8660254037844386,0.5000000000000001,0.9987165071710528,-0.0506491688387126,0.2348860457809836,0.9720229140804107,0.4999999999999999,0.8660254037844387,0,0,0,0,4.670833,0.0,30.124065,27771.846,Bradford - BID,1,0,0,0,0
31,2019-01-08,70403.68,2019,1,1,2,0.8660254037844386,0.5000000000000001,0.9987165071710528,-0.0506491688387126,0.2348860457809836,0.9720229140804107,0.4999999999999999,0.8660254037844387,0,0,0,0,4.670833,0.0,30.124065,27771.846,Bradford - City Centre,0,1,0,0,0
32,2019-01-08,5636.28,2019,1,1,2,0.8660254037844386,0.5000000000000001,0.9987165071710528,-0.0506491688387126,0.2348860457809836,0.9720229140804107,0.4999999999999999,0.8660254037844387,0,0,0,0,4.670833,0.0,30.124065,27771.846,Bradford - Lister Park,0,0,1,0,0
33,2019-01-08,490209.0,2019,1,1,2,0.8660254037844386,0.5000000000000001,0.9987165071710528,-0.0506491688387126,0.2348860457809836,0.9720229140804107,0.4999999999999999,0.8660254037844387,0,0,0,0,4.6515827,0.0,28.73242,27771.846,Bradford - Local Authority,0,0,0,1,0
34,2019-01-08,2818.14,2019,1,1,2,0.8660254037844386,0.5000000000000001,0.9987165071710528,-0.0506491688387126,0.2348860457809836,0.9720229140804107,0.4999999999999999,0.8660254037844387,0,0,0,0,4.670833,0.0,30.124065,27771.846,Bradford - Roberts Park,0,0,0,0,1
