,datestamp,estimated_actual_footfall,year,month,weekday,week_of_year,Sin_weekday,Cos_weekday,Sin_monthday,Cos_monthday,Sin_week_of_year,Cos_week_of_year,Sin_month,Cos_month,is_weekend,bank_hol,school_hol,covid,temperature_2m_mean,precipitation_sum,wind_speed_10m_max,daylight_duration,area_name,area_Bradford - BID,area_Bradford - City Centre,area_Bradford - Lister Park,area_Bradford - Local Authority,area_Bradford - Roberts Park
23570,2025-01-01,93047.155,2025,1,2,1,0.8660254037844387,-0.4999999999999998,0.20129852008866,0.9795299412524944,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,1,1,0,5.1874995,30.1,26.587042,27122.145,Bradford - BID,1,0,0,0,0
23571,2025-01-01,58830.4,2025,1,2,1,0.8660254037844387,-0.4999999999999998,0.20129852008866,0.9795299412524944,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,1,1,0,5.1874995,30.1,26.587042,27122.145,Bradford - City Centre,0,1,0,0,0
23572,2025-01-01,35005.45,2025,1,2,1,0.8660254037844387,-0.4999999999999998,0.20129852008866,0.9795299412524944,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,1,1,0,5.1874995,30.1,26.587042,27122.145,Bradford - Lister Park,0,0,1,0,0
23573,2025-01-01,577601.0,2025,1,2,1,0.8660254037844387,-0.4999999999999998,0.20129852008866,0.9795299412524944,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,1,1,0,4.9307494,29.900003,30.60688,27122.145,Bradford - Local Authority,0,0,0,1,0
23574,2025-01-01,6041.47,2025,1,2,1,0.8660254037844387,-0.4999999999999998,0.20129852008866,0.9795299412524944,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,1,1,0,5.1874995,30.1,26.587042,27122.145,Bradford - Roberts Park,0,0,0,0,1
23581,2025-01-02,107165.89,2025,1,3,1,1.2246467991473532e-16,-1.0,0.3943558551133185,0.9189578116202306,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,0,1,0,-0.78958327,0.0,13.379461,27203.908,Bradford - BID,1,0,0,0,0
23582,2025-01-02,60005.72,2025,1,3,1,1.2246467991473532e-16,-1.0,0.3943558551133185,0.9189578116202306,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,0,1,0,-0.78958327,0.0,13.379461,27203.908,Bradford - City Centre,0,1,0,0,0
23583,2025-01-02,42658.16,2025,1,3,1,1.2246467991473532e-16,-1.0,0.3943558551133185,0.9189578116202306,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,0,1,0,-0.78958327,0.0,13.379461,27203.908,Bradford - Lister Park,0,0,1,0,0
23584,2025-01-02,607459.0,2025,1,3,1,1.2246467991473532e-16,-1.0,0.3943558551133185,0.9189578116202306,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,0,1,0,-1.0525833,0.0,14.288191,27203.908,Bradford - Local Authority,0,0,0,1,0
23585,2025-01-02,8499.36,2025,1,3,1,1.2246467991473532e-16,-1.0,0.3943558551133185,0.9189578116202306,0.1182731709213658,0.9929810960135168,0.4999999999999999,0.8660254037844387,0,0,1,0,-0.78958327,0.0,13.379461,27203.908,Bradford - Roberts Park,0,0,0,0,1
