area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Bradford - Penistone Hill,dayOfWeek,Monday,1170437.14,3180.54,209493.4080805151,569.276333914354,960943.7319194848,2611.263666085646
Bradford - Penistone Hill,dayOfWeek,Tuesday,1087443.4,2955.01,194638.58089863998,528.9093234105703,892804.8191013599,2426.10067658943
Bradford - Penistone Hill,dayOfWeek,Wednesday,1176821.75,3197.89,210636.17232000682,572.3817639336005,966185.5776799932,2625.5082360663996
Bradford - Penistone Hill,dayOfWeek,Thursday,1125221.93,3057.67,201400.4587744326,547.2841617838175,923821.4712255673,2510.3858382161825
Bradford - Penistone Hill,dayOfWeek,Friday,1178366.73,3202.08,210912.70415119617,573.1317208085654,967454.0258488038,2628.9482791914343
Bradford - Penistone Hill,dayOfWeek,Saturday,1470361.04,3995.55,263175.98344359663,715.1527903976989,1207185.0565564034,3280.3972096023012
Bradford - Penistone Hill,dayOfWeek,Sunday,1488829.59,4045.73,266481.61973074096,724.1343741651793,1222347.970269259,3321.5956258348206
Bradford - Penistone Hill,daily,2019-01-04,2056.59,2056.59,172.90670565978238,172.90670565978238,1883.6832943402178,1883.6832943402178
Bradford - Penistone Hill,daily,2019-01-05,4987.24,4987.24,1829.0812061210934,1829.0812061210934,3158.158793878906,3158.158793878906
Bradford - Penistone Hill,daily,2019-01-07,2493.62,2493.62,209.6497694568905,209.6497694568905,2283.9702305431097,2283.9702305431097
Bradford - Penistone Hill,daily,2019-01-11,2056.59,2056.59,172.90670565978238,172.90670565978238,1883.6832943402178,1883.6832943402178
Bradford - Penistone Hill,daily,2019-01-12,4987.24,4987.24,1829.0812061210934,1829.0812061210934,3158.158793878906,3158.158793878906
Bradford - Penistone Hill,daily,2019-01-18,2056.59,2056.59,172.90670565978238,172.90670565978238,1883.6832943402178,1883.6832943402178
Bradford - Penistone Hill,daily,2019-01-25,2056.59,2056.59,172.90670565978238,172.90670565978238,1883.6832943402178,1883.6832943402178
Bradford - Penistone Hill,daily,2019-01-27,2445.36,2445.36,896.8411422350392,896.8411422350392,1548.5188577649608,1548.5188577649608
Bradford - Penistone Hill,daily,2019-01-30,5123.65,5123.65,430.7681367962228,430.7681367962228,4692.881863203777,4692.881863203777
Bradford - Penistone Hill,daily,2019-02-03,2445.36,2445.36,896.8411422350392,896.8411422350392,1548.5188577649608,1548.5188577649608
Bradford - Penistone Hill,daily,2019-02-06,5123.65,5123.65,430.7681367962228,430.7681367962228,4692.881863203777,4692.881863203777
Bradford - Penistone Hill,daily,2019-02-10,2445.36,2445.36,896.8411422350392,896.8411422350392,1548.5188577649608,1548.5188577649608
Bradford - Penistone Hill,daily,2019-02-13,5123.65,5123.65,430.7681367962228,430.7681367962228,4692.881863203777,4692.881863203777
Bradford - Penistone Hill,daily,2019-02-14,2493.62,2493.62,209.6497694568905,209.6497694568905,2283.9702305431097,2283.9702305431097
Bradford - Penistone Hill,daily,2019-02-17,2445.36,2445.36,896.8411422350392,896.8411422350392,1548.5188577649608,1548.5188577649608
Bradford - Penistone Hill,daily,2019-02-20,5123.65,5123.65,430.7681367962228,430.7681367962228,4692.881863203777,4692.881863203777
Bradford - Penistone Hill,daily,2019-02-21,2493.62,2493.62,209.6497694568905,209.6497694568905,2283.9702305431097,2283.9702305431097
Bradford - Penistone Hill,daily,2019-02-24,19562.86,19562.86,7174.721802836458,7174.721802836458,12388.138197163542,12388.138197163542
Bradford - Penistone Hill,daily,2019-02-27,40989.21,40989.21,3446.1459351144404,3446.1459351144404,37543.06406488556,37543.06406488556
Bradford - Penistone Hill,daily,2019-02-28,2493.62,2493.62,209.6497694568905,209.6497694568905,2283.9702305431097,2283.9702305431097
Bradford - Penistone Hill,daily,2019-03-03,2445.36,2445.36,896.8411422350392,896.8411422350392,1548.5188577649608,1548.5188577649608
Bradford - Penistone Hill,daily,2019-03-06,5123.65,5123.65,430.7681367962228,430.7681367962228,4692.881863203777,4692.881863203777
Bradford - Penistone Hill,daily,2019-03-07,2493.62,2493.62,209.6497694568905,209.6497694568905,2283.9702305431097,2283.9702305431097
Bradford - Penistone Hill,daily,2019-03-10,2445.36,2445.36,896.8411422350392,896.8411422350392,1548.5188577649608,1548.5188577649608
Bradford - Penistone Hill,daily,2019-03-13,5123.65,5123.65,430.7681367962228,430.7681367962228,4692.881863203777,4692.881863203777
Bradford - Penistone Hill,daily,2019-03-14,19948.97,19948.97,1677.1989963997823,1677.1989963997823,18271.77100360022,18271.77100360022
Bradford - Penistone Hill,daily,2019-03-17,2445.36,2445.36,896.8411422350392,896.8411422350392,1548.5188577649608,1548.5188577649608
Bradford - Penistone Hill,daily,2019-03-20,5123.65,5123.65,430.7681367962228,430.7681367962228,4692.881863203777,4692.881863203777
Bradford - Penistone Hill,daily,2019-03-21,2493.62,2493.62,209.6497694568905,209.6497694568905,2283.9702305431097,2283.9702305431097
