area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
BD Walls RAVO,dayOfWeek,Monday,159703.56,2851.85,159703.56,2851.85,159703.56,2851.85
BD Walls RAVO,dayOfWeek,Tuesday,199000.16,3553.57,199000.16,3553.57,199000.16,3553.57
BD Walls RAVO,dayOfWeek,Wednesday,216207.98,3860.86,216207.98,3860.86,216207.98,3860.86
BD Walls RAVO,dayOfWeek,Thursday,233415.8,4168.14,233415.8,4168.14,233415.8,4168.14
BD Walls RAVO,dayOfWeek,Friday,220698.19,3941.04,220698.19,3941.04,220698.19,3941.04
BD Walls RAVO,dayOfWeek,Saturday,171269.69,3058.39,171269.69,3058.39,171269.69,3058.39
BD Walls RAVO,dayOfWeek,Sunday,189425.65,3382.6,189425.65,3382.6,189425.65,3382.6
BD Walls RAVO,daily,2024-12-28,1122.86,1122.86,1122.86,1122.86,1122.86,1122.86
BD Walls RAVO,daily,2024-12-31,1059.23,1059.23,1059.23,1059.23,1059.23,1059.23
BD Walls RAVO,daily,2025-01-07,1059.23,1059.23,1059.23,1059.23,1059.23,1059.23
BD Walls RAVO,daily,2025-01-09,690.12,690.12,690.12,690.12,690.12,690.12
BD Walls RAVO,daily,2025-01-16,690.12,690.12,690.12,690.12,690.12,690.12
BD Walls RAVO,daily,2025-01-23,690.12,690.12,690.12,690.12,690.12,690.12
BD Walls RAVO,daily,2025-01-30,690.12,690.12,690.12,690.12,690.12,690.12
BD Walls RAVO,daily,2025-02-06,5520.92,5520.92,5520.92,5520.92,5520.92,5520.92
BD Walls RAVO,daily,2025-02-13,690.12,690.12,690.12,690.12,690.12,690.12
BD Walls RAVO,daily,2025-02-20,690.12,690.12,690.12,690.12,690.12,690.12
BD Walls RAVO,daily,2025-02-22,1001.36,1001.36,1001.36,1001.36,1001.36,1001.36
BD Walls RAVO,daily,2025-02-25,1122.77,1122.77,1122.77,1122.77,1122.77,1122.77
BD Walls RAVO,daily,2025-02-27,690.12,690.12,690.12,690.12,690.12,690.12
BD Walls RAVO,daily,2025-03-01,1001.36,1001.36,1001.36,1001.36,1001.36,1001.36
BD Walls RAVO,daily,2025-03-04,1122.77,1122.77,1122.77,1122.77,1122.77,1122.77
BD Walls RAVO,daily,2025-03-06,690.12,690.12,690.12,690.12,690.12,690.12
BD Walls RAVO,daily,2025-03-08,1001.36,1001.36,1001.36,1001.36,1001.36,1001.36
BD Walls RAVO,daily,2025-03-11,1122.77,1122.77,1122.77,1122.77,1122.77,1122.77
BD Walls RAVO,daily,2025-03-14,2425.29,2425.29,2425.29,2425.29,2425.29,2425.29
BD Walls RAVO,daily,2025-03-15,1001.36,1001.36,1001.36,1001.36,1001.36,1001.36
BD Walls RAVO,daily,2025-03-16,1656.89,1656.89,1656.89,1656.89,1656.89,1656.89
BD Walls RAVO,daily,2025-03-17,1265.68,1265.68,1265.68,1265.68,1265.68,1265.68
BD Walls RAVO,daily,2025-03-18,1122.77,1122.77,1122.77,1122.77,1122.77,1122.77
BD Walls RAVO,daily,2025-03-21,2425.29,2425.29,2425.29,2425.29,2425.29,2425.29
BD Walls RAVO,daily,2025-03-22,8010.91,8010.91,8010.91,8010.91,8010.91,8010.91
BD Walls RAVO,daily,2025-03-23,1656.89,1656.89,1656.89,1656.89,1656.89,1656.89
BD Walls RAVO,daily,2025-03-24,1265.68,1265.68,1265.68,1265.68,1265.68,1265.68
BD Walls RAVO,daily,2025-03-25,8982.15,8982.15,8982.15,8982.15,8982.15,8982.15
BD Walls RAVO,daily,2025-03-28,2425.29,2425.29,2425.29,2425.29,2425.29,2425.29
BD Walls RAVO,daily,2025-03-29,1001.36,1001.36,1001.36,1001.36,1001.36,1001.36
BD Walls RAVO,daily,2025-03-30,1656.89,1656.89,1656.89,1656.89,1656.89,1656.89
BD Walls RAVO,daily,2025-03-31,1265.68,1265.68,1265.68,1265.68,1265.68,1265.68
BD Walls RAVO,daily,2025-04-01,1122.77,1122.77,1122.77,1122.77,1122.77,1122.77
BD Walls RAVO,daily,2025-04-04,2425.29,2425.29,2425.29,2425.29,2425.29,2425.29
BD Walls RAVO,daily,2025-04-05,1001.36,1001.36,1001.36,1001.36,1001.36,1001.36
BD Walls RAVO,daily,2025-04-06,1656.89,1656.89,1656.89,1656.89,1656.89,1656.89
BD Walls RAVO,daily,2025-04-07,1265.68,1265.68,1265.68,1265.68,1265.68,1265.68
BD Walls RAVO,daily,2025-04-08,1122.77,1122.77,1122.77,1122.77,1122.77,1122.77
BD Walls RAVO,daily,2025-04-11,19402.34,19402.34,19402.34,19402.34,19402.34,19402.34
BD Walls RAVO,daily,2025-04-12,1001.36,1001.36,1001.36,1001.36,1001.36,1001.36
BD Walls RAVO,daily,2025-04-13,13255.14,13255.14,13255.14,13255.14,13255.14,13255.14
BD Walls RAVO,daily,2025-04-14,10125.45,10125.45,10125.45,10125.45,10125.45,10125.45
BD Walls RAVO,daily,2025-04-15,1122.77,1122.77,1122.77,1122.77,1122.77,1122.77
BD Walls RAVO,daily,2025-04-18,2425.29,2425.29,2425.29,2425.29,2425.29,2425.29
BD Walls RAVO,daily,2025-04-19,1001.36,1001.36,1001.36,1001.36,1001.36,1001.36
BD Walls RAVO,daily,2025-04-20,1656.89,1656.89,1656.89,1656.89,1656.89,1656.89
BD Walls RAVO,daily,2025-04-21,1265.68,1265.68,1265.68,1265.68,1265.68,1265.68
BD Walls RAVO,daily,2025-04-22,1122.77,1122.77,1122.77,1122.77,1122.77,1122.77
BD Walls RAVO,daily,2025-04-25,2425.29,2425.29,2425.29,2425.29,2425.29,2425.29
BD Walls RAVO,daily,2025-04-27,1656.89,1656.89,1656.89,1656.89,1656.89,1656.89
BD Walls RAVO,daily,2025-04-28,1265.68,1265.68,1265.68,1265.68,1265.68,1265.68
BD Walls RAVO,daily,2025-05-02,2425.29,2425.29,2425.29,2425.29,2425.29,2425.29
BD Walls RAVO,daily,2025-05-04,1656.89,1656.89,1656.89,1656.89,1656.89,1656.89
BD Walls RAVO,daily,2025-05-05,1265.68,1265.68,1265.68,1265.68,1265.68,1265.68
BD Walls RAVO,daily,2025-05-09,2425.29,2425.29,2425.29,2425.29,2425.29,2425.29
BD Walls RAVO,daily,2025-05-11,1656.89,1656.89,1656.89,1656.89,1656.89,1656.89
BD Walls RAVO,daily,2025-05-12,1265.68,1265.68,1265.68,1265.68,1265.68,1265.68
BD Walls RAVO,daily,2025-08-01,1646,1646,1646,1646,1646,1646
BD Walls RAVO,daily,2025-08-08,1646,1646,1646,1646,1646,1646
BD Walls RAVO,daily,2025-08-15,1646,1646,1646,1646,1646,1646
BD Walls RAVO,daily,2025-08-18,1677.2,1677.2,1677.2,1677.2,1677.2,1677.2
BD Walls RAVO,daily,2025-08-22,3276.16,3276.16,3276.16,3276.16,3276.16,3276.16
BD Walls RAVO,daily,2025-08-25,1677.2,1677.2,1677.2,1677.2,1677.2,1677.2
BD Walls RAVO,daily,2025-08-29,13167.99,13167.99,13167.99,13167.99,13167.99,13167.99
BD Walls RAVO,daily,2025-08-30,2177.47,2177.47,2177.47,2177.47,2177.47,2177.47
BD Walls RAVO,daily,2025-09-01,1677.2,1677.2,1677.2,1677.2,1677.2,1677.2
BD Walls RAVO,daily,2025-09-05,6331.13,6331.13,6331.13,6331.13,6331.13,6331.13
BD Walls RAVO,daily,2025-09-06,2177.47,2177.47,2177.47,2177.47,2177.47,2177.47
BD Walls RAVO,daily,2025-09-08,1677.2,1677.2,1677.2,1677.2,1677.2,1677.2
BD Walls RAVO,daily,2025-09-12,9496.7,9496.7,9496.7,9496.7,9496.7,9496.7
BD Walls RAVO,daily,2025-09-13,2177.47,2177.47,2177.47,2177.47,2177.47,2177.47
BD Walls RAVO,daily,2025-09-14,2602.75,2602.75,2602.75,2602.75,2602.75,2602.75
BD Walls RAVO,daily,2025-09-15,13417.59,13417.59,13417.59,13417.59,13417.59,13417.59
BD Walls RAVO,daily,2025-09-19,13041.3,13041.3,13041.3,13041.3,13041.3,13041.3
BD Walls RAVO,daily,2025-09-20,2177.47,2177.47,2177.47,2177.47,2177.47,2177.47
BD Walls RAVO,daily,2025-09-21,2602.75,2602.75,2602.75,2602.75,2602.75,2602.75
BD Walls RAVO,daily,2025-09-22,1677.2,1677.2,1677.2,1677.2,1677.2,1677.2
BD Walls RAVO,daily,2025-09-26,11777.5,11777.5,11777.5,11777.5,11777.5,11777.5
BD Walls RAVO,daily,2025-09-27,17419.73,17419.73,17419.73,17419.73,17419.73,17419.73
BD Walls RAVO,daily,2025-09-28,2602.75,2602.75,2602.75,2602.75,2602.75,2602.75
BD Walls RAVO,daily,2025-09-29,1677.2,1677.2,1677.2,1677.2,1677.2,1677.2
BD Walls RAVO,daily,2025-10-03,3102.35,3102.35,3102.35,3102.35,3102.35,3102.35
BD Walls RAVO,daily,2025-10-04,2177.47,2177.47,2177.47,2177.47,2177.47,2177.47
BD Walls RAVO,daily,2025-10-05,2602.75,2602.75,2602.75,2602.75,2602.75,2602.75
BD Walls RAVO,daily,2025-10-06,1677.2,1677.2,1677.2,1677.2,1677.2,1677.2
BD Walls RAVO,daily,2025-10-10,3102.35,3102.35,3102.35,3102.35,3102.35,3102.35
BD Walls RAVO,daily,2025-10-11,2177.47,2177.47,2177.47,2177.47,2177.47,2177.47
BD Walls RAVO,daily,2025-10-12,20821.99,20821.99,20821.99,20821.99,20821.99,20821.99
BD Walls RAVO,daily,2025-10-13,1677.2,1677.2,1677.2,1677.2,1677.2,1677.2
BD Walls RAVO,daily,2025-10-14,2200.51,2200.51,2200.51,2200.51,2200.51,2200.51
BD Walls RAVO,daily,2025-10-17,3102.35,3102.35,3102.35,3102.35,3102.35,3102.35
BD Walls RAVO,daily,2025-10-18,2177.47,2177.47,2177.47,2177.47,2177.47,2177.47
BD Walls RAVO,daily,2025-10-19,5447.19,5447.19,5447.19,5447.19,5447.19,5447.19
BD Walls RAVO,daily,2025-10-21,4738.79,4738.79,4738.79,4738.79,4738.79,4738.79
BD Walls RAVO,daily,2025-10-24,1472.19,1472.19,1472.19,1472.19,1472.19,1472.19
