area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Monday,385044.01,6875.79,139869.76359100913,2497.675841786046,245174.2464089909,4378.114158213954
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Tuesday,424068.71,7572.66,154045.74197646708,2750.8184426894245,270022.96802353294,4821.841557310576
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Wednesday,285367.3,5095.84,103661.54452735046,1851.0973228686455,181705.75547264953,3244.742677131355
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Thursday,321274.78,5737.05,116705.17229018436,2084.021063487779,204569.6077098157,3653.0289365122217
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Friday,259836.33,4639.93,94387.2521207522,1685.4850233323484,165449.0778792478,2954.444976667652
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Saturday,314152.9,5609.87,114118.10264086418,2037.8220938336226,200034.79735913585,3572.0479061663773
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Sunday,415775.65,7424.57,151033.2335059521,2697.0237783075722,264742.41649404797,4727.546221692428
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",daily,2024-12-25,4560.65,4560.65,1610.856651677169,1610.856651677169,2949.7933483228303,2949.7933483228303
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",daily,2024-12-26,4170.41,4170.41,1473.0208827077245,1473.0208827077245,2697.3891172922754,2697.3891172922754
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",daily,2024-12-27,8885.94,8885.94,3138.5823414215574,3138.5823414215574,5747.357658578443,5747.357658578443
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",daily,2024-12-28,2952,2952,1165.270180896494,1165.270180896494,1786.7298191035059,1786.7298191035059
