area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Monday,686357.68,12256.39,618319.7309530156,11041.426340935282,68037.94904698447,1214.9636590647167
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Tuesday,1100168.25,19645.86,991109.673811838,17698.385584525855,109058.57618816194,1947.4744154741452
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Wednesday,739834.03,13211.32,666495.0239640143,11901.695086932214,73339.00603598576,1309.6249130677854
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Thursday,671722.81,11995.05,605135.6009511012,10805.992713256983,66587.20904889888,1189.0572867430158
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Friday,1034353.94,18470.61,931819.470412266,16639.636939355118,102534.46958773395,1830.973060644884
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Saturday,614521.05,10973.59,553604.194100319,9885.789019493017,60916.85589968105,1087.8009805069835
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Sunday,524752.21,9370.58,472734.0492557762,8441.683794481192,52018.16074422376,928.8962055188073
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2024-12-25,2534,2534,2259.8800058922875,2259.8800058922875,274.11999410771244,274.11999410771244
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2024-12-26,3356.77,3356.77,2993.6453857060196,2993.6453857060196,363.12461429398024,363.12461429398024
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2024-12-27,8597.46,8597.46,7667.414347063419,7667.414347063419,930.0456529365798,930.0456529365798
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2024-12-28,3255.25,3255.25,3035.0876476446256,3035.0876476446256,220.16235235537454,220.16235235537454
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2024-12-29,8823.38,8823.38,8226.62826156966,8226.62826156966,596.7517384303401,596.7517384303401
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2024-12-30,1792.75,1792.75,1598.8160538924224,1598.8160538924224,193.93394610757755,193.93394610757755
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2024-12-31,10350.43,10350.43,9230.75367379152,9230.75367379152,1119.6763262084808,1119.6763262084808
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-01,2748.24,2748.24,2450.9442097053748,2450.9442097053748,297.29579029462496,297.29579029462496
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-02,2953.17,2953.17,2633.705539463665,2633.705539463665,319.46446053633514,319.46446053633514
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-03,8200.94,8200.94,7313.788609124822,7313.788609124822,887.151390875179,887.151390875179
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-04,3255.25,3255.25,3035.0876476446256,3035.0876476446256,220.16235235537454,220.16235235537454
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-05,4637.56,4637.56,4323.907863055314,4323.907863055314,313.65213694468656,313.65213694468656
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-06,1792.75,1792.75,1598.8160538924224,1598.8160538924224,193.93394610757755,193.93394610757755
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-07,7075.73,7075.73,6310.3002186630765,6310.3002186630765,765.4297813369235,765.4297813369235
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-08,3664.31,3664.31,3267.9166947084327,3267.9166947084327,396.3933052915674,396.3933052915674
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-09,9658.07,9658.07,8613.290958369425,8613.290958369425,1044.7790416305738,1044.7790416305738
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-10,8562.69,8562.69,7636.405654164891,7636.405654164891,926.2843458351099,926.2843458351099
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-11,3255.25,3255.25,3035.0876476446256,3035.0876476446256,220.16235235537454,220.16235235537454
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-12,4595.63,4595.63,4284.813715120212,4284.813715120212,310.81628487978804,310.81628487978804
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-13,1792.75,1792.75,1598.8160538924224,1598.8160538924224,193.93394610757755,193.93394610757755
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-14,7806.38,7806.38,6961.910844671443,6961.910844671443,844.4691553285573,844.4691553285573
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-15,6994.64,6994.64,6237.98227482811,6237.98227482811,756.6577251718902,756.6577251718902
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-16,7517.68,7517.68,6704.441484884109,6704.441484884109,813.238515115891,813.238515115891
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-17,14436.08,14436.08,12874.431158429967,12874.431158429967,1561.6488415700337,1561.6488415700337
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-18,4013.92,4013.92,3742.446512751314,3742.446512751314,271.47348724868596,271.47348724868596
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-19,9529.43,9529.43,8884.925975606828,8884.925975606828,644.5040243931732,644.5040243931732
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-20,865.25,865.25,771.6500296362675,771.6500296362675,93.59997036373252,93.59997036373252
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-21,4286.13,4286.13,3822.470201126721,3822.470201126721,463.65979887327927,463.65979887327927
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-22,7978.99,7978.99,7115.848448387728,7115.848448387728,863.1415516122718,863.1415516122718
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-23,9143.44,9143.44,8154.331981482154,8154.331981482154,989.1080185178463,989.1080185178463
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-24,7027.08,7027.08,6266.913019654923,6266.913019654923,760.1669803450766,760.1669803450766
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-25,14923.63,14923.63,13914.299998776978,13914.299998776978,1009.3300012230206,1009.3300012230206
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-26,4377.39,4377.39,4081.3339429915086,4081.3339429915086,296.05605700849185,296.05605700849185
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-27,1693.99,1693.99,1510.7395939942685,1510.7395939942685,183.25040600573158,183.25040600573158
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-28,3730.64,3730.64,3327.0713280118403,3327.0713280118403,403.56867198815956,403.56867198815956
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-29,7012.25,7012.25,6253.687281498893,6253.687281498893,758.5627185011076,758.5627185011076
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-30,6449.6,6449.6,5751.902954223717,5751.902954223717,697.6970457762835,697.6970457762835
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-01-31,5821.74,5821.74,5191.9628356366875,5191.9628356366875,629.7771643633125,629.7771643633125
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-02-01,2659.5,2659.5,2479.63001272126,2479.63001272126,179.86998727874007,179.86998727874007
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-02-02,6566.08,6566.08,6121.996252652307,6121.996252652307,444.083747347693,444.083747347693
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-02-03,2538.8,2538.8,2264.1607572846647,2264.1607572846647,274.6392427153356,274.6392427153356
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-02-04,4835.81,4835.81,4312.687581410412,4312.687581410412,523.1224185895884,523.1224185895884
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-02-05,4692.01,4692.01,4184.443404280455,4184.443404280455,507.5665957195454,507.5665957195454
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-02-06,11267.33,11267.33,10048.466372056175,10048.466372056175,1218.8636279438247,1218.8636279438247
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",daily,2025-02-07,12414.58,12414.58,11071.610545994583,11071.610545994583,1342.9694540054163,1342.9694540054163
