area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
BD walls the portal BD1 CBH,dayOfWeek,Monday,404029.87,7214.82,111118.7039982306,1984.2628169558702,292911.1660017694,5230.5571830441295
BD walls the portal BD1 CBH,dayOfWeek,Tuesday,403927.13,7212.98,111090.44783081213,1983.7567691843112,292836.6821691879,5229.223230815688
BD walls the portal BD1 CBH,dayOfWeek,Wednesday,370438.39,6614.97,101880.17486922714,1819.288493168031,268558.2151307729,4795.681506831969
BD walls the portal BD1 CBH,dayOfWeek,Thursday,369572.44,6599.51,101642.0161367372,1815.0365917830848,267930.4238632628,4784.473408216915
BD walls the portal BD1 CBH,dayOfWeek,Friday,394749.88,7049.11,108566.46581367127,1938.688264659658,286183.4141863287,5110.421735340342
BD walls the portal BD1 CBH,dayOfWeek,Saturday,492262.86,8790.41,135385.0670240357,2417.5909736898566,356877.7929759643,6372.819026310143
BD walls the portal BD1 CBH,dayOfWeek,Sunday,367796.35,6567.79,101153.54527446107,1806.3127682429492,266642.80472553894,4761.4772317570505
BD walls the portal BD1 CBH,daily,2024-12-25,24778.64,24778.64,6963.425570717462,6963.425570717462,17815.21442928254,17815.21442928254
BD walls the portal BD1 CBH,daily,2024-12-26,22321.44,22321.44,6272.890121138027,6272.890121138027,16048.549878861972,16048.549878861972
BD walls the portal BD1 CBH,daily,2024-12-27,7156.72,7156.72,2011.2196250667944,2011.2196250667944,5145.500374933205,5145.500374933205
BD walls the portal BD1 CBH,daily,2024-12-28,8917.73,8917.73,2258.4973644631127,2258.4973644631127,6659.232635536887,6659.232635536887
BD walls the portal BD1 CBH,daily,2024-12-29,2550.68,2550.68,645.9832331309394,645.9832331309394,1904.6967668690604,1904.6967668690604
BD walls the portal BD1 CBH,daily,2024-12-30,4710.89,4710.89,1323.879433529733,1323.879433529733,3387.0105664702673,3387.0105664702673
BD walls the portal BD1 CBH,daily,2024-12-31,9028.91,9028.91,2537.3524442708153,2537.3524442708153,6491.557555729184,6491.557555729184
BD walls the portal BD1 CBH,daily,2025-01-01,14573.41,14573.41,4095.4974060945055,4095.4974060945055,10477.912593905494,10477.912593905494
BD walls the portal BD1 CBH,daily,2025-01-02,8499.36,8499.36,2388.5354788936424,2388.5354788936424,6110.824521106358,6110.824521106358
BD walls the portal BD1 CBH,daily,2025-01-03,16401.88,16401.88,4609.34379771607,4609.34379771607,11792.53620228393,11792.53620228393
BD walls the portal BD1 CBH,daily,2025-01-04,9465.49,9465.49,2397.222636069039,2397.222636069039,7068.2673639309605,7068.2673639309605
BD walls the portal BD1 CBH,daily,2025-01-05,2550.68,2550.68,645.9832331309394,645.9832331309394,1904.6967668690604,1904.6967668690604
BD walls the portal BD1 CBH,daily,2025-01-06,13259.88,13259.88,3726.362199727065,3726.362199727065,9533.517800272934,9533.517800272934
BD walls the portal BD1 CBH,daily,2025-01-07,7476.67,7476.67,2101.1336805335613,2101.1336805335613,5375.536319466439,5375.536319466439
BD walls the portal BD1 CBH,daily,2025-01-08,23074.39,23074.39,6484.488146028486,6484.488146028486,16589.901853971514,16589.901853971514
BD walls the portal BD1 CBH,daily,2025-01-09,5580.24,5580.24,1568.1888072444817,1568.1888072444817,4012.051192755518,4012.051192755518
BD walls the portal BD1 CBH,daily,2025-01-10,4910.16,4910.16,1379.87935174465,1379.87935174465,3530.28064825535,3530.28064825535
BD walls the portal BD1 CBH,daily,2025-01-11,14198.23,14198.23,3595.832687807447,3595.832687807447,10602.397312192552,10602.397312192552
BD walls the portal BD1 CBH,daily,2025-01-12,10932.89,10932.89,2768.8552188690533,2768.8552188690533,8164.034781130946,8164.034781130946
BD walls the portal BD1 CBH,daily,2025-01-13,3311.92,3311.92,930.7334226644633,930.7334226644633,2381.1865773355366,2381.1865773355366
BD walls the portal BD1 CBH,daily,2025-01-14,4530.13,4530.13,1273.0812942386788,1273.0812942386788,3257.0487057613213,3257.0487057613213
BD walls the portal BD1 CBH,daily,2025-01-15,6850.37,6850.37,1925.1275141361987,1925.1275141361987,4925.242485863801,4925.242485863801
BD walls the portal BD1 CBH,daily,2025-01-16,4255.21,4255.21,1195.8218095413085,1195.8218095413085,3059.3881904586915,3059.3881904586915
BD walls the portal BD1 CBH,daily,2025-01-17,7113.77,7113.77,1999.149586991165,1999.149586991165,5114.620413008835,5114.620413008835
BD walls the portal BD1 CBH,daily,2025-01-18,41823.28,41823.28,10592.131366749478,10592.131366749478,31231.14863325052,31231.14863325052
BD walls the portal BD1 CBH,daily,2025-01-19,4567.3,4567.3,1156.710846001435,1156.710846001435,3410.589153998565,3410.589153998565
BD walls the portal BD1 CBH,daily,2025-01-20,4415.89,4415.89,1240.9769601348394,1240.9769601348394,3174.913039865161,3174.913039865161
BD walls the portal BD1 CBH,daily,2025-01-21,8233.6,8233.6,2313.8501862515172,2313.8501862515172,5919.749813748483,5919.749813748483
BD walls the portal BD1 CBH,daily,2025-01-22,8414.33,8414.33,2364.639894782565,2364.639894782565,6049.690105217434,6049.690105217434
BD walls the portal BD1 CBH,daily,2025-01-23,5147.98,5147.98,1446.7127965676113,1446.7127965676113,3701.267203432388,3701.267203432388
BD walls the portal BD1 CBH,daily,2025-01-24,8112.47,8112.47,2279.809587599573,2279.809587599573,5832.660412400427,5832.660412400427
BD walls the portal BD1 CBH,daily,2025-01-25,7057.45,7057.45,1787.3642984066794,1787.3642984066794,5270.085701593321,5270.085701593321
BD walls the portal BD1 CBH,daily,2025-01-26,6089.74,6089.74,1542.2828163967285,1542.2828163967285,4547.457183603271,4547.457183603271
BD walls the portal BD1 CBH,daily,2025-01-27,7006.6,7006.6,1969.0321019954674,1969.0321019954674,5037.567898004533,5037.567898004533
BD walls the portal BD1 CBH,daily,2025-01-28,5620.77,5620.77,1579.5787640129397,1579.5787640129397,4041.1912359870607,4041.1912359870607
BD walls the portal BD1 CBH,daily,2025-01-29,6855.44,6855.44,1926.5523125772565,1926.5523125772565,4928.887687422743,4928.887687422743
