area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
BD walls : Come on in my friend BD5 3PX,dayOfWeek,Monday,823475.98,14704.93,488539.22389528475,8723.915771817035,334936.7561047152,5981.014228182965
BD walls : Come on in my friend BD5 3PX,dayOfWeek,Tuesday,658192.39,11753.44,390482.3057308637,6972.9009651256565,267710.0842691363,4780.539034874344
BD walls : Come on in my friend BD5 3PX,dayOfWeek,Wednesday,909077.77,16233.53,539323.7435003947,9630.780180474509,369754.0264996053,6602.749819525493
BD walls : Come on in my friend BD5 3PX,dayOfWeek,Thursday,692556.11,12367.07,410869.08750311995,7336.945978264793,281687.02249688003,5030.124021735207
BD walls : Come on in my friend BD5 3PX,dayOfWeek,Friday,753645.34,13457.95,447111.1707422213,7984.126565806507,306534.1692577787,5473.823434193494
BD walls : Come on in my friend BD5 3PX,dayOfWeek,Saturday,723367.09,12917.27,429148.15407243645,7663.360211971022,294218.9359275635,5253.909788028978
BD walls : Come on in my friend BD5 3PX,dayOfWeek,Sunday,830944.69,14838.3,492970.14583535027,8803.039483829758,337974.5441646497,6035.260516170242
BD walls : Come on in my friend BD5 3PX,daily,2024-12-25,11214.54,11214.54,7059.813764140108,7059.813764140108,4154.726235859893,4154.726235859893
BD walls : Come on in my friend BD5 3PX,daily,2024-12-26,22287.09,22287.09,14030.241520796159,14030.241520796159,8256.848479203842,8256.848479203842
BD walls : Come on in my friend BD5 3PX,daily,2024-12-27,16542.51,16542.51,10413.894800092145,10413.894800092145,6128.615199907854,6128.615199907854
BD walls : Come on in my friend BD5 3PX,daily,2024-12-28,8998.02,8998.02,2419.6892968891807,2419.6892968891807,6578.330703110821,6578.330703110821
BD walls : Come on in my friend BD5 3PX,daily,2024-12-29,8982.13,8982.13,2415.4162609404307,2415.4162609404307,6566.713739059569,6566.713739059569
BD walls : Come on in my friend BD5 3PX,daily,2024-12-30,8413.21,8413.21,5296.3113742160795,5296.3113742160795,3116.89862578392,3116.89862578392
BD walls : Come on in my friend BD5 3PX,daily,2024-12-31,8209.04,8209.04,5167.781610514271,5167.781610514271,3041.25838948573,3041.25838948573
