area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Darley's street market,dayOfWeek,Monday,727608.86,12993.02,666921.5186400227,11909.317088470016,60687.34135997732,1083.702911529984
Darley's street market,dayOfWeek,Tuesday,515035.9,9197.07,472078.53486299067,8429.974164193924,42957.36513700939,767.0958358060766
Darley's street market,dayOfWeek,Wednesday,765266.17,13665.47,701437.9625067152,12525.680357066667,63828.20749328483,1139.7896429333325
Darley's street market,dayOfWeek,Thursday,523324.92,9345.09,479676.19634066627,8565.648327355015,43648.7236593337,779.4416726449846
Darley's street market,dayOfWeek,Friday,752218.27,13432.47,689478.3427694526,12312.114082127237,62739.92723054745,1120.3559178727626
Darley's street market,dayOfWeek,Saturday,1048821.18,18728.95,961342.628713208,17166.832982947806,87478.55128679193,1562.1170170521937
Darley's street market,dayOfWeek,Sunday,645607.3,11528.7,591759.4254708289,10567.130960919347,53847.87452917119,961.5690390806546
Darley's street market,daily,2024-12-25,7043.14,7043.14,6443.105847539725,6443.105847539725,600.0341524602751,600.0341524602751
Darley's street market,daily,2024-12-26,5515.33,5515.33,5045.456284286734,5045.456284286734,469.87371571326554,469.87371571326554
Darley's street market,daily,2024-12-27,5104.6,5104.6,4669.718067417555,4669.718067417555,434.88193258244485,434.88193258244485
Darley's street market,daily,2024-12-28,20335.09,20335.09,18730.146268789067,18730.146268789067,1604.9437312109312,1604.9437312109312
Darley's street market,daily,2024-12-29,1171.43,1171.43,1078.9750743000193,1078.9750743000193,92.45492569998073,92.45492569998073
Darley's street market,daily,2024-12-30,3943.2,3943.2,3607.2625246720413,3607.2625246720413,335.93747532795834,335.93747532795834
Darley's street market,daily,2024-12-31,4695.22,4695.22,4295.214838479069,4295.214838479069,400.00516152093144,400.00516152093144
Darley's street market,daily,2025-01-01,7043.14,7043.14,6443.105847539725,6443.105847539725,600.0341524602751,600.0341524602751
Darley's street market,daily,2025-01-02,8499.36,8499.36,7775.264458231022,7775.264458231022,724.0955417689786,724.0955417689786
Darley's street market,daily,2025-01-03,8161.73,8161.73,7466.3985507941625,7466.3985507941625,695.3314492058373,695.3314492058373
Darley's street market,daily,2025-01-04,13357.8,13357.8,12303.537767928769,12303.537767928769,1054.2622320712314,1054.2622320712314
Darley's street market,daily,2025-01-05,1171.43,1171.43,1078.9750743000193,1078.9750743000193,92.45492569998073,92.45492569998073
Darley's street market,daily,2025-01-06,3701.35,3701.35,3386.01672390314,3386.01672390314,315.3332760968601,315.3332760968601
Darley's street market,daily,2025-01-07,6260.3,6260.3,5726.959216677922,5726.959216677922,533.340783322078,533.340783322078
Darley's street market,daily,2025-01-08,6042.21,6042.21,5527.449203489211,5527.449203489211,514.7607965107891,514.7607965107891
Darley's street market,daily,2025-01-09,3445.01,3445.01,3151.5153860114706,3151.5153860114706,293.49461398852964,293.49461398852964
Darley's street market,daily,2025-01-10,2730.91,2730.91,2498.252510968788,2498.252510968788,232.6574890312119,232.6574890312119
Darley's street market,daily,2025-01-11,13284.93,13284.93,12236.419021043132,12236.419021043132,1048.510978956869,1048.510978956869
Darley's street market,daily,2025-01-12,1171.43,1171.43,1078.9750743000193,1078.9750743000193,92.45492569998073,92.45492569998073
Darley's street market,daily,2025-01-13,4962.52,4962.52,4539.742448756214,4539.742448756214,422.77755124378683,422.77755124378683
Darley's street market,daily,2025-01-14,7806.38,7806.38,7141.322283259619,7141.322283259619,665.0577167403803,665.0577167403803
Darley's street market,daily,2025-01-15,6850.37,6850.37,6266.75871909556,6266.75871909556,583.6112809044396,583.6112809044396
Darley's street market,daily,2025-01-16,2554.38,2554.38,2336.761829927919,2336.761829927919,217.61817007208114,217.61817007208114
Darley's street market,daily,2025-01-17,2607.02,2607.02,2384.9172111661865,2384.9172111661865,222.10278883381366,222.10278883381366
Darley's street market,daily,2025-01-18,14938.73,14938.73,13759.693120116375,13759.693120116375,1179.0368798836234,1179.0368798836234
Darley's street market,daily,2025-01-19,9371.42,9371.42,8631.782172896961,8631.782172896961,739.6378271030394,739.6378271030394
Darley's street market,daily,2025-01-20,4521.04,4521.04,4135.8739512434795,4135.8739512434795,385.1660487565208,385.1660487565208
Darley's street market,daily,2025-01-21,23035.53,23035.53,21073.038168228482,21073.038168228482,1962.4918317715167,1962.4918317715167
Darley's street market,daily,2025-01-22,4290.36,4290.36,3924.8465320937157,3924.8465320937157,365.51346790628406,365.51346790628406
Darley's street market,daily,2025-01-23,1749.76,1749.76,1600.6907271176078,1600.6907271176078,149.06927288239208,149.06927288239208
Darley's street market,daily,2025-01-24,3476.02,3476.02,3179.8835161824177,3179.8835161824177,296.13648381758213,296.13648381758213
Darley's street market,daily,2025-01-25,37169.31,37169.31,34235.728143320935,34235.728143320935,2933.5818566790595,2933.5818566790595
Darley's street market,daily,2025-01-26,3161,3161,2911.5185797378936,2911.5185797378936,249.4814202621062,249.4814202621062
Darley's street market,daily,2025-01-27,6258.22,6258.22,5725.056420458781,5725.056420458781,533.1635795412193,533.1635795412193
Darley's street market,daily,2025-01-28,7052.19,7052.19,6451.384840704738,6451.384840704738,600.8051592952614,600.8051592952614
Darley's street market,daily,2025-01-29,6435.54,6435.54,5887.269798140574,5887.269798140574,548.2702018594262,548.2702018594262
