area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
Roundwood Avenue,dayOfWeek,01/01/2019,1224399.02,3345.35,337629.5334,922.4843707,886769.4866,2422.865629,
Roundwood Avenue,dayOfWeek,07/01/2019,1283232.2,3506.1,353852.855,966.8113806,929379.345,2539.288619,
Roundwood Avenue,dayOfWeek,07/01/2019,1395746.18,3813.51,384878.7232,1051.580066,1010867.457,2761.929934,
Roundwood Avenue,dayOfWeek,14/01/2019,1260706.18,3444.55,347641.2773,949.8388925,913064.9027,2494.711107,
Roundwood Avenue,dayOfWeek,14/01/2019,1290995.52,3527.31,355993.6,972.6600641,935001.92,2554.649936,
Roundwood Avenue,dayOfWeek,21/01/2019,1478767.85,4040.35,407772.0506,1114.131474,1070995.799,2926.218526,
Roundwood Avenue,dayOfWeek,21/01/2019,1373338.72,3752.29,378699.8385,1034.698575,994638.8815,2717.591425,
Roundwood Avenue,daily,28/01/2019,2417.45,2417.45,678.2185216,678.2185216,1739.231478,1739.231478,
Roundwood Avenue,daily,28/01/2019,2417.45,2417.45,678.2185216,678.2185216,1739.231478,1739.231478,
Roundwood Avenue,daily,01/02/2019,19339.61,19339.61,5425.750978,5425.750978,13913.85902,13913.85902,
Roundwood Avenue,daily,04/02/2019,2417.45,2417.45,678.2185216,678.2185216,1739.231478,1739.231478,
Roundwood Avenue,daily,04/02/2019,2417.45,2417.45,678.2185216,678.2185216,1739.231478,1739.231478,
Roundwood Avenue,daily,11/02/2019,2417.45,2417.45,678.2185216,678.2185216,1739.231478,1739.231478,
Roundwood Avenue,daily,11/02/2019,2417.45,2417.45,678.2185216,678.2185216,1739.231478,1739.231478,
Roundwood Avenue,daily,18/02/2019,2415.55,2415.55,633.1691484,633.1691484,1782.380852,1782.380852,
Roundwood Avenue,daily,18/02/2019,3559.76,3559.76,933.0919284,933.0919284,2626.668072,2626.668072,
Roundwood Avenue,daily,25/02/2019,2181.79,2181.79,612.1038235,612.1038235,1569.686176,1569.686176,
Roundwood Avenue,daily,01/03/2019,1827.98,1827.98,512.8420001,512.8420001,1315.138,1315.138,
Roundwood Avenue,daily,04/03/2019,2415.55,2415.55,633.1691484,633.1691484,1782.380852,1782.380852,
Roundwood Avenue,daily,09/03/2019,3559.76,3559.76,933.0919284,933.0919284,2626.668072,2626.668072,
Roundwood Avenue,daily,10/03/2019,1734.24,1734.24,486.5431297,486.5431297,1247.69687,1247.69687,
Roundwood Avenue,daily,11/03/2019,2181.79,2181.79,612.1038235,612.1038235,1569.686176,1569.686176,
Roundwood Avenue,daily,14/03/2019,1827.98,1827.98,512.8420001,512.8420001,1315.138,1315.138,
Roundwood Avenue,daily,15/03/2019,2415.55,2415.55,633.1691484,633.1691484,1782.380852,1782.380852,
Roundwood Avenue,daily,16/03/2019,3559.76,3559.76,933.0919284,933.0919284,2626.668072,2626.668072,
Roundwood Avenue,daily,17/03/2019,1734.24,1734.24,486.5431297,486.5431297,1247.69687,1247.69687,
Roundwood Avenue,daily,18/03/2019,2181.79,2181.79,612.1038235,612.1038235,1569.686176,1569.686176,
Roundwood Avenue,daily,18/03/2019,1827.98,1827.98,512.8420001,512.8420001,1315.138,1315.138,
Roundwood Avenue,daily,21/03/2019,2415.55,2415.55,633.1691484,633.1691484,1782.380852,1782.380852,
Roundwood Avenue,daily,22/03/2019,3559.76,3559.76,933.0919284,933.0919284,2626.668072,2626.668072,
Roundwood Avenue,daily,23/03/2019,1734.24,1734.24,486.5431297,486.5431297,1247.69687,1247.69687,
Roundwood Avenue,daily,24/03/2019,4514.04,4514.04,1266.419382,1266.419382,3247.620618,3247.620618,
Roundwood Avenue,daily,25/03/2019,1827.98,1827.98,512.8420001,512.8420001,1315.138,1315.138,
Roundwood Avenue,daily,25/03/2019,19324.4,19324.4,5065.353187,5065.353187,14259.04681,14259.04681,
Roundwood Avenue,daily,28/03/2019,28478.07,28478.07,7464.732806,7464.732806,21013.33719,21013.33719,
Roundwood Avenue,daily,29/03/2019,1734.24,1734.24,486.5431297,486.5431297,1247.69687,1247.69687,
Roundwood Avenue,daily,30/03/2019,17454.3,17454.3,4896.824977,4896.824977,12557.47502,12557.47502,
Roundwood Avenue,daily,31/03/2019,14623.87,14623.87,4102.744417,4102.744417,10521.12558,10521.12558,
Roundwood Avenue,daily,01/04/2019,2415.55,2415.55,633.1691484,633.1691484,1782.380852,1782.380852,
Roundwood Avenue,daily,01/04/2019,3559.76,3559.76,933.0919284,933.0919284,2626.668072,2626.668072,
Roundwood Avenue,daily,01/04/2019,13873.93,13873.93,3892.347843,3892.347843,9981.582157,9981.582157,
Roundwood Avenue,daily,04/04/2019,4514.04,4514.04,1266.419382,1266.419382,3247.620618,3247.620618,
Roundwood Avenue,daily,05/04/2019,1827.98,1827.98,512.8420001,512.8420001,1315.138,1315.138,
Roundwood Avenue,daily,06/04/2019,2415.55,2415.55,633.1691484,633.1691484,1782.380852,1782.380852,
Roundwood Avenue,daily,07/04/2019,3559.76,3559.76,933.0919284,933.0919284,2626.668072,2626.668072,
Roundwood Avenue,daily,08/04/2019,1734.24,1734.24,486.5431297,486.5431297,1247.69687,1247.69687,
Roundwood Avenue,daily,08/04/2019,4514.04,4514.04,1266.419382,1266.419382,3247.620618,3247.620618,
Roundwood Avenue,daily,11/04/2019,1827.98,1827.98,512.8420001,512.8420001,1315.138,1315.138,
Roundwood Avenue,daily,12/04/2019,2415.55,2415.55,633.1691484,633.1691484,1782.380852,1782.380852,
Roundwood Avenue,daily,13/04/2019,3559.76,3559.76,933.0919284,933.0919284,2626.668072,2626.668072,
Roundwood Avenue,daily,14/04/2019,1734.24,1734.24,486.5431297,486.5431297,1247.69687,1247.69687,
Roundwood Avenue,daily,15/04/2019,18658.05,18658.05,5234.538496,5234.538496,13423.5115,13423.5115,
Roundwood Avenue,daily,15/04/2019,1827.98,1827.98,512.8420001,512.8420001,1315.138,1315.138,
Roundwood Avenue,daily,18/04/2019,2415.55,2415.55,633.1691484,633.1691484,1782.380852,1782.380852,
Roundwood Avenue,daily,19/04/2019,3559.76,3559.76,933.0919284,933.0919284,2626.668072,2626.668072,
Roundwood Avenue,daily,20/04/2019,1734.24,1734.24,486.5431297,486.5431297,1247.69687,1247.69687,
Roundwood Avenue,daily,21/04/2019,4514.04,4514.04,1266.419382,1266.419382,3247.620618,3247.620618,
Roundwood Avenue,daily,22/04/2019,1827.98,1827.98,512.8420001,512.8420001,1315.138,1315.138,
Roundwood Avenue,daily,22/04/2019,1734.24,1734.24,486.5431297,486.5431297,1247.69687,1247.69687,
Roundwood Avenue,daily,25/04/2019,2113.61,2113.61,592.9758421,592.9758421,1520.634158,1520.634158,
Roundwood Avenue,daily,26/04/2019,2332.26,2332.26,654.318364,654.318364,1677.941636,1677.941636,
Roundwood Avenue,daily,27/04/2019,2113.61,2113.61,592.9758421,592.9758421,1520.634158,1520.634158,
Roundwood Avenue,daily,28/04/2019,2332.26,2332.26,654.318364,654.318364,1677.941636,1677.941636,
Roundwood Avenue,daily,29/04/2019,2113.61,2113.61,592.9758421,592.9758421,1520.634158,1520.634158,
Roundwood Avenue,daily,29/04/2019,2332.26,2332.26,654.318364,654.318364,1677.941636,1677.941636,
Roundwood Avenue,daily,01/05/2019,3893.49,3893.49,1092.323329,1092.323329,2801.166671,2801.166671,
Roundwood Avenue,daily,02/05/2019,16908.85,16908.85,4743.79832,4743.79832,12165.05168,12165.05168,
Roundwood Avenue,daily,03/05/2019,3893.49,3893.49,1092.323329,1092.323329,2801.166671,2801.166671,
Roundwood Avenue,daily,04/05/2019,5882.76,5882.76,1650.415434,1650.415434,4232.344566,4232.344566,
Roundwood Avenue,daily,05/05/2019,14239.04,14239.04,3994.779895,3994.779895,10244.2601,10244.2601,
Roundwood Avenue,daily,06/05/2019,5882.76,5882.76,1650.415434,1650.415434,4232.344566,4232.344566,
Roundwood Avenue,daily,06/05/2019,3769.16,3769.16,1057.442397,1057.442397,2711.717603,2711.717603,
Roundwood Avenue,daily,09/05/2019,2181.79,2181.79,612.1038235,612.1038235,1569.686176,1569.686176,
Roundwood Avenue,daily,10/05/2019,15914.22,15914.22,4464.75367,4464.75367,11449.46633,11449.46633,
Roundwood Avenue,daily,13/05/2019,2181.79,2181.79,612.1038235,612.1038235,1569.686176,1569.686176,
Roundwood Avenue,daily,13/05/2019,3769.16,3769.16,1057.442397,1057.442397,2711.717603,2711.717603,
Roundwood Avenue,daily,15/05/2019,1276.14,1276.14,358.0226206,358.0226206,918.1173794,918.1173794,
Roundwood Avenue,daily,16/05/2019,3006.02,3006.02,843.342547,843.342547,2162.677453,2162.677453,
Roundwood Avenue,daily,20/05/2019,3368.37,3368.37,945.0002778,945.0002778,2423.369722,2423.369722,
Roundwood Avenue,daily,22/05/2019,4674.8,4674.8,1311.520794,1311.520794,3363.279206,3363.279206,
Roundwood Avenue,daily,23/05/2019,2121.58,2121.58,595.2118352,595.2118352,1526.368165,1526.368165,
Roundwood Avenue,daily,27/05/2019,3462.29,3462.29,971.3496474,971.3496474,2490.940353,2490.940353,
Roundwood Avenue,daily,29/05/2019,5527.72,5527.72,1550.808532,1550.808532,3976.911468,3976.911468,
Roundwood Avenue,daily,30/05/2019,5241.89,5241.89,1470.61858,1470.61858,3771.27142,3771.27142,
Roundwood Avenue,daily,01/06/2019,2121.58,2121.58,595.2118352,595.2118352,1526.368165,1526.368165,
Roundwood Avenue,daily,03/06/2019,814.88,814.88,228.6155697,228.6155697,586.2644303,586.2644303,
Roundwood Avenue,daily,05/06/2019,889.94,889.94,233.2729821,233.2729821,656.6670179,656.6670179,
Roundwood Avenue,daily,10/06/2019,6373.15,6373.15,1787.994941,1787.994941,4585.155059,4585.155059,
Roundwood Avenue,daily,12/06/2019,17454.3,17454.3,4896.824977,4896.824977,12557.47502,12557.47502,
Roundwood Avenue,daily,17/06/2019,7050,7050,1977.886027,1977.886027,5072.113973,5072.113973,
Roundwood Avenue,daily,19/06/2019,3721.65,3721.65,1044.113409,1044.113409,2677.536591,2677.536591,
Roundwood Avenue,daily,24/06/2019,2257.56,2257.56,633.3611887,633.3611887,1624.198811,1624.198811,
Roundwood Avenue,daily,26/06/2019,2557.24,2557.24,670.3092352,670.3092352,1886.930765,1886.930765,
Roundwood Avenue,daily,01/07/2019,1853.03,1853.03,485.7201992,485.7201992,1367.309801,1367.309801,
Roundwood Avenue,daily,01/07/2019,8497.53,8497.53,2383.99232,2383.99232,6113.53768,6113.53768,
Roundwood Avenue,daily,03/07/2019,11055.45,11055.45,3101.61987,3101.61987,7953.83013,7953.83013,
Roundwood Avenue,daily,08/07/2019,6023.83,6023.83,1689.992793,1689.992793,4333.837207,4333.837207,
Roundwood Avenue,daily,10/07/2019,10209.12,10209.12,2864.180965,2864.180965,7344.939035,7344.939035,
Roundwood Avenue,daily,15/07/2019,2257.56,2257.56,633.3611887,633.3611887,1624.198811,1624.198811,
Roundwood Avenue,daily,17/07/2019,2557.24,2557.24,670.3092352,670.3092352,1886.930765,1886.930765,
Roundwood Avenue,daily,22/07/2019,1853.03,1853.03,485.7201992,485.7201992,1367.309801,1367.309801,
Roundwood Avenue,daily,23/07/2019,24048.15,24048.15,6746.73757,6746.73757,17301.41243,17301.41243,
Roundwood Avenue,daily,24/07/2019,9492.69,9492.69,2663.185662,2663.185662,6829.504338,6829.504338,
Roundwood Avenue,daily,29/07/2019,18036.11,18036.11,5060.052476,5060.052476,12976.05752,12976.05752,
Roundwood Avenue,daily,30/07/2019,6763.54,6763.54,1897.519328,1897.519328,4866.020672,4866.020672,
Roundwood Avenue,daily,31/07/2019,2966.09,2966.09,832.1401372,832.1401372,2133.949863,2133.949863,
Roundwood Avenue,daily,01/08/2019,5039.42,5039.42,1320.943582,1320.943582,3718.476418,3718.476418,
Roundwood Avenue,daily,01/08/2019,3871.99,3871.99,1014.934326,1014.934326,2857.055674,2857.055674,
Roundwood Avenue,daily,05/08/2019,6441.47,6441.47,1807.1622,1807.1622,4634.3078,4634.3078,
Roundwood Avenue,daily,05/08/2019,12438.7,12438.7,3489.69233,3489.69233,8949.00767,8949.00767,
Roundwood Avenue,daily,06/08/2019,6519.08,6519.08,1828.935779,1828.935779,4690.144221,4690.144221,
Roundwood Avenue,daily,07/08/2019,7443.31,7443.31,2088.229624,2088.229624,5355.080376,5355.080376,
Roundwood Avenue,daily,08/08/2019,6519.08,6519.08,1828.935779,1828.935779,4690.144221,4690.144221,
Roundwood Avenue,daily,12/08/2019,7119.52,7119.52,1866.183857,1866.183857,5253.336143,5253.336143,
Roundwood Avenue,daily,12/08/2019,5015.96,5015.96,1314.794197,1314.794197,3701.165803,3701.165803,
Roundwood Avenue,daily,13/08/2019,21081.17,21081.17,5914.347743,5914.347743,15166.82226,15166.82226,
