area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
BD Walls Roots,dayOfWeek,01/01/2019,1553588.56,4244.78,476037.7767,1300.650433,1077550.783,2944.129567,
BD Walls Roots,dayOfWeek,01/01/2019,1547775.52,4228.89,474256.593,1295.781551,1073518.927,2933.108449,
BD Walls Roots,dayOfWeek,04/01/2019,1772239.9,4842.19,543035.1147,1483.703872,1229204.785,3358.486128,
BD Walls Roots,dayOfWeek,06/01/2019,1759405.07,4807.12,539102.3721,1472.958012,1220302.698,3334.161988,
BD Walls Roots,dayOfWeek,07/01/2019,1638246.54,4476.08,501977.9759,1371.523469,1136268.564,3104.556531,
BD Walls Roots,dayOfWeek,07/01/2019,1515368.63,4140.35,464326.7414,1268.651855,1051041.889,2871.698145,
BD Walls Roots,dayOfWeek,08/01/2019,1604096.39,4382.78,491513.9689,1342.935254,1112582.421,3039.844746,
BD Walls Roots,daily,11/01/2019,2254.51,2254.51,578.4202383,578.4202383,1676.089762,1676.089762,
BD Walls Roots,daily,13/01/2019,2181.79,2181.79,559.7630934,559.7630934,1622.026907,1622.026907,
BD Walls Roots,daily,14/01/2019,3381.77,3381.77,1402.240702,1402.240702,1979.529298,1979.529298,
BD Walls Roots,daily,14/01/2019,2254.51,2254.51,578.4202383,578.4202383,1676.089762,1676.089762,
BD Walls Roots,daily,15/01/2019,2254.51,2254.51,578.4202383,578.4202383,1676.089762,1676.089762,
BD Walls Roots,daily,20/01/2019,2181.79,2181.79,559.7630934,559.7630934,1622.026907,1622.026907,
BD Walls Roots,daily,21/01/2019,3381.77,3381.77,1402.240702,1402.240702,1979.529298,1979.529298,
BD Walls Roots,daily,28/01/2019,2254.51,2254.51,578.4202383,578.4202383,1676.089762,1676.089762,
BD Walls Roots,daily,01/02/2019,2254.51,2254.51,578.4202383,578.4202383,1676.089762,1676.089762,
BD Walls Roots,daily,04/02/2019,3381.77,3381.77,1402.240702,1402.240702,1979.529298,1979.529298,
BD Walls Roots,daily,11/02/2019,2113.61,2113.61,542.2707372,542.2707372,1571.339263,1571.339263,
BD Walls Roots,daily,18/02/2019,2181.79,2181.79,559.7630934,559.7630934,1622.026907,1622.026907,
BD Walls Roots,daily,25/02/2019,2505.02,2505.02,642.6914342,642.6914342,1862.328566,1862.328566,
BD Walls Roots,daily,01/03/2019,2113.61,2113.61,542.2707372,542.2707372,1571.339263,1571.339263,
BD Walls Roots,daily,04/03/2019,2181.79,2181.79,559.7630934,559.7630934,1622.026907,1622.026907,
BD Walls Roots,daily,11/03/2019,2505.02,2505.02,642.6914342,642.6914342,1862.328566,1862.328566,
BD Walls Roots,daily,13/03/2019,2113.61,2113.61,542.2707372,542.2707372,1571.339263,1571.339263,
BD Walls Roots,daily,14/03/2019,4887.2,4887.2,1253.866866,1253.866866,3633.333134,3633.333134,
BD Walls Roots,daily,18/03/2019,2505.02,2505.02,642.6914342,642.6914342,1862.328566,1862.328566,
BD Walls Roots,daily,19/03/2019,2113.61,2113.61,542.2707372,542.2707372,1571.339263,1571.339263,
BD Walls Roots,daily,20/03/2019,4887.2,4887.2,1253.866866,1253.866866,3633.333134,3633.333134,
BD Walls Roots,daily,21/03/2019,2505.02,2505.02,642.6914342,642.6914342,1862.328566,1862.328566,
BD Walls Roots,daily,25/03/2019,16908.85,16908.85,4338.158201,4338.158201,12570.6918,12570.6918,
BD Walls Roots,daily,26/03/2019,17454.3,17454.3,4478.099616,4478.099616,12976.20038,12976.20038,
BD Walls Roots,daily,27/03/2019,20040.12,20040.12,5141.521211,5141.521211,14898.59879,14898.59879,
