area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
BD Walls : Serving the district,dayOfWeek,01/01/2019,4030266.24,11011.66,3876153.255,10590.58613,154112.9854,421.0738686,
BD Walls : Serving the district,dayOfWeek,01/01/2019,4472701.55,12220.5,4301670.321,11753.20141,171031.2291,467.2985917,
BD Walls : Serving the district,dayOfWeek,03/01/2019,4187689.44,11441.77,4027556.763,11004.24919,160132.6769,437.5208059,
BD Walls : Serving the district,dayOfWeek,04/01/2019,3792485.94,10361.98,3647465.414,9965.749186,145020.5261,396.2308139,
BD Walls : Serving the district,dayOfWeek,05/01/2019,4680818.91,12789.12,4501829.5,12300.078,178989.41,489.0420004,
BD Walls : Serving the district,dayOfWeek,06/01/2019,4076365.34,11137.61,3920489.575,10711.71994,155875.7647,425.8900592,
BD Walls : Serving the district,dayOfWeek,07/01/2019,3245527.32,8867.56,3121421.895,8528.474177,124105.425,339.085823,
BD Walls : Serving the district,daily,07/01/2019,4099.12,4099.12,3894.998725,3894.998725,204.1212747,204.1212747,
BD Walls : Serving the district,daily,08/01/2019,20040.12,20040.12,19042.19487,19042.19487,997.9251255,997.9251255,
BD Walls : Serving the district,daily,10/01/2019,62432.69,62432.69,59323.769,59323.769,3108.921005,3108.921005,
BD Walls : Serving the district,daily,11/01/2019,8283.21,8283.21,8283.21,8283.21,0,0,
BD Walls : Serving the district,daily,12/01/2019,6763.54,6763.54,6763.54,6763.54,0,0,
BD Walls : Serving the district,daily,13/01/2019,12794.61,12794.61,12157.48493,12157.48493,637.1250666,637.1250666,
BD Walls : Serving the district,daily,14/01/2019,16396.46,16396.46,15579.9759,15579.9759,816.484103,816.484103,
BD Walls : Serving the district,daily,14/01/2019,5323.16,5323.16,5058.085983,5058.085983,265.0740171,265.0740171,
BD Walls : Serving the district,daily,15/01/2019,10839.01,10839.01,10299.2667,10299.2667,539.7432957,539.7432957,
BD Walls : Serving the district,daily,17/01/2019,5407.99,5407.99,5407.99,5407.99,0,0,
BD Walls : Serving the district,daily,18/01/2019,13527.08,13527.08,13527.08,13527.08,0,0,
BD Walls : Serving the district,daily,19/01/2019,18254.28,18254.28,17345.28321,17345.28321,908.9967854,908.9967854,
BD Walls : Serving the district,daily,20/01/2019,4754.97,4754.97,4518.189779,4518.189779,236.7802206,236.7802206,
BD Walls : Serving the district,daily,21/01/2019,7984.74,7984.74,7587.128974,7587.128974,397.6110256,397.6110256,
BD Walls : Serving the district,daily,21/01/2019,22545.14,22545.14,21422.47398,21422.47398,1122.666015,1122.666015,
BD Walls : Serving the district,daily,22/01/2019,9692.28,9692.28,9692.28,9692.28,0,0,
BD Walls : Serving the district,daily,23/01/2019,18036.11,18036.11,18036.11,18036.11,0,0,
BD Walls : Serving the district,daily,24/01/2019,22410.07,22410.07,21294.12998,21294.12998,1115.94002,1115.94002,
BD Walls : Serving the district,daily,25/01/2019,10634.28,10634.28,10104.73151,10104.73151,529.5484859,529.5484859,
BD Walls : Serving the district,daily,26/01/2019,3381.77,3381.77,3213.370148,3213.370148,168.3998525,168.3998525,
BD Walls : Serving the district,daily,27/01/2019,9915.69,9915.69,9421.924684,9421.924684,493.7653161,493.7653161,
BD Walls : Serving the district,daily,28/01/2019,25277.53,25277.53,24018.8009,24018.8009,1258.729104,1258.729104,
BD Walls : Serving the district,daily,28/01/2019,14944.23,14944.23,14944.23,14944.23,0,0,
BD Walls : Serving the district,daily,29/01/2019,13219.65,13219.65,13219.65,13219.65,0,0,
BD Walls : Serving the district,daily,30/01/2019,28478.07,28478.07,27059.96564,27059.96564,1418.104362,1418.104362,
BD Walls : Serving the district,daily,31/01/2019,14179.04,14179.04,13472.97535,13472.97535,706.0646479,706.0646479,
BD Walls : Serving the district,daily,01/02/2019,8454.43,8454.43,8033.43012,8033.43012,420.9998802,420.9998802,
BD Walls : Serving the district,daily,01/02/2019,12023.19,12023.19,11424.47885,11424.47885,598.7111549,598.7111549,
BD Walls : Serving the district,daily,02/02/2019,16568.89,16568.89,15743.81951,15743.81951,825.0704902,825.0704902,
BD Walls : Serving the district,daily,03/02/2019,12449.17,12449.17,12449.17,12449.17,0,0,
BD Walls : Serving the district,daily,04/02/2019,17626.2,17626.2,17626.2,17626.2,0,0,
BD Walls : Serving the district,daily,04/02/2019,25725.19,25725.19,24444.16906,24444.16906,1281.020945,1281.020945,
BD Walls : Serving the district,daily,05/02/2019,21643.33,21643.33,20565.57084,20565.57084,1077.759155,1077.759155,
BD Walls : Serving the district,daily,06/02/2019,10855.07,10855.07,10314.52697,10314.52697,540.5430253,540.5430253,
BD Walls : Serving the district,daily,07/02/2019,12646.29,12646.29,12016.55073,12016.55073,629.7392698,629.7392698,
BD Walls : Serving the district,daily,08/02/2019,19139.21,19139.21,18186.14692,18186.14692,953.0630825,953.0630825,
BD Walls : Serving the district,daily,09/02/2019,16598.89,16598.89,16598.89,16598.89,0,0,
BD Walls : Serving the district,daily,10/02/2019,45090.28,45090.28,45090.28,45090.28,0,0,
BD Walls : Serving the district,daily,11/02/2019,43286.67,43286.67,41131.15119,41131.15119,2155.518809,2155.518809,
BD Walls : Serving the district,daily,11/02/2019,26384.76,26384.76,25070.89487,25070.89487,1313.865133,1313.865133,
BD Walls : Serving the district,daily,12/02/2019,14473.42,14473.42,13752.6963,13752.6963,720.7237017,720.7237017,
BD Walls : Serving the district,daily,13/02/2019,45090.28,45090.28,42844.94797,42844.94797,2245.33203,2245.33203,
BD Walls : Serving the district,daily,14/02/2019,64930,64930,61696.72204,61696.72204,3233.277964,3233.277964,
BD Walls : Serving the district,daily,15/02/2019,30060.19,30060.19,30060.19,30060.19,0,0,
BD Walls : Serving the district,daily,16/02/2019,36072.22,36072.22,36072.22,36072.22,0,0,
BD Walls : Serving the district,daily,17/02/2019,27054.17,27054.17,25706.97068,25706.97068,1347.199318,1347.199318,
BD Walls : Serving the district,daily,18/02/2019,51531.75,51531.75,48965.65618,48965.65618,2566.09382,2566.09382,
BD Walls : Serving the district,daily,18/02/2019,27054.17,27054.17,25706.97068,25706.97068,1347.199318,1347.199318,
BD Walls : Serving the district,daily,19/02/2019,16908.85,16908.85,16066.85074,16066.85074,841.9992624,841.9992624,
BD Walls : Serving the district,daily,20/02/2019,15459.52,15459.52,14689.6921,14689.6921,769.827897,769.827897,
BD Walls : Serving the district,daily,21/02/2019,40080.25,40080.25,40080.25,40080.25,0,0,
BD Walls : Serving the district,daily,22/02/2019,24594.7,24594.7,24594.7,24594.7,0,0,
BD Walls : Serving the district,daily,23/02/2019,20040.12,20040.12,19042.19487,19042.19487,997.9251255,997.9251255,
BD Walls : Serving the district,daily,24/02/2019,31828.43,31828.43,30243.48989,30243.48989,1584.94011,1584.94011,
BD Walls : Serving the district,daily,25/02/2019,36072.22,36072.22,34275.95457,34275.95457,1796.265425,1796.265425,
BD Walls : Serving the district,daily,25/02/2019,17454.3,17454.3,16585.13931,16585.13931,869.1606895,869.1606895,
BD Walls : Serving the district,daily,26/02/2019,16908.85,16908.85,16066.85074,16066.85074,841.9992624,841.9992624,
BD Walls : Serving the district,daily,27/02/2019,24594.7,24594.7,24594.7,24594.7,0,0,
BD Walls : Serving the district,daily,28/02/2019,38648.81,38648.81,38648.81,38648.81,0,0,
BD Walls : Serving the district,daily,01/03/2019,23213.14,23213.14,22057.21001,22057.21001,1155.929987,1155.929987,
BD Walls : Serving the district,daily,01/03/2019,19927.85,19927.85,18935.51551,18935.51551,992.3344876,992.3344876,
BD Walls : Serving the district,daily,02/03/2019,20040.12,20040.12,19042.19487,19042.19487,997.9251255,997.9251255,
BD Walls : Serving the district,daily,03/03/2019,16396.46,16396.46,15579.9759,15579.9759,816.484103,816.484103,
BD Walls : Serving the district,daily,04/03/2019,12923.2,12923.2,12279.67162,12279.67162,643.5283811,643.5283811,
BD Walls : Serving the district,daily,04/03/2019,45090.28,45090.28,45090.28,45090.28,0,0,
BD Walls : Serving the district,daily,05/03/2019,24265.3,24265.3,24265.3,24265.3,0,0,
BD Walls : Serving the district,daily,06/03/2019,19409.33,19409.33,18442.81592,18442.81592,966.5140765,966.5140765,
BD Walls : Serving the district,daily,07/03/2019,19927.85,19927.85,18935.51551,18935.51551,992.3344876,992.3344876,
BD Walls : Serving the district,daily,08/03/2019,14473.42,14473.42,13752.6963,13752.6963,720.7237017,720.7237017,
BD Walls : Serving the district,daily,09/03/2019,22545.14,22545.14,21422.47398,21422.47398,1122.666015,1122.666015,
BD Walls : Serving the district,daily,10/03/2019,19324.4,19324.4,18362.11513,18362.11513,962.2848713,962.2848713,
BD Walls : Serving the district,daily,11/03/2019,21531.38,21531.38,21531.38,21531.38,0,0,
BD Walls : Serving the district,daily,11/03/2019,33817.71,33817.71,33817.71,33817.71,0,0,
BD Walls : Serving the district,daily,12/03/2019,45090.28,45090.28,42844.94797,42844.94797,2245.33203,2245.33203,
BD Walls : Serving the district,daily,13/03/2019,17208.82,17208.82,16351.88332,16351.88332,856.9366779,856.9366779,
BD Walls : Serving the district,daily,14/03/2019,14019.55,14019.55,13321.42737,13321.42737,698.1226256,698.1226256,
BD Walls : Serving the district,daily,15/03/2019,24540.98,24540.98,23318.92841,23318.92841,1222.051592,1222.051592,
BD Walls : Serving the district,daily,16/03/2019,15104.26,15104.26,14352.12276,14352.12276,752.1372405,752.1372405,
BD Walls : Serving the district,daily,17/03/2019,19774.61,19774.61,19774.61,19774.61,0,0,
BD Walls : Serving the district,daily,18/03/2019,30438.87,30438.87,30438.87,30438.87,0,0,
BD Walls : Serving the district,daily,18/03/2019,13320.99,13320.99,12657.65312,12657.65312,663.3368771,663.3368771,
BD Walls : Serving the district,daily,19/03/2019,30060.19,30060.19,28563.30181,28563.30181,1496.888186,1496.888186,
BD Walls : Serving the district,daily,20/03/2019,10445.16,10445.16,9925.029003,9925.029003,520.1309974,520.1309974,
BD Walls : Serving the district,daily,21/03/2019,39897.93,39897.93,37911.15812,37911.15812,1986.771876,1986.771876,
BD Walls : Serving the district,daily,22/03/2019,18530.54,18530.54,17607.78647,17607.78647,922.7535291,922.7535291,
BD Walls : Serving the district,daily,23/03/2019,17454.3,17454.3,17454.3,17454.3,0,0,
BD Walls : Serving the district,daily,24/03/2019,34627.78,34627.78,34627.78,34627.78,0,0,
BD Walls : Serving the district,daily,25/03/2019,23525.36,23525.36,22353.88259,22353.88259,1171.477408,1171.477408,
BD Walls : Serving the district,daily,25/03/2019,11957.27,11957.27,11361.84142,11361.84142,595.4285785,595.4285785,
BD Walls : Serving the district,daily,26/03/2019,7994.9,7994.9,7596.783043,7596.783043,398.1169567,398.1169567,
BD Walls : Serving the district,daily,27/03/2019,19324.4,19324.4,18362.11513,18362.11513,962.2848713,962.2848713,
BD Walls : Serving the district,daily,28/03/2019,21643.33,21643.33,20565.57084,20565.57084,1077.759155,1077.759155,
BD Walls : Serving the district,daily,29/03/2019,19324.4,19324.4,19324.4,19324.4,0,0,
BD Walls : Serving the district,daily,30/03/2019,56956.14,56956.14,56956.14,56956.14,0,0,
BD Walls : Serving the district,daily,31/03/2019,13320.99,13320.99,12657.65312,12657.65312,663.3368771,663.3368771,
BD Walls : Serving the district,daily,01/04/2019,17935.91,17935.91,17042.76688,17042.76688,893.1431168,893.1431168,
BD Walls : Serving the district,daily,01/04/2019,5489.89,5489.89,5216.513435,5216.513435,273.376565,273.376565,
BD Walls : Serving the district,daily,01/04/2019,17454.3,17454.3,16585.13931,16585.13931,869.1606895,869.1606895,
BD Walls : Serving the district,daily,02/04/2019,29247.75,29247.75,27791.31837,27791.31837,1456.431628,1456.431628,
BD Walls : Serving the district,daily,03/04/2019,17454.3,17454.3,17454.3,17454.3,0,0,
BD Walls : Serving the district,daily,04/04/2019,41621.79,41621.79,41621.79,41621.79,0,0,
BD Walls : Serving the district,daily,05/04/2019,13873.93,13873.93,13183.05872,13183.05872,690.871279,690.871279,
BD Walls : Serving the district,daily,06/04/2019,20040.12,20040.12,19042.19487,19042.19487,997.9251255,997.9251255,
BD Walls : Serving the district,daily,07/04/2019,24594.7,24594.7,23369.97335,23369.97335,1224.726653,1224.726653,
BD Walls : Serving the district,daily,08/04/2019,16396.46,16396.46,15579.9759,15579.9759,816.484103,816.484103,
BD Walls : Serving the district,daily,08/04/2019,25142.4,25142.4,23890.39988,23890.39988,1252.000121,1252.000121,
BD Walls : Serving the district,daily,09/04/2019,20040.12,20040.12,20040.12,20040.12,0,0,
BD Walls : Serving the district,daily,10/04/2019,29930.88,29930.88,29930.88,29930.88,0,0,
BD Walls : Serving the district,daily,11/04/2019,4674.91,4674.91,4442.116476,4442.116476,232.7935236,232.7935236,
BD Walls : Serving the district,daily,12/04/2019,21643.33,21643.33,20565.57084,20565.57084,1077.759155,1077.759155,
BD Walls : Serving the district,daily,13/04/2019,12842.9,12842.9,12203.37027,12203.37027,639.529733,639.529733,
BD Walls : Serving the district,daily,14/04/2019,14344.03,14344.03,13629.74945,13629.74945,714.2805501,714.2805501,
BD Walls : Serving the district,daily,15/04/2019,22545.14,22545.14,21422.47398,21422.47398,1122.666015,1122.666015,
BD Walls : Serving the district,daily,15/04/2019,20810.9,20810.9,20810.9,20810.9,0,0,
BD Walls : Serving the district,daily,16/04/2019,19953.92,19953.92,19953.92,19953.92,0,0,
BD Walls : Serving the district,daily,17/04/2019,4674.91,4674.91,4442.116476,4442.116476,232.7935236,232.7935236,
BD Walls : Serving the district,daily,18/04/2019,40080.25,40080.25,38084.39925,38084.39925,1995.850749,1995.850749,
BD Walls : Serving the district,daily,19/04/2019,19324.4,19324.4,18362.11513,18362.11513,962.2848713,962.2848713,
BD Walls : Serving the district,daily,20/04/2019,12986.48,12986.48,12339.8005,12339.8005,646.6794951,646.6794951,
BD Walls : Serving the district,daily,21/04/2019,21643.33,21643.33,20565.57084,20565.57084,1077.759155,1077.759155,
BD Walls : Serving the district,daily,22/04/2019,18036.11,18036.11,18036.11,18036.11,0,0,
BD Walls : Serving the district,daily,22/04/2019,22545.14,22545.14,22545.14,22545.14,0,0,
BD Walls : Serving the district,daily,23/04/2019,1734.24,1734.24,1647.881152,1647.881152,86.35884763,86.35884763,
BD Walls : Serving the district,daily,24/04/2019,19324.4,19324.4,18362.11513,18362.11513,962.2848713,962.2848713,
BD Walls : Serving the district,daily,25/04/2019,14987.01,14987.01,14240.71138,14240.71138,746.2986167,746.2986167,
BD Walls : Serving the district,daily,26/04/2019,23525.36,23525.36,22353.88259,22353.88259,1171.477408,1171.477408,
BD Walls : Serving the district,daily,27/04/2019,21174.5,21174.5,20120.08687,20120.08687,1054.413126,1054.413126,
BD Walls : Serving the district,daily,28/04/2019,16099.54,16099.54,16099.54,16099.54,0,0,
BD Walls : Serving the district,daily,29/04/2019,8129.26,8129.26,8129.26,8129.26,0,0,
BD Walls : Serving the district,daily,29/04/2019,3847.85,3847.85,3656.241058,3656.241058,191.6089422,191.6089422,
BD Walls : Serving the district,daily,30/04/2019,22495.17,22495.17,21374.99231,21374.99231,1120.177691,1120.177691,
BD Walls : Serving the district,daily,01/05/2019,27747.86,27747.86,26366.11744,26366.11744,1381.742558,1381.742558,
BD Walls : Serving the district,daily,01/05/2019,12024.07,12024.07,11425.31502,11425.31502,598.7549757,598.7549757,
BD Walls : Serving the district,daily,02/05/2019,12297.35,12297.35,11684.98667,11684.98667,612.3633263,612.3633263,
BD Walls : Serving the district,daily,03/05/2019,12024.07,12024.07,12024.07,12024.07,0,0,
BD Walls : Serving the district,daily,04/05/2019,2818.14,2818.14,2818.14,2818.14,0,0,
BD Walls : Serving the district,daily,05/05/2019,2113.61,2113.61,2008.359905,2008.359905,105.2500945,105.2500945,
BD Walls : Serving the district,daily,06/05/2019,17254.62,17254.62,16395.40265,16395.40265,859.2173514,859.2173514,
BD Walls : Serving the district,daily,06/05/2019,11762.68,11762.68,11176.9413,11176.9413,585.7387039,585.7387039,
BD Walls : Serving the district,daily,07/05/2019,11272.57,11272.57,10711.23699,10711.23699,561.3330076,561.3330076,
BD Walls : Serving the district,daily,08/05/2019,22545.14,22545.14,21422.47398,21422.47398,1122.666015,1122.666015,
BD Walls : Serving the district,daily,09/05/2019,13527.08,13527.08,13527.08,13527.08,0,0,
BD Walls : Serving the district,daily,10/05/2019,2818.14,2818.14,2818.14,2818.14,0,0,
BD Walls : Serving the district,daily,11/05/2019,2113.61,2113.61,2008.359905,2008.359905,105.2500945,105.2500945,
BD Walls : Serving the district,daily,12/05/2019,29247.75,29247.75,27791.31837,27791.31837,1456.431628,1456.431628,
