area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
BD Walls - The Portal,dayOfWeek,01/01/2019,3057913.61,8354.96,1361003.008,3718.589581,1696910.602,4636.370419,
BD Walls - The Portal,dayOfWeek,01/01/2019,3562887.24,9734.66,1585754.494,4332.66051,1977132.746,5401.99949,
BD Walls - The Portal,dayOfWeek,02/01/2019,3184825.77,8701.71,1417488.525,3872.919577,1767337.245,4828.790423,
BD Walls - The Portal,dayOfWeek,03/01/2019,3007797.33,8218.03,1338697.47,3657.645367,1669099.86,4560.384633,
BD Walls - The Portal,dayOfWeek,04/01/2019,3200332.33,8744.08,1424390.118,3891.777434,1775942.212,4852.302566,
BD Walls - The Portal,dayOfWeek,05/01/2019,2827022.56,7724.11,1258239.015,3437.813583,1568783.545,4286.296417,
BD Walls - The Portal,dayOfWeek,06/01/2019,2701671.48,7381.62,1202448.296,3285.37961,1499223.184,4096.24039,
BD Walls - The Portal,daily,07/01/2019,31828.43,31828.43,15601.48371,15601.48371,16226.94629,16226.94629,
BD Walls - The Portal,daily,07/01/2019,55974.14,55974.14,27437.09424,27437.09424,28537.04576,28537.04576,
BD Walls - The Portal,daily,08/01/2019,40080.25,40080.25,19646.31518,19646.31518,20433.93482,20433.93482,
BD Walls - The Portal,daily,09/01/2019,20810.9,20810.9,10200.97181,10200.97181,10609.92819,10609.92819,
BD Walls - The Portal,daily,10/01/2019,40724.4,40724.4,10463.69091,10463.69091,30260.70909,30260.70909,
BD Walls - The Portal,daily,11/01/2019,27054.17,27054.17,6951.274244,6951.274244,20102.89576,20102.89576,
BD Walls - The Portal,daily,12/01/2019,20810.9,20810.9,10200.97181,10200.97181,10609.92819,10609.92819,
BD Walls - The Portal,daily,13/01/2019,32792.93,32792.93,16074.25698,16074.25698,16718.67302,16718.67302,
BD Walls - The Portal,daily,14/01/2019,41621.79,41621.79,20401.93873,20401.93873,21219.85127,21219.85127,
BD Walls - The Portal,daily,14/01/2019,19324.4,19324.4,9472.327469,9472.327469,9852.072531,9852.072531,
BD Walls - The Portal,daily,15/01/2019,23429.15,23429.15,11484.37111,11484.37111,11944.77889,11944.77889,
BD Walls - The Portal,daily,16/01/2019,13998.45,13998.45,3596.749224,3596.749224,10401.70078,10401.70078,
BD Walls - The Portal,daily,17/01/2019,23778.99,23778.99,6109.752424,6109.752424,17669.23758,17669.23758,
BD Walls - The Portal,daily,18/01/2019,19324.4,19324.4,9472.327469,9472.327469,9852.072531,9852.072531,
BD Walls - The Portal,daily,19/01/2019,16908.85,16908.85,8288.286535,8288.286535,8620.563465,8620.563465,
BD Walls - The Portal,daily,20/01/2019,20810.9,20810.9,10200.97181,10200.97181,10609.92819,10609.92819,
BD Walls - The Portal,daily,21/01/2019,13975.53,13975.53,6850.447968,6850.447968,7125.082032,7125.082032,
BD Walls - The Portal,daily,21/01/2019,22545.14,22545.14,11051.05198,11051.05198,11494.08802,11494.08802,
BD Walls - The Portal,daily,22/01/2019,14539.56,14539.56,3735.781543,3735.781543,10803.77846,10803.77846,
BD Walls - The Portal,daily,23/01/2019,15852.66,15852.66,4073.168283,4073.168283,11779.49172,11779.49172,
BD Walls - The Portal,daily,24/01/2019,24594.7,24594.7,12055.69396,12055.69396,12539.00604,12539.00604,
BD Walls - The Portal,daily,25/01/2019,20810.9,20810.9,10200.97181,10200.97181,10609.92819,10609.92819,
BD Walls - The Portal,daily,26/01/2019,23525.36,23525.36,11531.5308,11531.5308,11993.8292,11993.8292,
BD Walls - The Portal,daily,27/01/2019,13757.7,13757.7,6743.673264,6743.673264,7014.026736,7014.026736,
BD Walls - The Portal,daily,28/01/2019,24594.7,24594.7,12055.69396,12055.69396,12539.00604,12539.00604,
BD Walls - The Portal,daily,28/01/2019,14852.69,14852.69,3816.236885,3816.236885,11036.45311,11036.45311,
BD Walls - The Portal,daily,29/01/2019,31989.55,31989.55,8219.366368,8219.366368,23770.18363,23770.18363,
