area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,,Event took place
BD WALL - Wayfinders,daily,01/01/2019,79795.86,79795.86,19759.005326681487,19759.005326681487,60036.854673318514,60036.854673318514,,
BD WALL - Wayfinders,monthly,01/01/2019,938056.81,30259.9,200976.16105859695,6483.102591640519,737080.6489414031,23776.797408359485,,
BD WALL - Wayfinders,daily,02/01/2019,17168.99,17168.99,4251.375508249942,4251.375508249942,12917.614491750059,12917.614491750059,,
BD WALL - Wayfinders,daily,03/01/2019,20040.12,20040.12,4962.323081,4962.323081,15077.79691923696,15077.79691923696,,
BD WALL - Wayfinders,daily,04/01/2019,20810.9,20810.9,5153.183184604261,5153.183184604261,15657.71681539574,15657.71681539574,,
BD WALL - Wayfinders,daily,05/01/2019,73367.38,73367.38,9094.109084672413,9094.109084672413,64273.270915327594,64273.270915327594,,
BD WALL - Wayfinders,daily,06/01/2019,26637.76,26637.76,3301.8310754905433,3301.8310754905433,23335.928924509455,23335.928924509455,,
BD WALL - Wayfinders,daily,07/01/2019,18541.52,18541.52,4591.240603770313,4591.240603770313,13950.279396229687,13950.279396229687,,
BD WALL - Wayfinders,weekly,07/01/2019,215117.96,30731.14,46088.447218411864,6584.064500479763,169029.51278158813,24147.075499520237,,
BD WALL - Wayfinders,daily,08/01/2019,43540,43540,10781.349958803778,10781.349958803778,32758.650041196222,32758.650041196222,,
BD WALL - Wayfinders,daily,09/01/2019,20810.9,20810.9,5153.183184604261,5153.183184604261,15657.71681539574,15657.71681539574,,
BD WALL - Wayfinders,daily,10/01/2019,19324.4,19324.4,4785.096902708033,4785.096902708033,14539.30309729197,14539.30309729197,,
BD WALL - Wayfinders,daily,11/01/2019,30787.98,30787.98,7623.702041907476,7623.702041907476,23164.277958092523,23164.277958092523,,
BD WALL - Wayfinders,daily,12/01/2019,28708.94,28708.94,3558.560113027277,3558.560113027277,25150.37988697272,25150.37988697272,,
BD WALL - Wayfinders,daily,13/01/2019,31098.18,31098.18,3854.7136514180816,3854.7136514180816,27243.466348581922,27243.466348581922,,
