area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
BD WALLS: Come on in my friend,dayOfWeek,01/01/2019,4166850.76,11384.84,973592.8744,2660.090255,3193257.886,8724.749745,
BD WALLS: Come on in my friend,dayOfWeek,02/01/2019,4095172.31,11189,956845.0636,2614.331854,3138327.246,8574.668146,
BD WALLS: Come on in my friend,dayOfWeek,03/01/2019,4275517.82,11681.74,998983.1467,2729.461524,3276534.673,8952.278476,
BD WALLS: Come on in my friend,dayOfWeek,04/01/2019,4039520.16,11036.94,943841.8293,2578.802736,3095678.331,8458.137264,
BD WALLS: Come on in my friend,dayOfWeek,06/01/2019,4647928.3,12699.26,1085997.588,2967.207073,3561930.712,9732.052927,
BD WALLS: Come on in my friend,dayOfWeek,07/01/2019,4230165.45,11557.83,988386.4762,2700.509709,3241778.974,8857.320291,
BD WALLS: Come on in my friend,dayOfWeek,09/01/2019,4382366.32,11973.68,1023948.509,2797.673879,3358417.811,9176.006121,
BD WALLS: Come on in my friend,daily,10/01/2019,18658.05,18658.05,4956.001577,4956.001577,13702.04842,13702.04842,
BD WALLS: Come on in my friend,daily,11/01/2019,6117.92,6117.92,1625.058415,1625.058415,4492.861585,4492.861585,
BD WALLS: Come on in my friend,daily,12/01/2019,5993.69,5993.69,1592.060108,1592.060108,4401.629892,4401.629892,
BD WALLS: Come on in my friend,daily,14/01/2019,5371.13,5371.13,472.1403458,472.1403458,4898.989654,4898.989654,
BD WALLS: Come on in my friend,daily,16/01/2019,5592.73,5592.73,1485.556031,1485.556031,4107.173969,4107.173969,
BD WALLS: Come on in my friend,daily,17/01/2019,2897.19,2897.19,769.5594238,769.5594238,2127.630576,2127.630576,
BD WALLS: Come on in my friend,daily,18/01/2019,13973.47,13973.47,3711.670799,3711.670799,10261.7992,10261.7992,
BD WALLS: Come on in my friend,daily,19/01/2019,3074.34,3074.34,270.2447997,270.2447997,2804.0952,2804.0952,
BD WALLS: Come on in my friend,daily,21/01/2019,5592.73,5592.73,1485.556031,1485.556031,4107.173969,4107.173969,
BD WALLS: Come on in my friend,daily,23/01/2019,2897.19,2897.19,769.5594238,769.5594238,2127.630576,2127.630576,
BD WALLS: Come on in my friend,daily,24/01/2019,6784.36,6784.36,1802.080006,1802.080006,4982.279994,4982.279994,
BD WALLS: Come on in my friend,daily,25/01/2019,3074.34,3074.34,270.2447997,270.2447997,2804.0952,2804.0952,
BD WALLS: Come on in my friend,daily,26/01/2019,5592.73,5592.73,1485.556031,1485.556031,4107.173969,4107.173969,
BD WALLS: Come on in my friend,daily,28/01/2019,9204.04,9204.04,2444.801935,2444.801935,6759.238065,6759.238065,
BD WALLS: Come on in my friend,daily,30/01/2019,4452.1,4452.1,1182.578813,1182.578813,3269.521187,3269.521187,
BD WALLS: Come on in my friend,daily,31/01/2019,3074.34,3074.34,270.2447997,270.2447997,2804.0952,2804.0952,
BD WALLS: Come on in my friend,daily,01/02/2019,2332.26,2332.26,619.5011932,619.5011932,1712.758807,1712.758807,
BD WALLS: Come on in my friend,daily,01/02/2019,1150.51,1150.51,305.60157,305.60157,844.90843,844.90843,
BD WALLS: Come on in my friend,daily,02/02/2019,4452.1,4452.1,1182.578813,1182.578813,3269.521187,3269.521187,
BD WALLS: Come on in my friend,daily,04/02/2019,3074.34,3074.34,270.2447997,270.2447997,2804.0952,2804.0952,
BD WALLS: Come on in my friend,daily,07/02/2019,1150.51,1150.51,305.60157,305.60157,844.90843,844.90843,
BD WALLS: Come on in my friend,daily,08/02/2019,4452.1,4452.1,1182.578813,1182.578813,3269.521187,3269.521187,
BD WALLS: Come on in my friend,daily,09/02/2019,24594.7,24594.7,2161.956639,2161.956639,22432.74336,22432.74336,
BD WALLS: Come on in my friend,daily,10/02/2019,3559.76,3559.76,312.9148461,312.9148461,3246.845154,3246.845154,
BD WALLS: Come on in my friend,daily,11/02/2019,2818.14,2818.14,748.5619496,748.5619496,2069.57805,2069.57805,
BD WALLS: Come on in my friend,daily,11/02/2019,3644.13,3644.13,967.9636417,967.9636417,2676.166358,2676.166358,
BD WALLS: Come on in my friend,daily,14/02/2019,21643.33,21643.33,5748.959704,5748.959704,15894.3703,15894.3703,
BD WALLS: Come on in my friend,daily,15/02/2019,3074.34,3074.34,270.2447997,270.2447997,2804.0952,2804.0952,
BD WALLS: Come on in my friend,daily,16/02/2019,7786.97,7786.97,684.5007864,684.5007864,7102.469214,7102.469214,
BD WALLS: Come on in my friend,daily,17/02/2019,2818.14,2818.14,748.5619496,748.5619496,2069.57805,2069.57805,
BD WALLS: Come on in my friend,daily,18/02/2019,3381.77,3381.77,898.2748707,898.2748707,2483.495129,2483.495129,
BD WALLS: Come on in my friend,daily,18/02/2019,3644.13,3644.13,967.9636417,967.9636417,2676.166358,2676.166358,
