area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",dayOfWeek,01/01/2019,844612.85,2307.69,408949.1487,1117.349636,435663.7013,1190.340364,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",dayOfWeek,07/01/2019,771831.49,2108.83,373709.4821,1021.064542,398122.0079,1087.765458,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",dayOfWeek,14/01/2019,955770.21,2611.39,462769.9113,1264.39672,493000.2987,1346.99328,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",dayOfWeek,21/01/2019,853455.73,2331.85,413230.7414,1129.047554,440224.9886,1202.802446,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",dayOfWeek,28/01/2019,839562.82,2293.89,406503.9982,1110.667879,433058.8218,1183.222121,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",dayOfWeek,01/02/2019,799972.36,2185.72,387334.8784,1058.293552,412637.4816,1127.426448,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",dayOfWeek,04/02/2019,940486.7,2569.64,455369.86,1244.181983,485116.84,1325.458017,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,11/02/2019,2272.41,2272.41,1710.569496,1710.569496,561.8405041,561.8405041,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,18/02/2019,2272.41,2272.41,1710.569496,1710.569496,561.8405041,561.8405041,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,25/02/2019,2272.41,2272.41,1710.569496,1710.569496,561.8405041,561.8405041,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,27/02/2019,2272.41,2272.41,1710.569496,1710.569496,561.8405041,561.8405041,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,01/03/2019,18179.26,18179.26,13684.54091,13684.54091,4494.719088,4494.719088,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,04/03/2019,2272.41,2272.41,1710.569496,1710.569496,561.8405041,561.8405041,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,06/03/2019,2818.14,2818.14,1035.574364,1035.574364,1782.565636,1782.565636,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,11/03/2019,2272.41,2272.41,1710.569496,1710.569496,561.8405041,561.8405041,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,13/03/2019,2818.14,2818.14,1035.574364,1035.574364,1782.565636,1782.565636,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,18/03/2019,2272.41,2272.41,1710.569496,1710.569496,561.8405041,561.8405041,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,20/03/2019,2818.14,2818.14,1035.574364,1035.574364,1782.565636,1782.565636,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,25/03/2019,1439.05,1439.05,1083.253037,1083.253037,355.7969633,355.7969633,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,27/03/2019,2272.41,2272.41,1710.569496,1710.569496,561.8405041,561.8405041,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,01/04/2019,1409.07,1409.07,1060.685422,1060.685422,348.3845781,348.3845781,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,01/04/2019,2818.14,2818.14,1035.574364,1035.574364,1782.565636,1782.565636,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,03/04/2019,1439.05,1439.05,1083.253037,1083.253037,355.7969633,355.7969633,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,07/04/2019,1409.07,1409.07,1060.685422,1060.685422,348.3845781,348.3845781,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,08/04/2019,22545.14,22545.14,8284.602259,8284.602259,14260.53774,14260.53774,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,10/04/2019,1439.05,1439.05,1083.253037,1083.253037,355.7969633,355.7969633,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,14/04/2019,1811.38,1811.38,1363.526553,1363.526553,447.8534474,447.8534474,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,15/04/2019,1409.07,1409.07,1060.685422,1060.685422,348.3845781,348.3845781,
"Balancing Art - Coates Street, Bradford Foyer, Coates TER, Wootton Street",daily,17/04/2019,2818.14,2818.14,1035.574364,1035.574364,1782.565636,1782.565636,
