Event Name,area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
,Bradford - City Centre,dayOfWeek,01/01/2019,28306231.41,77551.32,22124356.69,60614.6767,6181874.718,16936.6433,
,Bradford - City Centre,dayOfWeek,01/01/2019,29196912.19,79991.54,22820519.28,62521.97043,6376392.912,17469.56957,
,Bradford - City Centre,dayOfWeek,02/01/2019,29238989.02,80106.82,22853406.84,62612.07412,6385582.185,17494.74588,
,Bradford - City Centre,dayOfWeek,03/01/2019,29373654.04,80475.76,22958662,62900.44031,6414992.044,17575.31969,
,Bradford - City Centre,dayOfWeek,04/01/2019,29489073.89,80791.98,23048874.99,63147.60017,6440198.898,17644.37983,
,Bradford - City Centre,dayOfWeek,05/01/2019,28567630.44,78267.48,22328668.08,61174.43258,6238962.362,17093.04742,
,Bradford - City Centre,dayOfWeek,06/01/2019,20996975.78,57525.96,16411389.24,44962.70943,4585586.539,12563.25057,
,Bradford - City Centre,daily,07/01/2019,63656.86,63656.86,49572.4628,49572.4628,14084.3972,14084.3972,
,Bradford - City Centre,daily,07/01/2019,133008.44,133008.44,103579.6605,103579.6605,29428.77954,29428.77954,
,Bradford - City Centre,daily,08/01/2019,70403.68,70403.68,54826.51529,54826.51529,15577.16471,15577.16471,
,Bradford - City Centre,daily,09/01/2019,62432.69,62432.69,48619.14651,48619.14651,13813.54349,13813.54349,
,Bradford - City Centre,daily,10/01/2019,124109.52,124109.52,98241.63801,98241.63801,25867.88199,25867.88199,
,Bradford - City Centre,daily,11/01/2019,27054.17,27054.17,21415.32717,21415.32717,5638.842829,5638.842829,
,Bradford - City Centre,daily,12/01/2019,62432.69,62432.69,48619.14651,48619.14651,13813.54349,13813.54349,
,Bradford - City Centre,daily,13/01/2019,61135.77,61135.77,47609.17652,47609.17652,13526.59348,13526.59348,
,Bradford - City Centre,daily,14/01/2019,39442.19,39442.19,30715.4091,30715.4091,8726.780903,8726.780903,
,Bradford - City Centre,daily,14/01/2019,62004.68,62004.68,48285.83585,48285.83585,13718.84415,13718.84415,
,Bradford - City Centre,daily,15/01/2019,40080.25,40080.25,31212.29514,31212.29514,8867.954855,8867.954855,
,Bradford - City Centre,daily,16/01/2019,103982,103982,82309.25399,82309.25399,21672.74601,21672.74601,
,Bradford - City Centre,daily,17/01/2019,64102.59,64102.59,50741.82418,50741.82418,13360.76582,13360.76582,
,Bradford - City Centre,daily,18/01/2019,70525.92,70525.92,54921.70908,54921.70908,15604.21092,15604.21092,
,Bradford - City Centre,daily,19/01/2019,48909.78,48909.78,38088.24767,38088.24767,10821.53233,10821.53233,
,Bradford - City Centre,daily,20/01/2019,62432.69,62432.69,48619.14651,48619.14651,13813.54349,13813.54349,
,Bradford - City Centre,daily,21/01/2019,18658.05,18658.05,14529.86355,14529.86355,4128.186453,4128.186453,
,Bradford - City Centre,daily,21/01/2019,174250.53,174250.53,135696.7327,135696.7327,38553.79728,38553.79728,
,Bradford - City Centre,daily,22/01/2019,31828.43,31828.43,25194.49836,25194.49836,6633.931636,6633.931636,
