Event name,area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
,Draley Street Market,dayOfWeek,01/01/2019,3504306.24,9574.61,3218856.621,8794.69278,285449.6193,779.9172197,
,Draley Street Market,dayOfWeek,01/01/2019,3207466.13,8763.57,2946196.16,8049.717514,261269.9699,713.8524858,
,Draley Street Market,dayOfWeek,02/01/2019,3394947.72,9275.81,3118406.097,8520.232076,276541.6228,755.5779239,
,Draley Street Market,dayOfWeek,03/01/2019,3457564.83,9446.9,3175922.617,8677.38563,281642.213,769.5143701,
,Draley Street Market,dayOfWeek,04/01/2019,3693702.65,10092.08,3392825.403,9270.011323,300877.2473,822.0686769,
,Draley Street Market,dayOfWeek,05/01/2019,4625070.5,12636.8,4248326.996,11607.44654,376743.5045,1029.353459,
,Draley Street Market,dayOfWeek,06/01/2019,2858631.03,7810.47,2625776.056,7174.254003,232854.9743,636.215997,
,Draley Street Market,daily,07/01/2019,4844.77,4844.77,4450.477193,4450.477193,394.2928071,394.2928071,
,Draley Street Market,daily,07/01/2019,18658.05,18658.05,17139.55998,17139.55998,1518.490023,1518.490023,
,Draley Street Market,daily,08/01/2019,6771.97,6771.97,6220.831543,6220.831543,551.1384567,551.1384567,
,Draley Street Market,daily,09/01/2019,8755.85,8755.85,8043.252978,8043.252978,712.5970222,712.5970222,
,Draley Street Market,daily,10/01/2019,23433.09,23433.09,21520.9312,21520.9312,1912.158796,1912.158796,
,Draley Street Market,daily,11/01/2019,10686.73,10686.73,9814.684326,9814.684326,872.0456742,872.0456742,
,Draley Street Market,daily,12/01/2019,1569.09,1569.09,1441.389221,1441.389221,127.7007785,127.7007785,
,Draley Street Market,daily,13/01/2019,16396.46,16396.46,15062.03004,15062.03004,1334.429961,1334.429961,
,Draley Street Market,daily,14/01/2019,9941.53,9941.53,9132.436117,9132.436117,809.0938828,809.0938828,
,Draley Street Market,daily,14/01/2019,11066.28,11066.28,10165.64806,10165.64806,900.6319403,900.6319403,
,Draley Street Market,daily,15/01/2019,10618.98,10618.98,9754.751681,9754.751681,864.228319,864.228319,
,Draley Street Market,daily,16/01/2019,20758.06,20758.06,19064.18578,19064.18578,1693.874219,1693.874219,
,Draley Street Market,daily,17/01/2019,10686.73,10686.73,9814.684326,9814.684326,872.0456742,872.0456742,
,Draley Street Market,daily,18/01/2019,12552.71,12552.71,11531.10459,11531.10459,1021.605414,1021.605414,
,Draley Street Market,daily,19/01/2019,4844.77,4844.77,4450.477193,4450.477193,394.2928071,394.2928071,
,Draley Street Market,daily,20/01/2019,7456.15,7456.15,6849.329384,6849.329384,606.8206156,606.8206156,
,Draley Street Market,daily,21/01/2019,12795.01,12795.01,11753.68494,11753.68494,1041.32506,1041.32506,
,Draley Street Market,daily,21/01/2019,12621.2,12621.2,11594.02051,11594.02051,1027.17949,1027.17949,
,Draley Street Market,daily,22/01/2019,15705.49,15705.49,14423.90952,14423.90952,1281.580485,1281.580485,
,Draley Street Market,daily,23/01/2019,30060.19,30060.19,27607.25457,27607.25457,2452.935431,2452.935431,
,Draley Street Market,daily,24/01/2019,1569.09,1569.09,1441.389221,1441.389221,127.7007785,127.7007785,
,Draley Street Market,daily,25/01/2019,5270.29,5270.29,4841.366142,4841.366142,428.9238578,428.9238578,
,Draley Street Market,daily,26/01/2019,5406.59,5406.59,4966.573333,4966.573333,440.016667,440.016667,
,Draley Street Market,daily,27/01/2019,9204.04,9204.04,8454.966924,8454.966924,749.0730764,749.0730764,
,Draley Street Market,daily,28/01/2019,18631.3,18631.3,17114.98703,17114.98703,1516.312968,1516.312968,
,Draley Street Market,daily,28/01/2019,14733.7,14733.7,13531.41835,13531.41835,1202.281647,1202.281647,
,Draley Street Market,daily,29/01/2019,11340.89,11340.89,10415.46435,10415.46435,925.4256509,925.4256509,
,Draley Street Market,daily,30/01/2019,1569.09,1569.09,1441.389221,1441.389221,127.7007785,127.7007785,
,Draley Street Market,daily,31/01/2019,10160.15,10160.15,9333.263674,9333.263674,826.8863257,826.8863257,
,Draley Street Market,daily,01/02/2019,24594.7,24594.7,22593.05425,22593.05425,2001.645755,2001.645755,
,Draley Street Market,daily,01/02/2019,25765.87,25765.87,23668.90828,23668.90828,2096.961715,2096.961715,
,Draley Street Market,daily,02/02/2019,13449.41,13449.41,12354.82643,12354.82643,1094.583566,1094.583566,
,Draley Street Market,daily,03/02/2019,15489.11,15489.11,14225.1863,14225.1863,1263.923705,1263.923705,
,Draley Street Market,daily,04/02/2019,15121.18,15121.18,13887.27968,13887.27968,1233.900324,1233.900324,
,Draley Street Market,daily,04/02/2019,1569.09,1569.09,1441.389221,1441.389221,127.7007785,127.7007785,
,Draley Street Market,daily,05/02/2019,10160.15,10160.15,9333.263674,9333.263674,826.8863257,826.8863257,
,Draley Street Market,daily,06/02/2019,5328.85,5328.85,4895.160222,4895.160222,433.6897779,433.6897779,
,Draley Street Market,daily,07/02/2019,24945.33,24945.33,22915.14814,22915.14814,2030.181864,2030.181864,
,Draley Street Market,daily,08/02/2019,22545.14,22545.14,20710.29819,20710.29819,1834.841806,1834.841806,
,Draley Street Market,daily,09/02/2019,24594.7,24594.7,22587.7529,22587.7529,2006.947096,2006.947096,
,Draley Street Market,daily,10/02/2019,15121.18,15121.18,13887.27968,13887.27968,1233.900324,1233.900324,
,Draley Street Market,daily,11/02/2019,1569.09,1569.09,1441.389221,1441.389221,127.7007785,127.7007785,
,Draley Street Market,daily,11/02/2019,8355.83,8355.83,7675.788705,7675.788705,680.0412953,680.0412953,
,Draley Street Market,daily,12/02/2019,5328.85,5328.85,4895.160222,4895.160222,433.6897779,433.6897779,
,Draley Street Market,daily,13/02/2019,31763.24,31763.24,29178.18084,29178.18084,2585.059159,2585.059159,
,Draley Street Market,daily,14/02/2019,13728.38,13728.38,12611.09239,12611.09239,1117.287609,1117.287609,
,Draley Street Market,daily,15/02/2019,25066.17,25066.17,23020.75058,23020.75058,2045.419424,2045.419424,
,Draley Street Market,daily,16/02/2019,36072.22,36072.22,33128.69814,33128.69814,2943.521864,2943.521864,
,Draley Street Market,daily,17/02/2019,4699.19,4699.19,4316.745257,4316.745257,382.4447427,382.4447427,
,Draley Street Market,daily,18/02/2019,25765.87,25765.87,23668.90828,23668.90828,2096.961715,2096.961715,
,Draley Street Market,daily,18/02/2019,5328.85,5328.85,4895.160222,4895.160222,433.6897779,433.6897779,
,Draley Street Market,daily,19/02/2019,33817.71,33817.71,31065.44729,31065.44729,2752.262709,2752.262709,
,Draley Street Market,daily,20/02/2019,15459.52,15459.52,14201.34313,14201.34313,1258.176866,1258.176866,
,Draley Street Market,daily,21/02/2019,40080.25,40080.25,36809.6697,36809.6697,3270.580302,3270.580302,
,Draley Street Market,daily,22/02/2019,24594.7,24594.7,22587.7529,22587.7529,2006.947096,2006.947096,
,Draley Street Market,daily,23/02/2019,4699.19,4699.19,4316.745257,4316.745257,382.4447427,382.4447427,
,Draley Street Market,daily,24/02/2019,37597.14,37597.14,34537.28744,34537.28744,3059.852556,3059.852556,
,Draley Street Market,daily,25/02/2019,18036.11,18036.11,16568.23672,16568.23672,1467.873282,1467.873282,
,Draley Street Market,daily,25/02/2019,34908.6,34908.6,32067.55494,32067.55494,2841.045062,2841.045062,
,Draley Street Market,daily,26/02/2019,16908.85,16908.85,15532.71905,15532.71905,1376.130948,1376.130948,
,Draley Street Market,daily,27/02/2019,22550.48,22550.48,20710.34288,20710.34288,1840.137117,1840.137117,
,Draley Street Market,daily,28/02/2019,7583.36,7583.36,6964.551788,6964.551788,618.808212,618.808212,
,Draley Street Market,daily,01/03/2019,4699.19,4699.19,4316.745257,4316.745257,382.4447427,382.4447427,
,Draley Street Market,daily,01/03/2019,10537.08,10537.08,9679.517133,9679.517133,857.5628672,857.5628672,
,Draley Street Market,daily,02/03/2019,5072.66,5072.66,4659.820309,4659.820309,412.8396912,412.8396912,
,Draley Street Market,daily,03/03/2019,16396.46,16396.46,15062.03004,15062.03004,1334.429961,1334.429961,
,Draley Street Market,daily,04/03/2019,21643.33,21643.33,19881.88222,19881.88222,1761.447776,1761.447776,
,Draley Street Market,daily,04/03/2019,22545.14,22545.14,20705.43863,20705.43863,1839.701369,1839.701369,
,Draley Street Market,daily,05/03/2019,7583.36,7583.36,6964.551788,6964.551788,618.808212,618.808212,
