area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
Lister Park,dayOfWeek,01/01/2019,7611940.75,20854.63,2239247.164,6134.923092,5372693.586,14719.70691,
Lister Park,dayOfWeek,01/01/2019,7943595.12,21763.27,2336811.784,6402.2228,5606783.336,15361.0472,
Lister Park,dayOfWeek,02/01/2019,7526345.95,20620.13,2214067.263,6065.938916,5312278.687,14554.19108,
Lister Park,dayOfWeek,03/01/2019,7838003.12,21473.98,2305749.195,6317.120744,5532253.925,15156.85926,
Lister Park,dayOfWeek,04/01/2019,7703468.81,21105.39,2266172.485,6208.690563,5437296.325,14896.69944,
Lister Park,dayOfWeek,05/01/2019,6673147.25,18282.6,1963077.032,5378.294648,4710070.218,12904.30535,
Lister Park,dayOfWeek,06/01/2019,7290769.68,19974.71,2144766.475,5876.072106,5146003.205,14098.63789,
Lister Park,daily,07/01/2019,12821.68,12821.68,3478.781617,3478.781617,9342.898383,9342.898383,
Lister Park,daily,07/01/2019,13278.33,13278.33,3602.680017,3602.680017,9675.649983,9675.649983,
Lister Park,daily,08/01/2019,5636.28,5636.28,1529.236984,1529.236984,4107.043016,4107.043016,
Lister Park,daily,09/01/2019,7972.12,7972.12,2162.997712,2162.997712,5809.122288,5809.122288,
Lister Park,daily,10/01/2019,16706.88,16706.88,5967.753945,5967.753945,10739.12606,10739.12606,
Lister Park,daily,11/01/2019,7890.8,7890.8,2818.620402,2818.620402,5072.179598,5072.179598,
Lister Park,daily,12/01/2019,7408.18,7408.18,2009.989362,2009.989362,5398.190638,5398.190638,
Lister Park,daily,13/01/2019,15033.14,15033.14,4078.795531,4078.795531,10954.34447,10954.34447,
Lister Park,daily,14/01/2019,20810.9,20810.9,5646.418906,5646.418906,15164.48109,15164.48109,
Lister Park,daily,14/01/2019,2415.55,2415.55,655.3876665,655.3876665,1760.162333,1760.162333,
Lister Park,daily,15/01/2019,7635.85,7635.85,2071.760847,2071.760847,5564.089153,5564.089153,
Lister Park,daily,16/01/2019,20810.9,20810.9,7433.723746,7433.723746,13377.17625,13377.17625,
Lister Park,daily,17/01/2019,27054.17,27054.17,9663.840869,9663.840869,17390.32913,17390.32913,
Lister Park,daily,18/01/2019,19324.4,19324.4,5243.101332,5243.101332,14081.29867,14081.29867,
Lister Park,daily,19/01/2019,12417.86,12417.86,3369.217068,3369.217068,9048.642932,9048.642932,
Lister Park,daily,20/01/2019,12871.26,12871.26,3492.233676,3492.233676,9379.026324,9379.026324,
Lister Park,daily,21/01/2019,2415.55,2415.55,655.3876665,655.3876665,1760.162333,1760.162333,
Lister Park,daily,21/01/2019,11228.39,11228.39,3046.489752,3046.489752,8181.900248,8181.900248,
Lister Park,daily,22/01/2019,13378.62,13378.62,4778.888235,4778.888235,8599.731765,8599.731765,
Lister Park,daily,23/01/2019,7890.8,7890.8,2818.620402,2818.620402,5072.179598,5072.179598,
Lister Park,daily,24/01/2019,7088.56,7088.56,1923.269979,1923.269979,5165.290021,5165.290021,
Lister Park,daily,25/01/2019,13652.94,13652.94,3704.319301,3704.319301,9948.620699,9948.620699,
Lister Park,daily,26/01/2019,10996.6,10996.6,2983.600428,2983.600428,8012.999572,8012.999572,
Lister Park,daily,27/01/2019,19324.4,19324.4,5243.101332,5243.101332,14081.29867,14081.29867,
Lister Park,daily,28/01/2019,11228.39,11228.39,3046.489752,3046.489752,8181.900248,8181.900248,
Lister Park,daily,28/01/2019,20067.92,20067.92,7168.328781,7168.328781,12899.59122,12899.59122,
Lister Park,daily,29/01/2019,7890.8,7890.8,2818.620402,2818.620402,5072.179598,5072.179598,
Lister Park,daily,30/01/2019,17216.8,17216.8,4671.266741,4671.266741,12545.53326,12545.53326,
Lister Park,daily,31/01/2019,25765.87,25765.87,6990.802681,6990.802681,18775.06732,18775.06732,
Lister Park,daily,01/02/2019,15505.63,15505.63,4206.991643,4206.991643,11298.63836,11298.63836,
Lister Park,daily,01/02/2019,6896.01,6896.01,1871.027262,1871.027262,5024.982738,5024.982738,
Lister Park,daily,02/02/2019,46540.49,46540.49,12627.37809,12627.37809,33913.11191,33913.11191,
Lister Park,daily,03/02/2019,39897.93,39897.93,14251.67531,14251.67531,25646.25469,25646.25469,
Lister Park,daily,04/02/2019,36072.22,36072.22,12885.11878,12885.11878,23187.10122,23187.10122,
Lister Park,daily,04/02/2019,20810.9,20810.9,5646.418906,5646.418906,15164.48109,15164.48109,
Lister Park,daily,05/02/2019,43286.67,43286.67,11744.55078,11744.55078,31542.11922,31542.11922,
Lister Park,daily,06/02/2019,23525.36,23525.36,6382.906913,6382.906913,17142.45309,17142.45309,
Lister Park,daily,07/02/2019,6896.01,6896.01,1871.027262,1871.027262,5024.982738,5024.982738,
Lister Park,daily,08/02/2019,20607.48,20607.48,5591.226938,5591.226938,15016.25306,15016.25306,
Lister Park,daily,09/02/2019,19562.86,19562.86,6987.919644,6987.919644,12574.94036,12574.94036,
Lister Park,daily,10/02/2019,12721.9,12721.9,4544.305634,4544.305634,8177.594366,8177.594366,
Lister Park,daily,11/02/2019,21643.33,21643.33,5872.274035,5872.274035,15771.05597,15771.05597,
Lister Park,daily,11/02/2019,14029.02,14029.02,3806.357426,3806.357426,10222.66257,10222.66257,
Lister Park,daily,12/02/2019,21643.33,21643.33,5872.274035,5872.274035,15771.05597,15771.05597,
Lister Park,daily,13/02/2019,12155.73,12155.73,3298.095887,3298.095887,8857.634113,8857.634113,
Lister Park,daily,14/02/2019,43286.67,43286.67,11744.55078,11744.55078,31542.11922,31542.11922,
Lister Park,daily,15/02/2019,19875.23,19875.23,7099.499262,7099.499262,12775.73074,12775.73074,
Lister Park,daily,16/02/2019,9340.13,9340.13,3336.325972,3336.325972,6003.804028,6003.804028,
Lister Park,daily,17/02/2019,25568.36,25568.36,6937.214215,6937.214215,18631.14579,18631.14579,
Lister Park,daily,18/02/2019,27803.84,27803.84,7543.745241,7543.745241,20260.09476,20260.09476,
Lister Park,daily,18/02/2019,27054.17,27054.17,7340.344578,7340.344578,19713.82542,19713.82542,
Lister Park,daily,19/02/2019,14842.2,14842.2,4026.98964,4026.98964,10815.21036,10815.21036,
Lister Park,daily,20/02/2019,25081.47,25081.47,6805.111091,6805.111091,18276.35891,18276.35891,
Lister Park,daily,21/02/2019,20040.12,20040.12,7158.398527,7158.398527,12881.72147,12881.72147,
Lister Park,daily,22/02/2019,9340.13,9340.13,3336.325972,3336.325972,6003.804028,6003.804028,
Lister Park,daily,23/02/2019,20040.12,20040.12,5437.290672,5437.290672,14602.82933,14602.82933,
Lister Park,daily,24/02/2019,15914.22,15914.22,4317.85039,4317.85039,11596.36961,11596.36961,
Lister Park,daily,25/02/2019,36072.22,36072.22,9787.124295,9787.124295,26285.0957,26285.0957,
Lister Park,daily,25/02/2019,34908.6,34908.6,9471.410608,9471.410608,25437.18939,25437.18939,
Lister Park,daily,26/02/2019,33817.71,33817.71,9175.430044,9175.430044,24642.27996,24642.27996,
Lister Park,daily,27/02/2019,12883.45,12883.45,4602.011839,4602.011839,8281.438161,8281.438161,
Lister Park,daily,28/02/2019,38648.81,38648.81,13805.48543,13805.48543,24843.32457,24843.32457,
Lister Park,daily,01/03/2019,38648.81,38648.81,10486.20538,10486.20538,28162.60462,28162.60462,
Lister Park,daily,01/03/2019,45114.03,45114.03,12240.35058,12240.35058,32873.67942,32873.67942,
Lister Park,daily,02/03/2019,40080.25,40080.25,10874.58406,10874.58406,29205.66594,29205.66594,
Lister Park,daily,03/03/2019,24930.84,24930.84,6764.24212,6764.24212,18166.59788,18166.59788,
Lister Park,daily,04/03/2019,21643.33,21643.33,5872.274035,5872.274035,15771.05597,15771.05597,
Lister Park,daily,04/03/2019,14719.87,14719.87,5257.987264,5257.987264,9461.882736,9461.882736,
Lister Park,daily,05/03/2019,12086.56,12086.56,4317.360041,4317.360041,7769.199959,7769.199959,
Lister Park,daily,06/03/2019,22545.14,22545.14,6116.953363,6116.953363,16428.18664,16428.18664,
Lister Park,daily,07/03/2019,19562.86,19562.86,5307.800363,5307.800363,14255.05964,14255.05964,
Lister Park,daily,08/03/2019,37695.69,37695.69,10227.60461,10227.60461,27468.08539,27468.08539,
Lister Park,daily,09/03/2019,43137.62,43137.62,11704.1105,11704.1105,31433.5095,31433.5095,
Lister Park,daily,10/03/2019,41182.61,41182.61,11173.67667,11173.67667,30008.93333,30008.93333,
Lister Park,daily,11/03/2019,16373.09,16373.09,5848.52303,5848.52303,10524.56697,10524.56697,
Lister Park,daily,11/03/2019,16115.41,16115.41,5756.478864,5756.478864,10358.93114,10358.93114,
Lister Park,daily,12/03/2019,31183.32,31183.32,8460.666651,8460.666651,22722.65335,22722.65335,
Lister Park,daily,13/03/2019,28478.07,28478.07,7726.677504,7726.677504,20751.3925,20751.3925,
Lister Park,daily,14/03/2019,27054.17,27054.17,7340.344578,7340.344578,19713.82542,19713.82542,
Lister Park,daily,15/03/2019,20810.9,20810.9,5646.418906,5646.418906,15164.48109,15164.48109,
Lister Park,daily,16/03/2019,25808.69,25808.69,7002.420614,7002.420614,18806.26939,18806.26939,
Lister Park,daily,17/03/2019,36745.09,36745.09,13125.47021,13125.47021,23619.61979,23619.61979,
Lister Park,daily,18/03/2019,19738.16,19738.16,7050.537396,7050.537396,12687.6226,12687.6226,
Lister Park,daily,18/03/2019,47003.13,47003.13,12752.9017,12752.9017,34250.2283,34250.2283,
Lister Park,daily,19/03/2019,17444.36,17444.36,4733.008381,4733.008381,12711.35162,12711.35162,
Lister Park,daily,20/03/2019,20247.62,20247.62,5493.589627,5493.589627,14754.03037,14754.03037,
Lister Park,daily,21/03/2019,33716.06,33716.06,9147.850339,9147.850339,24568.20966,24568.20966,
Lister Park,daily,22/03/2019,20188.9,20188.9,5477.657701,5477.657701,14711.2423,14711.2423,
Lister Park,daily,23/03/2019,11986.31,11986.31,4281.550402,4281.550402,7704.759598,7704.759598,
Lister Park,daily,24/03/2019,27946.94,27946.94,9982.741328,9982.741328,17964.19867,17964.19867,
Lister Park,daily,25/03/2019,17784.42,17784.42,4825.27355,4825.27355,12959.14645,12959.14645,
Lister Park,daily,25/03/2019,16629.24,16629.24,4511.849806,4511.849806,12117.39019,12117.39019,
Lister Park,daily,26/03/2019,19683.7,19683.7,5340.586703,5340.586703,14343.1133,14343.1133,
Lister Park,daily,27/03/2019,17011.18,17011.18,4615.477868,4615.477868,12395.70213,12395.70213,
Lister Park,daily,28/03/2019,18111.86,18111.86,4914.114658,4914.114658,13197.74534,13197.74534,
Lister Park,daily,29/03/2019,41060.92,41060.92,14667.09926,14667.09926,26393.82074,26393.82074,
Lister Park,daily,30/03/2019,30096.71,30096.71,10750.64643,10750.64643,19346.06357,19346.06357,
Lister Park,daily,31/03/2019,21736.51,21736.51,5897.555657,5897.555657,15838.95434,15838.95434,
Lister Park,daily,01/04/2019,21736.51,21736.51,5897.555657,5897.555657,15838.95434,15838.95434,
Lister Park,daily,01/04/2019,13308.21,13308.21,3610.787066,3610.787066,9697.422934,9697.422934,
Lister Park,daily,01/04/2019,53023.14,53023.14,14386.2524,14386.2524,38636.8876,38636.8876,
Lister Park,daily,02/04/2019,49630.34,49630.34,13465.71701,13465.71701,36164.62299,36164.62299,
Lister Park,daily,03/04/2019,22128.17,22128.17,7904.257037,7904.257037,14223.91296,14223.91296,
Lister Park,daily,04/04/2019,21736.51,21736.51,7764.354763,7764.354763,13972.15524,13972.15524,
