area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,
Baildon,dayOfWeek,01/01/2019,2959842.18,8087,2231976.167,6098.295166,727866.0134,1988.704834,
Baildon,dayOfWeek,01/01/2019,2995438.77,8184.26,2258819.064,6171.637591,736619.7058,2012.622409,
Baildon,dayOfWeek,02/01/2019,3086309.13,8432.54,2327343.149,6358.862115,758965.9806,2073.677885,
Baildon,dayOfWeek,03/01/2019,2794579.61,7635.46,2107353.942,5757.79508,687225.6682,1877.66492,
Baildon,dayOfWeek,04/01/2019,2965705.18,8103.02,2236397.374,6110.375627,729307.806,1992.644373,
Baildon,dayOfWeek,05/01/2019,3635056.47,9931.85,2741145.95,7489.471108,893910.5197,2442.378892,
Baildon,dayOfWeek,06/01/2019,4169813.75,11392.93,3144399.04,8591.251385,1025414.71,2801.678615,
Baildon,daily,07/01/2019,849.36,849.36,545.9795505,545.9795505,303.3804495,303.3804495,
Baildon,daily,07/01/2019,18658.05,18658.05,11993.63492,11993.63492,6664.415084,6664.415084,
Baildon,daily,08/01/2019,2818.14,2818.14,1811.536699,1811.536699,1006.603301,1006.603301,
Baildon,daily,09/01/2019,4221.07,4221.07,2713.358177,2713.358177,1507.711823,1507.711823,
Baildon,daily,10/01/2019,22545.14,22545.14,19713.23314,19713.23314,2831.90686,2831.90686,
Baildon,daily,11/01/2019,8588.62,8588.62,7509.798937,7509.798937,1078.821063,1078.821063,
Baildon,daily,12/01/2019,8623.91,8623.91,5543.560452,5543.560452,3080.349548,3080.349548,
Baildon,daily,13/01/2019,849.36,849.36,545.9795505,545.9795505,303.3804495,303.3804495,
Baildon,daily,14/01/2019,16702.46,16702.46,10736.55647,10736.55647,5965.90353,5965.90353,
Baildon,daily,14/01/2019,2818.14,2818.14,1811.536699,1811.536699,1006.603301,1006.603301,
Baildon,daily,15/01/2019,4221.07,4221.07,2713.358177,2713.358177,1507.711823,1507.711823,
Baildon,daily,16/01/2019,24122.77,24122.77,21092.69621,21092.69621,3030.073791,3030.073791,
Baildon,daily,18/01/2019,11273.76,11273.76,9857.657094,9857.657094,1416.102906,1416.102906,
Baildon,daily,19/01/2019,3679.35,3679.35,2365.133582,2365.133582,1314.216418,1314.216418,
Baildon,daily,20/01/2019,6794.88,6794.88,4367.836404,4367.836404,2427.043596,2427.043596,
