area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through,Event took place
WILD UPLANDS,dayOfWeek,01/01/2019,1163717.86,3179.56,208290.7422,569.1009263,955427.1178,2610.459074,
WILD UPLANDS,dayOfWeek,04/01/2019,1080887.29,2953.24,193465.1203,528.5925159,887422.1697,2424.647484,
WILD UPLANDS,dayOfWeek,05/01/2019,1170428.81,3197.89,209491.9171,572.3817639,960936.8929,2625.508236,
WILD UPLANDS,dayOfWeek,07/01/2019,1118070.94,3054.84,200120.5222,546.7776277,917950.4178,2508.062372,
WILD UPLANDS,dayOfWeek,07/01/2019,1171215.74,3200.04,209632.7676,572.7665867,961582.9724,2627.273413,
WILD UPLANDS,dayOfWeek,11/01/2019,1463210.06,3997.84,261896.0487,715.5626714,1201314.011,3282.277329,
WILD UPLANDS,dayOfWeek,12/01/2019,1481678.61,4048.3,265201.685,724.5943716,1216476.925,3323.705628,
WILD UPLANDS,daily,14/01/2019,2056.59,2056.59,172.9067057,172.9067057,1883.683294,1883.683294,
WILD UPLANDS,daily,18/01/2019,4987.24,4987.24,1829.081206,1829.081206,3158.158794,3158.158794,
WILD UPLANDS,daily,21/01/2019,2493.62,2493.62,209.6497695,209.6497695,2283.970231,2283.970231,
WILD UPLANDS,daily,25/01/2019,2056.59,2056.59,172.9067057,172.9067057,1883.683294,1883.683294,
WILD UPLANDS,daily,27/01/2019,4987.24,4987.24,1829.081206,1829.081206,3158.158794,3158.158794,
WILD UPLANDS,daily,28/01/2019,2056.59,2056.59,172.9067057,172.9067057,1883.683294,1883.683294,
WILD UPLANDS,daily,30/01/2019,2056.59,2056.59,172.9067057,172.9067057,1883.683294,1883.683294,
WILD UPLANDS,daily,01/02/2019,2445.36,2445.36,896.8411422,896.8411422,1548.518858,1548.518858,
WILD UPLANDS,daily,03/02/2019,5123.65,5123.65,430.7681368,430.7681368,4692.881863,4692.881863,
WILD UPLANDS,daily,04/02/2019,2445.36,2445.36,896.8411422,896.8411422,1548.518858,1548.518858,
WILD UPLANDS,daily,06/02/2019,5123.65,5123.65,430.7681368,430.7681368,4692.881863,4692.881863,
WILD UPLANDS,daily,10/02/2019,2445.36,2445.36,896.8411422,896.8411422,1548.518858,1548.518858,
WILD UPLANDS,daily,11/02/2019,5123.65,5123.65,430.7681368,430.7681368,4692.881863,4692.881863,
WILD UPLANDS,daily,13/02/2019,2493.62,2493.62,209.6497695,209.6497695,2283.970231,2283.970231,
WILD UPLANDS,daily,14/02/2019,2445.36,2445.36,896.8411422,896.8411422,1548.518858,1548.518858,
WILD UPLANDS,daily,17/02/2019,5123.65,5123.65,430.7681368,430.7681368,4692.881863,4692.881863,
WILD UPLANDS,daily,18/02/2019,2493.62,2493.62,209.6497695,209.6497695,2283.970231,2283.970231,
WILD UPLANDS,daily,20/02/2019,19562.86,19562.86,7174.721803,7174.721803,12388.1382,12388.1382,
WILD UPLANDS,daily,21/02/2019,40989.21,40989.21,3446.145935,3446.145935,37543.06406,37543.06406,
WILD UPLANDS,daily,24/02/2019,2493.62,2493.62,209.6497695,209.6497695,2283.970231,2283.970231,
WILD UPLANDS,daily,25/02/2019,2445.36,2445.36,896.8411422,896.8411422,1548.518858,1548.518858,
WILD UPLANDS,daily,27/02/2019,5123.65,5123.65,430.7681368,430.7681368,4692.881863,4692.881863,
WILD UPLANDS,daily,28/02/2019,2493.62,2493.62,209.6497695,209.6497695,2283.970231,2283.970231,
WILD UPLANDS,daily,01/03/2019,2445.36,2445.36,896.8411422,896.8411422,1548.518858,1548.518858,
WILD UPLANDS,daily,03/03/2019,5123.65,5123.65,430.7681368,430.7681368,4692.881863,4692.881863,
WILD UPLANDS,daily,04/03/2019,19948.97,19948.97,1677.198996,1677.198996,18271.771,18271.771,
WILD UPLANDS,daily,06/03/2019,2445.36,2445.36,896.8411422,896.8411422,1548.518858,1548.518858,
WILD UPLANDS,daily,07/03/2019,5123.65,5123.65,430.7681368,430.7681368,4692.881863,4692.881863,
