area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Bradford,dayOfWeek,Monday,664284.58,12533.67,165178.146431738,3116.568472185643,499106.433568262,9417.101527814357
Bradford,dayOfWeek,Tuesday,666429.07,12574.13,165711.3860912246,3126.6290817584677,500717.68390877533,9447.50091824153
Bradford,dayOfWeek,Wednesday,727762.52,13731.37,180962.29795984525,3414.3834026199647,546800.2220401547,10316.986597380035
Bradford,dayOfWeek,Thursday,591164.6,11154.05,146996.44670972164,2773.518097028426,444168.15329027834,8380.531902971574
Bradford,dayOfWeek,Friday,678923.07,12809.87,168818.09039183945,3185.247176189951,510104.9796081605,9624.62282381005
Bradford,dayOfWeek,Saturday,637572,12029.66,158535.91118549832,2991.243513441214,479036.08881450165,9038.416486558786
Bradford,dayOfWeek,Sunday,661701.32,12484.93,164535.80411129567,3104.4489934268813,497165.5158887043,9380.481006573118
Bradford,daily,2024-01-01,10304.53,10304.53,2786.9796270358015,2786.9796270358015,7517.5503729642,7517.5503729642
Bradford,daily,2024-01-02,12882.94,12882.94,3484.340510079024,3484.340510079024,9398.599489920976,9398.599489920976
Bradford,daily,2024-01-03,15030.09,15030.09,4065.062125348223,4065.062125348223,10965.027874651778,10965.027874651778
Bradford,daily,2024-01-04,25765.87,25765.87,6968.678315542091,6968.678315542091,18797.19168445791,18797.19168445791
Bradford,daily,2024-01-05,32465,32465,8780.535705337099,8780.535705337099,23684.464294662903,23684.464294662903
Bradford,daily,2024-01-06,11633.96,11633.96,1395.1286640163783,1395.1286640163783,10238.831335983621,10238.831335983621
Bradford,daily,2024-01-07,13113.88,13113.88,1572.5986581070506,1572.5986581070506,11541.281341892949,11541.281341892949
Bradford,daily,2024-01-08,25100.49,25100.49,6788.71857897603,6788.71857897603,18311.771421023972,18311.771421023972
Bradford,daily,2024-01-09,20418.24,20418.24,5522.349772374624,5522.349772374624,14895.89022762538,14895.89022762538
Bradford,daily,2024-01-10,11042.52,11042.52,2986.577580067735,2986.577580067735,8055.942419932266,8055.942419932266
Bradford,daily,2024-01-11,23618.96,23618.96,6388.021611055867,6388.021611055867,17230.938388944134,17230.938388944134
Bradford,daily,2024-01-12,10609.48,10609.48,2869.456890653314,2869.456890653314,7740.023109346686,7740.023109346686
