area,Category,Group,Value
Roundwood Avenue,Age (Residents),0-14,21.0%
Roundwood Avenue,Age (Residents),15-29,17.0%
Roundwood Avenue,Age (Residents),30-44,20.3%
Roundwood Avenue,Age (Residents),45-59,20.0%
Roundwood Avenue,Age (Residents),60+,21.5%
Roundwood Avenue,Gender (Residents),M,48.2%
Roundwood Avenue,Gender (Residents),F,51.8%
Roundwood Avenue,Population (Residents),Total Population,2890
Roundwood Avenue,Population (Residents),Households,1242
Roundwood Avenue,Population (Residents),Average Household Size,2.33
Roundwood Avenue,Purchasing Power (Residents),EUR per capita,21793.36
Roundwood Avenue,Age (Visitors),15-29,23.3%
Roundwood Avenue,Age (Visitors),30-44,25.7%
Roundwood Avenue,Age (Visitors),45-59,24.5%
Roundwood Avenue,Age (Visitors),60+,26.4%
Roundwood Avenue,Gender (Visitors),Male,49.8%
Roundwood Avenue,Gender (Visitors),Female,50.2%
Roundwood Avenue,Purchasing Power (Visitors),EUR per capita,20169.09
Roundwood Avenue,Purchasing Power Buckets (Visitors),Bucket 7000,4%
Roundwood Avenue,Purchasing Power Buckets (Visitors),Bucket 10500,8%
Roundwood Avenue,Purchasing Power Buckets (Visitors),Bucket 14000,12%
Roundwood Avenue,Purchasing Power Buckets (Visitors),Bucket 17500,42%
Roundwood Avenue,Purchasing Power Buckets (Visitors),Bucket 24500,34%
