area,common.dataType,Category,Value (All days of week),Value (Weekdays only),Value (Weekends only)
Roundwood Avenue,Dwell Time Distribution,0-30 min,86.7%,86.7%,0.0%
Roundwood Avenue,Dwell Time Distribution,30-2hrs,13.3%,13.3%,0.0%
Roundwood Avenue,Dwell Time Distribution,2-4 hrs,0.0%,0.0%,0.0%
Roundwood Avenue,Dwell Time Distribution,4-6 hrs,0.0%,0.0%,0.0%
Roundwood Avenue,Dwell Time Distribution,6-8 hrs,0.0%,0.0%,0.0%
Roundwood Avenue,Dwell Time Distribution,8-10 hrs,0.0%,0.0%,0.0%
Roundwood Avenue,Dwell Time Distribution,10hrs+,0.0%,0.0%,0.0%
Roundwood Avenue,Dwell Time by Day of Week,Monday,0.0 minutes,0.0 minutes,0.0 minutes
Roundwood Avenue,Dwell Time by Day of Week,Tuesday,0.0 minutes,0.0 minutes,0.0 minutes
Roundwood Avenue,Dwell Time by Day of Week,Wednesday,32.1 minutes,32.1 minutes,0.0 minutes
Roundwood Avenue,Dwell Time by Day of Week,Thursday,10.5 minutes,10.5 minutes,0.0 minutes
Roundwood Avenue,Dwell Time by Day of Week,Friday,0.0 minutes,0.0 minutes,0.0 minutes
Roundwood Avenue,Dwell Time by Day of Week,Saturday,0.0 minutes,0.0 minutes,0.0 minutes
Roundwood Avenue,Dwell Time by Day of Week,Sunday,0.0 minutes,0.0 minutes,0.0 minutes
