area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Roundwood Avenue,dayOfWeek,Monday,163256.47,3080.31,45018.17208631027,849.3992652124745,118238.29791368972,2230.910734787525
Roundwood Avenue,dayOfWeek,Tuesday,145596.99,2747.11,40148.548789942564,757.518956032945,105448.44121005741,1989.591043967055
Roundwood Avenue,dayOfWeek,Wednesday,126333.91,2383.66,34836.73082430628,657.297172205514,91497.17917569372,1726.3628277944858
Roundwood Avenue,dayOfWeek,Thursday,120192.76,2267.79,33143.30117029107,625.345877413701,87049.45882970892,1642.4441225862988
Roundwood Avenue,dayOfWeek,Friday,115491.98,2179.09,31847.055312593147,600.8867434874578,83644.92468740685,1578.2032565125423
Roundwood Avenue,dayOfWeek,Saturday,133453.31,2517.99,36799.91411714164,694.3388346667571,96653.39588285834,1823.6511653332425
Roundwood Avenue,dayOfWeek,Sunday,152552.08,2878.34,42066.42339850035,793.7057896872957,110485.65660149964,2084.6342103127045
Roundwood Avenue,daily,2024-01-04,10494.75,10494.75,2944.314806611725,2944.314806611725,7550.435193388275,7550.435193388275
Roundwood Avenue,daily,2024-01-06,785.6,785.6,205.9231574556709,205.9231574556709,579.6768425443291,579.6768425443291
Roundwood Avenue,daily,2024-01-08,1444.41,1444.41,405.2309726118337,405.2309726118337,1039.1790273881663,1039.1790273881663
Roundwood Avenue,daily,2024-01-11,1311.84,1311.84,368.0382987594297,368.0382987594297,943.8017012405702,943.8017012405702
Roundwood Avenue,daily,2024-01-13,785.6,785.6,205.9231574556709,205.9231574556709,579.6768425443291,579.6768425443291
Roundwood Avenue,daily,2024-01-15,1444.41,1444.41,405.2309726118337,405.2309726118337,1039.1790273881663,1039.1790273881663
Roundwood Avenue,daily,2024-01-18,1311.84,1311.84,368.0382987594297,368.0382987594297,943.8017012405702,943.8017012405702
Roundwood Avenue,daily,2024-01-20,785.6,785.6,205.9231574556709,205.9231574556709,579.6768425443291,579.6768425443291
Roundwood Avenue,daily,2024-01-22,1444.41,1444.41,405.2309726118337,405.2309726118337,1039.1790273881663,1039.1790273881663
Roundwood Avenue,daily,2024-01-25,1311.84,1311.84,368.0382987594297,368.0382987594297,943.8017012405702,943.8017012405702
Roundwood Avenue,daily,2024-01-27,785.6,785.6,205.9231574556709,205.9231574556709,579.6768425443291,579.6768425443291
Roundwood Avenue,daily,2024-01-28,757.83,757.83,198.64402547687254,198.64402547687254,559.1859745231275,559.1859745231275
Roundwood Avenue,daily,2024-01-29,1444.41,1444.41,405.2309726118337,405.2309726118337,1039.1790273881663,1039.1790273881663
Roundwood Avenue,daily,2024-02-01,1311.84,1311.84,368.0382987594297,368.0382987594297,943.8017012405702,943.8017012405702
Roundwood Avenue,daily,2024-02-03,6284.78,6284.78,1647.3800172024582,1647.3800172024582,4637.399982797541,4637.399982797541
Roundwood Avenue,daily,2024-02-04,757.83,757.83,198.64402547687254,198.64402547687254,559.1859745231275,559.1859745231275
Roundwood Avenue,daily,2024-02-05,11555.29,11555.29,3241.8505864067656,3241.8505864067656,8313.439413593236,8313.439413593236
Roundwood Avenue,daily,2024-02-10,785.6,785.6,205.9231574556709,205.9231574556709,579.6768425443291,579.6768425443291
Roundwood Avenue,daily,2024-02-11,757.83,757.83,198.64402547687254,198.64402547687254,559.1859745231275,559.1859745231275
Roundwood Avenue,daily,2024-02-12,1444.41,1444.41,405.2309726118337,405.2309726118337,1039.1790273881663,1039.1790273881663
Roundwood Avenue,daily,2024-02-17,785.6,785.6,205.9231574556709,205.9231574556709,579.6768425443291,579.6768425443291
Roundwood Avenue,daily,2024-02-18,757.83,757.83,198.64402547687254,198.64402547687254,559.1859745231275,559.1859745231275
Roundwood Avenue,daily,2024-02-19,1444.41,1444.41,405.2309726118337,405.2309726118337,1039.1790273881663,1039.1790273881663
Roundwood Avenue,daily,2024-02-24,785.6,785.6,205.9231574556709,205.9231574556709,579.6768425443291,579.6768425443291
Roundwood Avenue,daily,2024-02-25,6062.63,6062.63,1589.1495825935258,1589.1495825935258,4473.480417406474,4473.480417406474
Roundwood Avenue,daily,2024-02-26,1444.41,1444.41,405.2309726118337,405.2309726118337,1039.1790273881663,1039.1790273881663
Roundwood Avenue,daily,2024-03-02,785.6,785.6,205.9231574556709,205.9231574556709,579.6768425443291,579.6768425443291
Roundwood Avenue,daily,2024-03-03,757.83,757.83,198.64402547687254,198.64402547687254,559.1859745231275,559.1859745231275
Roundwood Avenue,daily,2024-03-04,1444.41,1444.41,405.2309726118337,405.2309726118337,1039.1790273881663,1039.1790273881663
Roundwood Avenue,daily,2024-03-07,856.14,856.14,240.19111255938085,240.19111255938085,615.9488874406192,615.9488874406192
Roundwood Avenue,daily,2024-03-10,757.83,757.83,198.64402547687254,198.64402547687254,559.1859745231275,559.1859745231275
Roundwood Avenue,daily,2024-03-13,738.51,738.51,207.1898737779199,207.1898737779199,531.32012622208,531.32012622208
Roundwood Avenue,daily,2024-03-14,856.14,856.14,240.19111255938085,240.19111255938085,615.9488874406192,615.9488874406192
Roundwood Avenue,daily,2024-03-17,757.83,757.83,198.64402547687254,198.64402547687254,559.1859745231275,559.1859745231275
Roundwood Avenue,daily,2024-03-20,738.51,738.51,207.1898737779199,207.1898737779199,531.32012622208,531.32012622208
Roundwood Avenue,daily,2024-03-21,856.14,856.14,240.19111255938085,240.19111255938085,615.9488874406192,615.9488874406192
Roundwood Avenue,daily,2024-03-24,757.83,757.83,198.64402547687254,198.64402547687254,559.1859745231275,559.1859745231275
Roundwood Avenue,daily,2024-03-27,738.51,738.51,207.1898737779199,207.1898737779199,531.32012622208,531.32012622208
Roundwood Avenue,daily,2024-03-28,856.14,856.14,240.19111255938085,240.19111255938085,615.9488874406192,615.9488874406192
Roundwood Avenue,daily,2024-03-30,980.22,980.22,256.93736940070994,256.93736940070994,723.2826305992901,723.2826305992901
Roundwood Avenue,daily,2024-03-31,1207.78,1207.78,316.585884816459,316.585884816459,891.194115183541,891.194115183541
Roundwood Avenue,daily,2024-04-03,738.51,738.51,207.1898737779199,207.1898737779199,531.32012622208,531.32012622208
Roundwood Avenue,daily,2024-04-04,6849.16,6849.16,1921.5401225234295,1921.5401225234295,4927.619877476571,4927.619877476571
Roundwood Avenue,daily,2024-04-06,980.22,980.22,256.93736940070994,256.93736940070994,723.2826305992901,723.2826305992901
Roundwood Avenue,daily,2024-04-07,1207.78,1207.78,316.585884816459,316.585884816459,891.194115183541,891.194115183541
Roundwood Avenue,daily,2024-04-10,5908.07,5908.07,1657.5161847112636,1657.5161847112636,4250.553815288737,4250.553815288737
Roundwood Avenue,daily,2024-04-11,856.14,856.14,240.19111255938085,240.19111255938085,615.9488874406192,615.9488874406192
Roundwood Avenue,daily,2024-04-13,980.22,980.22,256.93736940070994,256.93736940070994,723.2826305992901,723.2826305992901
Roundwood Avenue,daily,2024-04-14,1207.78,1207.78,316.585884816459,316.585884816459,891.194115183541,891.194115183541
Roundwood Avenue,daily,2024-04-17,738.51,738.51,207.1898737779199,207.1898737779199,531.32012622208,531.32012622208
Roundwood Avenue,daily,2024-04-18,856.14,856.14,240.19111255938085,240.19111255938085,615.9488874406192,615.9488874406192
Roundwood Avenue,daily,2024-04-20,1398.92,1398.92,366.68791169537565,366.68791169537565,1032.2320883046243,1032.2320883046243
Roundwood Avenue,daily,2024-04-21,1207.78,1207.78,316.585884816459,316.585884816459,891.194115183541,891.194115183541
Roundwood Avenue,daily,2024-04-24,738.51,738.51,207.1898737779199,207.1898737779199,531.32012622208,531.32012622208
Roundwood Avenue,daily,2024-04-25,856.14,856.14,240.19111255938085,240.19111255938085,615.9488874406192,615.9488874406192
Roundwood Avenue,daily,2024-04-27,7841.79,7841.79,2055.5068188700425,2055.5068188700425,5786.2831811299575,5786.2831811299575
Roundwood Avenue,daily,2024-04-28,9662.2,9662.2,2532.6765936458546,2532.6765936458546,7129.523406354147,7129.523406354147
Roundwood Avenue,daily,2024-05-01,738.51,738.51,207.1898737779199,207.1898737779199,531.32012622208,531.32012622208
Roundwood Avenue,daily,2024-05-02,856.14,856.14,240.19111255938085,240.19111255938085,615.9488874406192,615.9488874406192
Roundwood Avenue,daily,2024-05-04,1398.92,1398.92,366.68791169537565,366.68791169537565,1032.2320883046243,1032.2320883046243
Roundwood Avenue,daily,2024-05-05,1207.78,1207.78,316.585884816459,316.585884816459,891.194115183541,891.194115183541
Roundwood Avenue,daily,2024-05-08,1614.43,1614.43,452.930289262552,452.930289262552,1161.4997107374481,1161.4997107374481
Roundwood Avenue,daily,2024-05-11,1398.92,1398.92,366.68791169537565,366.68791169537565,1032.2320883046243,1032.2320883046243
