area,common.dataType,Category,Value (All days of week),Value (Weekdays only),Value (Weekends only)
Bradford,Dwell Time Distribution,0-30 min,40.6%,37.3%,48.1%
Bradford,Dwell Time Distribution,30-2hrs,39.4%,47.8%,20.1%
Bradford,Dwell Time Distribution,2-4 hrs,4.5%,6.5%,0.0%
Bradford,Dwell Time Distribution,4-6 hrs,15.5%,8.4%,31.9%
Bradford,Dwell Time Distribution,6-8 hrs,0.0%,0.0%,0.0%
Bradford,Dwell Time Distribution,8-10 hrs,0.0%,0.0%,0.0%
Bradford,Dwell Time Distribution,10hrs+,0.0%,0.0%,0.0%
Bradford,Dwell Time by Day of Week,Monday,59.2 minutes,59.2 minutes,0.0 minutes
Bradford,Dwell Time by Day of Week,Tuesday,96.0 minutes,96.0 minutes,0.0 minutes
Bradford,Dwell Time by Day of Week,Wednesday,78.7 minutes,78.7 minutes,0.0 minutes
Bradford,Dwell Time by Day of Week,Thursday,14.2 minutes,14.2 minutes,0.0 minutes
Bradford,Dwell Time by Day of Week,Friday,18.0 minutes,18.0 minutes,0.0 minutes
Bradford,Dwell Time by Day of Week,Saturday,136.5 minutes,0.0 minutes,136.5 minutes
Bradford,Dwell Time by Day of Week,Sunday,88.5 minutes,0.0 minutes,88.5 minutes
