area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Bradford,dayOfWeek,Monday,773769.39,14599.42,237402.36363616856,4479.289127367977,536367.0263638315,10120.130872632024
Bradford,dayOfWeek,Tuesday,792304.01,14949.13,243089.0225476799,4586.584636417779,549214.98745232,10362.545363582221
Bradford,dayOfWeek,Wednesday,863954.62,16301.03,265072.34779911337,5001.36487914583,598882.2722008866,11299.66512085417
Bradford,dayOfWeek,Thursday,927634.87,17502.54,284610.264473411,5370.003542834107,643024.605526589,12132.536457165894
Bradford,dayOfWeek,Friday,907645.24,17125.38,278477.1898499596,5254.2860220505345,629168.0501500403,11871.093977949467
Bradford,dayOfWeek,Saturday,852898.8,16092.43,261680.28055807663,4937.363726225442,591218.5194419235,11155.066273774557
Bradford,dayOfWeek,Sunday,908647.33,17144.29,278784.6439023565,5260.08785235602,629862.6860976435,11884.20214764398
Bradford,daily,2024-01-01,13197.15,13197.15,4226.617926791865,4226.617926791865,8970.532073208135,8970.532073208135
Bradford,daily,2024-01-02,12882.94,12882.94,4125.986683017469,4125.986683017469,8756.95331698253,8756.95331698253
Bradford,daily,2024-01-03,30060.19,30060.19,9627.30119281584,9627.30119281584,20432.888807184157,20432.888807184157
Bradford,daily,2024-01-04,7854.96,7854.96,2515.688216791734,2515.688216791734,5339.271783208266,5339.271783208266
Bradford,daily,2024-01-05,10679.18,10679.18,3420.194029122739,3420.194029122739,7258.985970877261,7258.985970877261
Bradford,daily,2024-01-06,19969.33,19969.33,4810.348060285385,4810.348060285385,15158.981939714615,15158.981939714615
Bradford,daily,2024-01-07,12564.37,12564.37,3026.5909200863466,3026.5909200863466,9537.779079913653,9537.779079913653
Bradford,daily,2024-01-08,21218.95,21218.95,6795.739569354008,6795.739569354008,14423.210430645991,14423.210430645991
Bradford,daily,2024-01-09,16277.29,16277.29,5213.086591695173,5213.086591695173,11064.203408304826,11064.203408304826
Bradford,daily,2024-01-10,7406.44,7406.44,2372.0418482557475,2372.0418482557475,5034.398151744252,5034.398151744252
Bradford,daily,2024-01-11,8382.56,8382.56,2684.6613373651444,2684.6613373651444,5697.898662634855,5697.898662634855
Bradford,daily,2024-01-12,10609.48,10609.48,3397.871386014386,3397.871386014386,7211.6086139856125,7211.6086139856125
Bradford,daily,2024-01-13,13873.93,13873.93,3342.0466417268485,3342.0466417268485,10531.883358273151,10531.883358273151
Bradford,daily,2024-01-14,14976.63,14976.63,3607.6725193139628,3607.6725193139628,11368.957480686035,11368.957480686035
Bradford,daily,2024-01-15,22085.03,22085.03,7073.116825355182,7073.116825355182,15011.913174644817,15011.913174644817
Bradford,daily,2024-01-16,22426.84,22426.84,7182.587451479514,7182.587451479514,15244.252548520484,15244.252548520484
Bradford,daily,2024-01-17,13527.08,13527.08,4332.283775296008,4332.283775296008,9194.796224703992,9194.796224703992
Bradford,daily,2024-01-18,13295.26,13295.26,4258.039368906076,4258.039368906076,9037.220631093924,9037.220631093924
Bradford,daily,2024-01-19,11512.41,11512.41,3687.0504985226307,3687.0504985226307,7825.359501477368,7825.359501477368
Bradford,daily,2024-01-20,26336.65,26336.65,6344.151418295711,6344.151418295711,19992.49858170429,19992.49858170429
Bradford,daily,2024-01-21,6870.47,6870.47,1655.005552902823,1655.005552902823,5215.464447097177,5215.464447097177
Bradford,daily,2024-01-22,12037.56,12037.56,3855.2389637787464,3855.2389637787464,8182.321036221252,8182.321036221252
Bradford,daily,2024-01-23,9371.77,9371.77,3001.473127741232,3001.473127741232,6370.2968722587675,6370.2968722587675
Bradford,daily,2024-01-24,11042.52,11042.52,3536.5600140149736,3536.5600140149736,7505.959985985026,7505.959985985026
Bradford,daily,2024-01-25,12583.33,12583.33,4030.031344399198,4030.031344399198,8553.298655600802,8553.298655600802
Bradford,daily,2024-01-26,7770.15,7770.15,2488.526332114268,2488.526332114268,5281.623667885731,5281.623667885731
Bradford,daily,2024-01-27,11396.78,11396.78,2745.333897857328,2745.333897857328,8651.446102142672,8651.446102142672
Bradford,daily,2024-01-28,33817.71,33817.71,8146.24004419746,8146.24004419746,25671.46995580254,25671.46995580254
Bradford,daily,2024-01-29,12882.94,12882.94,4125.986683017469,4125.986683017469,8756.95331698253,8756.95331698253
Bradford,daily,2024-01-30,13197.15,13197.15,4226.617926791865,4226.617926791865,8970.532073208135,8970.532073208135
Bradford,daily,2024-01-31,15459.52,15459.52,4951.1814574811515,4951.1814574811515,10508.338542518848,10508.338542518848
Bradford,daily,2024-02-01,12583.33,12583.33,4030.031344399198,4030.031344399198,8553.298655600802,8553.298655600802
Bradford,daily,2024-02-02,7770.15,7770.15,2488.526332114268,2488.526332114268,5281.623667885731,5281.623667885731
Bradford,daily,2024-02-03,16831.26,16831.26,4054.428410625643,4054.428410625643,12776.831589374355,12776.831589374355
Bradford,daily,2024-02-04,16004.85,16004.85,3855.357147819108,3855.357147819108,12149.492852180892,12149.492852180892
Bradford,daily,2024-02-05,15543.71,15543.71,4978.14477632322,4978.14477632322,10565.565223676778,10565.565223676778
Bradford,daily,2024-02-06,12297.35,12297.35,3938.4412514848996,3938.4412514848996,8358.9087485151,8358.9087485151
Bradford,daily,2024-02-07,18681.94,18681.94,5983.217778933331,5983.217778933331,12698.722221066666,12698.722221066666
Bradford,daily,2024-02-08,30919.05,30919.05,9902.366117637066,9902.366117637066,21016.68388236293,21016.68388236293
Bradford,daily,2024-02-09,8714.64,8714.64,2791.0157609436474,2791.0157609436474,5923.624239056351,5923.624239056351
Bradford,daily,2024-02-10,12882.94,12882.94,3103.3302288946597,3103.3302288946597,9779.60977110534,9779.60977110534
Bradford,daily,2024-02-11,14239.04,14239.04,3429.996822343364,3429.996822343364,10809.043177656637,10809.043177656637
Bradford,daily,2024-02-12,22820.64,22820.64,7308.708783704323,7308.708783704323,15511.931216295676,15511.931216295676
Bradford,daily,2024-02-13,17231.51,17231.51,5518.692223070381,5518.692223070381,11712.817776929616,11712.817776929616
Bradford,daily,2024-02-14,35226.93,35226.93,11282.039974073354,11282.039974073354,23944.890025926645,23944.890025926645
Bradford,daily,2024-02-15,15393.01,15393.01,4929.880467622665,4929.880467622665,10463.129532377336,10463.129532377336
Bradford,daily,2024-02-16,25687.6,25687.6,8226.90282797867,8226.90282797867,17460.697172021326,17460.697172021326
Bradford,daily,2024-02-17,39924.61,39924.61,9617.311660989652,9617.311660989652,30307.298339010347,30307.298339010347
Bradford,daily,2024-02-18,13197.15,13197.15,3179.019271242213,3179.019271242213,10018.130728757786,10018.130728757786
Bradford,daily,2024-02-19,11137.85,11137.85,3567.0911125446614,3567.0911125446614,7570.7588874553385,7570.7588874553385
Bradford,daily,2024-02-20,18367.23,18367.23,5882.426401420712,5882.426401420712,12484.803598579287,12484.803598579287
Bradford,daily,2024-02-21,11574.15,11574.15,3706.8238125184653,3706.8238125184653,7867.326187481533,7867.326187481533
Bradford,daily,2024-02-22,9170.9,9170.9,2937.140999747333,2937.140999747333,6233.759000252666,6233.759000252666
Bradford,daily,2024-02-23,13948.91,13948.91,4467.382204885625,4467.382204885625,9481.527795114374,9481.527795114374
Bradford,daily,2024-02-24,15609.88,15609.88,3760.2140872672053,3760.2140872672053,11849.665912732793,11849.665912732793
Bradford,daily,2024-02-25,24594.7,24594.7,5924.538651937794,5924.538651937794,18670.161348062204,18670.161348062204
Bradford,daily,2024-02-26,21626.76,21626.76,6926.347848923838,6926.347848923838,14700.41215107616,14700.41215107616
Bradford,daily,2024-02-27,22545.14,22545.14,7220.475093943188,7220.475093943188,15324.66490605681,15324.66490605681
Bradford,daily,2024-02-28,10609.48,10609.48,3397.871386014386,3397.871386014386,7211.6086139856125,7211.6086139856125
Bradford,daily,2024-02-29,12043.89,12043.89,3857.2662569046556,3857.2662569046556,8186.623743095343,8186.623743095343
Bradford,daily,2024-03-01,20923.36,20923.36,6701.071705991054,6701.071705991054,14222.288294008946,14222.288294008946
Bradford,daily,2024-03-02,11272.57,11272.57,2715.4133480658197,2715.4133480658197,8557.15665193418,8557.15665193418
Bradford,daily,2024-03-03,11762.68,11762.68,2833.474379048155,2833.474379048155,8929.205620951845,8929.205620951845
