area,Category,Group,Value
Bradford,Age (Residents),0-14,19.0%
Bradford,Age (Residents),15-29,16.6%
Bradford,Age (Residents),30-44,17.9%
Bradford,Age (Residents),45-59,21.3%
Bradford,Age (Residents),60+,25.1%
Bradford,Gender (Residents),M,48.7%
Bradford,Gender (Residents),F,51.3%
Bradford,Population (Residents),Total Population,7310
Bradford,Population (Residents),Households,3099
Bradford,Population (Residents),Average Household Size,2.36
Bradford,Purchasing Power (Residents),EUR per capita,20253.47
Bradford,Age (Visitors),15-29,22.9%
Bradford,Age (Visitors),30-44,24.7%
Bradford,Age (Visitors),45-59,25.0%
Bradford,Age (Visitors),60+,27.5%
Bradford,Gender (Visitors),Male,49.1%
Bradford,Gender (Visitors),Female,50.9%
Bradford,Purchasing Power (Visitors),EUR per capita,20447.94
Bradford,Purchasing Power Buckets (Visitors),Bucket 7000,2%
Bradford,Purchasing Power Buckets (Visitors),Bucket 10500,4%
Bradford,Purchasing Power Buckets (Visitors),Bucket 14000,6%
Bradford,Purchasing Power Buckets (Visitors),Bucket 17500,51%
Bradford,Purchasing Power Buckets (Visitors),Bucket 21000,22%
Bradford,Purchasing Power Buckets (Visitors),Bucket 24500,13%
Bradford,Purchasing Power Buckets (Visitors),Bucket 28000,2%
Bradford,Purchasing Power Buckets (Visitors),Bucket 45500,1%
