area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Bradford,dayOfWeek,Monday,548410.3,10347.36,482393.88718797866,9101.767805114898,66016.4128120214,1245.5921948851028
Bradford,dayOfWeek,Tuesday,553786.72,10448.81,487123.10570002184,9191.005479635634,66663.61429997814,1257.8045203643644
Bradford,dayOfWeek,Wednesday,582679.85,10993.96,512538.144939306,9670.53153449005,70141.70506069397,1323.4284655099489
Bradford,dayOfWeek,Thursday,483138.57,9115.82,424979.42294800316,8018.477852633182,58159.14705199683,1097.342147366818
Bradford,dayOfWeek,Friday,555755.33,10485.95,488854.7388043912,9223.6746489969,66900.5911956088,1262.2753510031007
Bradford,dayOfWeek,Saturday,547630.87,10332.66,481708.2832387258,9088.837358437175,65922.58676127421,1243.8226415628244
Bradford,dayOfWeek,Sunday,454288.06,8571.47,399601.8732078622,7539.6554955571455,54686.18679213783,1031.814504442854
Bradford,daily,2024-01-01,6931.15,6931.15,6017.733339215062,6017.733339215062,913.4166607849374,913.4166607849374
Bradford,daily,2024-01-02,11420.98,11420.98,9915.874293949553,9915.874293949553,1505.105706050447,1505.105706050447
Bradford,daily,2024-01-03,13284.51,13284.51,11533.820321611262,11533.820321611262,1750.6896783887394,1750.6896783887394
Bradford,daily,2024-01-04,15671.64,15671.64,13606.364096603931,13606.364096603931,2065.2759033960683,2065.2759033960683
Bradford,daily,2024-01-05,2448.69,2448.69,2125.9911342854407,2125.9911342854407,322.6988657145595,322.6988657145595
Bradford,daily,2024-01-06,5392.12,5392.12,4984.339222204499,4984.339222204499,407.7807777955017,407.7807777955017
Bradford,daily,2024-01-07,7766.66,7766.66,7179.303884840617,7179.303884840617,587.3561151593829,587.3561151593829
Bradford,daily,2024-01-08,6415.07,6415.07,5569.664574045919,5569.664574045919,845.405425954081,845.405425954081
Bradford,daily,2024-01-09,7321.76,7321.76,6356.867078873099,6356.867078873099,964.8929211269017,964.8929211269017
Bradford,daily,2024-01-10,12764.39,12764.39,11082.243964961564,11082.243964961564,1682.146035038435,1682.146035038435
Bradford,daily,2024-01-11,5058.24,5058.24,4391.64344816534,4391.64344816534,666.5965518346597,666.5965518346597
Bradford,daily,2024-01-12,2448.69,2448.69,2125.9911342854407,2125.9911342854407,322.6988657145595,322.6988657145595
Bradford,daily,2024-01-13,10152.04,10152.04,9384.288769053537,9384.288769053537,767.7512309464637,767.7512309464637
Bradford,daily,2024-01-14,8517.24,8517.24,7873.121035312463,7873.121035312463,644.1189646875365,644.1189646875365
Bradford,daily,2024-01-15,4461.88,4461.88,3873.8743255559184,3873.8743255559184,588.0056744440817,588.0056744440817
Bradford,daily,2024-01-16,10875.85,10875.85,9442.58386231753,9442.58386231753,1433.2661376824717,1433.2661376824717
Bradford,daily,2024-01-17,12462.41,12462.41,10820.060183947424,10820.060183947424,1642.3498160525762,1642.3498160525762
Bradford,daily,2024-01-18,5058.24,5058.24,4391.64344816534,4391.64344816534,666.5965518346597,666.5965518346597
Bradford,daily,2024-01-19,6706.54,6706.54,5822.723407916346,5822.723407916346,883.8165920836535,883.8165920836535
Bradford,daily,2024-01-20,8158.24,8158.24,7541.270523682267,7541.270523682267,616.9694763177329,616.9694763177329
