area,Category,Group,Value
Little Germany,Age (Residents),0-14,19.3%
Little Germany,Age (Residents),15-29,37.0%
Little Germany,Age (Residents),30-44,29.8%
Little Germany,Age (Residents),45-59,8.8%
Little Germany,Age (Residents),60+,5.1%
Little Germany,Gender (Residents),M,55.2%
Little Germany,Gender (Residents),F,44.8%
Little Germany,Population (Residents),Total Population,2119
Little Germany,Population (Residents),Households,1052
Little Germany,Population (Residents),Average Household Size,2.01
Little Germany,Purchasing Power (Residents),EUR per capita,21323.23
Little Germany,Age (Visitors),15-29,26.6%
Little Germany,Age (Visitors),30-44,28.8%
Little Germany,Age (Visitors),45-59,22.3%
Little Germany,Age (Visitors),60+,22.3%
Little Germany,Gender (Visitors),Male,49.3%
Little Germany,Gender (Visitors),Female,50.7%
Little Germany,Purchasing Power (Visitors),EUR per capita,16866.54
Little Germany,Purchasing Power Buckets (Visitors),Bucket 3500,1%
Little Germany,Purchasing Power Buckets (Visitors),Bucket 7000,6%
Little Germany,Purchasing Power Buckets (Visitors),Bucket 10500,22%
Little Germany,Purchasing Power Buckets (Visitors),Bucket 14000,23%
Little Germany,Purchasing Power Buckets (Visitors),Bucket 17500,36%
Little Germany,Purchasing Power Buckets (Visitors),Bucket 21000,5%
Little Germany,Purchasing Power Buckets (Visitors),Bucket 24500,5%
Little Germany,Purchasing Power Buckets (Visitors),Bucket 28000,3%
Little Germany,Purchasing Power Buckets (Visitors),Bucket 35000,1%
