area,common.dataType,Category,Value (All days of week),Value (Weekdays only),Value (Weekends only)
Little Germany,Dwell Time Distribution,0-30 min,47.0%,33.7%,100.0%
Little Germany,Dwell Time Distribution,30-2hrs,18.6%,23.2%,0.0%
Little Germany,Dwell Time Distribution,2-4 hrs,34.4%,43.1%,0.0%
Little Germany,Dwell Time Distribution,4-6 hrs,0.0%,0.0%,0.0%
Little Germany,Dwell Time Distribution,6-8 hrs,0.0%,0.0%,0.0%
Little Germany,Dwell Time Distribution,8-10 hrs,0.0%,0.0%,0.0%
Little Germany,Dwell Time Distribution,10hrs+,0.0%,0.0%,0.0%
Little Germany,Dwell Time by Day of Week,Monday,97.4 minutes,97.4 minutes,0.0 minutes
Little Germany,Dwell Time by Day of Week,Tuesday,0.0 minutes,0.0 minutes,0.0 minutes
Little Germany,Dwell Time by Day of Week,Wednesday,116.8 minutes,116.8 minutes,0.0 minutes
Little Germany,Dwell Time by Day of Week,Thursday,93.0 minutes,93.0 minutes,0.0 minutes
Little Germany,Dwell Time by Day of Week,Friday,14.7 minutes,14.7 minutes,0.0 minutes
Little Germany,Dwell Time by Day of Week,Saturday,19.6 minutes,0.0 minutes,19.6 minutes
Little Germany,Dwell Time by Day of Week,Sunday,0.0 minutes,0.0 minutes,0.0 minutes
