area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Little Germany,dayOfWeek,Monday,408620.04,7709.81,88983.83741592421,1678.9398766337222,319636.2025840758,6030.870123366279
Little Germany,dayOfWeek,Tuesday,453639.82,8559.24,98787.64631384482,1863.9174440976392,354852.1736861552,6695.32255590236
Little Germany,dayOfWeek,Wednesday,471492.36,8896.08,102675.33502539524,1937.269979120591,368817.0249746048,6958.810020879409
Little Germany,dayOfWeek,Thursday,431210.09,8136.04,93903.19804350773,1771.7585769152586,337306.8919564923,6364.281423084742
Little Germany,dayOfWeek,Friday,493849.13,9317.91,107543.89503734476,2029.1305059248057,386305.23496265523,7288.779494075195
Little Germany,dayOfWeek,Saturday,406306.73,7666.16,88480.0755325554,1669.4343602052936,317826.6544674446,5996.725639794707
Little Germany,dayOfWeek,Sunday,334283.33,6307.23,72795.77743561902,1373.50465940153,261487.552564381,4933.725340598469
Little Germany,daily,2024-01-01,5875.03,5875.03,1170.331171150908,1170.331171150908,4704.698828849092,4704.698828849092
Little Germany,daily,2024-01-02,26297.3,26297.3,5238.534936350414,5238.534936350414,21058.765063649585,21058.765063649585
Little Germany,daily,2024-01-03,6219.52,6219.52,1238.9550565012428,1238.9550565012428,4980.564943498758,4980.564943498758
Little Germany,daily,2024-01-04,6324.32,6324.32,1259.8316659375544,1259.8316659375544,5064.488334062446,5064.488334062446
Little Germany,daily,2024-01-05,5986.19,5986.19,1192.4747198621717,1192.4747198621717,4793.715280137828,4793.715280137828
Little Germany,daily,2024-01-06,7110.72,7110.72,1932.4675133738742,1932.4675133738742,5178.2524866261265,5178.2524866261265
Little Germany,daily,2024-01-07,7340.52,7340.52,1994.919843738917,1994.919843738917,5345.600156261084,5345.600156261084
Little Germany,daily,2024-01-08,5875.03,5875.03,1170.331171150908,1170.331171150908,4704.698828849092,4704.698828849092
Little Germany,daily,2024-01-09,8275.19,8275.19,1648.453336271693,1648.453336271693,6626.736663728308,6626.736663728308
Little Germany,daily,2024-01-10,5521.94,5521.94,1099.9941289193494,1099.9941289193494,4421.94587108065,4421.94587108065
Little Germany,daily,2024-01-11,13563.27,13563.27,2701.8615502790585,2701.8615502790585,10861.408449720942,10861.408449720942
Little Germany,daily,2024-01-12,9766.84,9766.84,1945.5964132342363,1945.5964132342363,7821.243586765764,7821.243586765764
Little Germany,daily,2024-01-13,6945.55,6945.55,1887.5795612137608,1887.5795612137608,5057.97043878624,5057.97043878624
Little Germany,daily,2024-01-14,8921.54,8921.54,2424.5907895776454,2424.5907895776454,6496.9492104223555,6496.9492104223555
Little Germany,daily,2024-01-15,7454.94,7454.94,1485.0560186177347,1485.0560186177347,5969.883981382265,5969.883981382265
Little Germany,daily,2024-01-16,9653.23,9653.23,1922.9648140161123,1922.9648140161123,7730.265185983888,7730.265185983888
Little Germany,daily,2024-01-17,4932.63,4932.63,982.601049654913,982.601049654913,3950.028950345087,3950.028950345087
Little Germany,daily,2024-01-18,11475.75,11475.75,2286.018613919424,2286.018613919424,9189.731386080577,9189.731386080577
Little Germany,daily,2024-01-19,10944.43,10944.43,2180.177391345939,2180.177391345939,8764.252608654062,8764.252608654062
Little Germany,daily,2024-01-20,7165.5,7165.5,1947.354974894314,1947.354974894314,5218.145025105687,5218.145025105687
Little Germany,daily,2024-01-21,11895.38,11895.38,3232.785907648918,3232.785907648918,8662.594092351083,8662.594092351083
Little Germany,daily,2024-01-22,12882.94,12882.94,2566.336896674039,2566.336896674039,10316.603103325962,10316.603103325962
Little Germany,daily,2024-01-23,8430.14,8430.14,1679.320040777003,1679.320040777003,6750.819959222997,6750.819959222997
Little Germany,daily,2024-01-24,4929.21,4929.21,981.9197709881937,981.9197709881937,3947.2902290118063,3947.2902290118063
Little Germany,daily,2024-01-25,17210.39,17210.39,3428.3834950057917,3428.3834950057917,13782.006504994208,13782.006504994208
Little Germany,daily,2024-01-26,9999.38,9999.38,1991.9193784853808,1991.9193784853808,8007.460621514619,8007.460621514619
Little Germany,daily,2024-01-27,7165.5,7165.5,1947.354974894314,1947.354974894314,5218.145025105687,5218.145025105687
Little Germany,daily,2024-01-28,26820.08,26820.08,7288.8446326234725,7288.8446326234725,19531.235367376532,19531.235367376532
Little Germany,daily,2024-01-29,4752.07,4752.07,946.6327233207483,946.6327233207483,3805.4372766792517,3805.4372766792517
Little Germany,daily,2024-01-30,5272.16,5272.16,1050.236881734216,1050.236881734216,4221.923118265784,4221.923118265784
Little Germany,daily,2024-01-31,7224.07,7224.07,1439.0657245284092,1439.0657245284092,5785.0042754715905,5785.0042754715905
Little Germany,daily,2024-02-01,12417.75,12417.75,2473.669053700013,2473.669053700013,9944.080946299988,9944.080946299988
Little Germany,daily,2024-02-02,19942.98,19942.98,3972.727141757427,3972.727141757427,15970.252858242573,15970.252858242573
Little Germany,daily,2024-02-03,3390.25,3390.25,921.3621106183027,921.3621106183027,2468.8878893816977,2468.8878893816977
Little Germany,daily,2024-02-04,8935.19,8935.19,2428.300425389146,2428.300425389146,6506.889574610855,6506.889574610855
Little Germany,daily,2024-02-05,4752.07,4752.07,946.6327233207483,946.6327233207483,3805.4372766792517,3805.4372766792517
Little Germany,daily,2024-02-06,2310.54,2310.54,460.2694767841218,460.2694767841218,1850.2705232158783,1850.2705232158783
Little Germany,daily,2024-02-07,4611.91,4611.91,918.7122502425663,918.7122502425663,3693.1977497574335,3693.1977497574335
Little Germany,daily,2024-02-08,15459.52,15459.52,3079.6026823745387,3079.6026823745387,12379.917317625463,12379.917317625463
Little Germany,daily,2024-02-09,13090.46,13090.46,2607.6757706265525,2607.6757706265525,10482.784229373447,10482.784229373447
Little Germany,daily,2024-02-10,12882.94,12882.94,3501.173302667637,3501.173302667637,9381.766697332365,9381.766697332365
Little Germany,daily,2024-02-11,13461.31,13461.31,3658.355871480647,3658.355871480647,9802.954128519354,9802.954128519354
Little Germany,daily,2024-02-12,24922.87,24922.87,4964.742586087532,4964.742586087532,19958.12741391247,19958.12741391247
Little Germany,daily,2024-02-13,1276.14,1276.14,254.2125607447996,254.2125607447996,1021.9274392552005,1021.9274392552005
Little Germany,daily,2024-02-14,6917.86,6917.86,1378.0673793424069,1378.0673793424069,5539.792620657593,5539.792620657593
Little Germany,daily,2024-02-15,7533.91,7533.91,1500.787181281719,1500.787181281719,6033.122818718281,6033.122818718281
Little Germany,daily,2024-02-16,19554.94,19554.94,3895.427909642289,3895.427909642289,15659.51209035771,15659.51209035771
Little Germany,daily,2024-02-17,14239.04,14239.04,3869.718146914958,3869.718146914958,10369.321853085043,10369.321853085043
Little Germany,daily,2024-02-18,10173.1,10173.1,2764.724987104507,2764.724987104507,7408.3750128954935,7408.3750128954935
