area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Bradford Bid,dayOfWeek,Monday,8639571.25,163010.78,6740113.178366836,127171.94808641194,1899458.0716331638,35838.83191358806
Bradford Bid,dayOfWeek,Tuesday,8649822.71,163204.2,6748110.797536133,127322.84361736318,1901711.9124638678,35881.35638263684
Bradford Bid,dayOfWeek,Wednesday,8428002.11,159018.91,6575058.697376273,124057.71303761513,1852943.4126237265,34961.19696238487
Bradford Bid,dayOfWeek,Thursday,8972457.04,169291.64,6999812.165173624,132071.92587842068,1972644.8748263756,37219.71412157933
Bradford Bid,dayOfWeek,Friday,8509533.75,160557.24,6638665.150210129,125257.83258124144,1870868.599789871,35299.40741875855
Bradford Bid,dayOfWeek,Saturday,8739565.23,164897.46,6818122.922467894,128643.83093376516,1921442.3075321068,36253.629066234826
Bradford Bid,dayOfWeek,Sunday,7785863.8,146903.09,6074098.087141684,114605.62384410099,1711765.7128583153,32297.466155899012
Bradford Bid,daily,2024-01-01,202472.54,202472.54,158191.19290020465,158191.19290020465,44281.347099795355,44281.347099795355
Bradford Bid,daily,2024-01-02,208076.52,208076.52,162569.56579555574,162569.56579555574,45506.954204444264,45506.954204444264
Bradford Bid,daily,2024-01-03,174142.23,174142.23,136056.8060142961,136056.8060142961,38085.423985703914,38085.423985703914
Bradford Bid,daily,2024-01-04,112160.29,112160.29,87630.50076387096,87630.50076387096,24529.789236129036,24529.789236129036
Bradford Bid,daily,2024-01-05,179602.1,179602.1,140322.58619554952,140322.58619554952,39279.51380445049,39279.51380445049
Bradford Bid,daily,2024-01-06,147731.71,147731.71,114671.31622350505,114671.31622350505,33060.39377649494,33060.39377649494
Bradford Bid,daily,2024-01-07,167984.16,167984.16,130391.53700921671,130391.53700921671,37592.6229907833,37592.6229907833
Bradford Bid,daily,2024-01-08,159320.38,159320.38,124476.53872230726,124476.53872230726,34843.841277692736,34843.841277692736
Bradford Bid,daily,2024-01-09,171781.05,171781.05,134212.02310767522,134212.02310767522,37569.02689232476,37569.02689232476
Bradford Bid,daily,2024-01-10,153894.15,153894.15,120237.04137293396,120237.04137293396,33657.10862706602,33657.10862706602
Bradford Bid,daily,2024-01-11,173338.52,173338.52,135428.86978330978,135428.86978330978,37909.650216690214,37909.650216690214
Bradford Bid,daily,2024-01-12,132510.68,132510.68,103530.19990373652,103530.19990373652,28980.480096263473,28980.480096263473
Bradford Bid,daily,2024-01-13,212114.44,212114.44,164646.04670731619,164646.04670731619,47468.39329268381,47468.39329268381
Bradford Bid,daily,2024-01-14,123175.42,123175.42,95610.39764437202,95610.39764437202,27565.022355627985,27565.022355627985
Bradford Bid,daily,2024-01-15,117425.93,117425.93,91744.5296241946,91744.5296241946,25681.40037580539,25681.40037580539
Bradford Bid,daily,2024-01-16,134367.08,134367.08,104980.59969869113,104980.59969869113,29386.480301308857,29386.480301308857
Bradford Bid,daily,2024-01-17,197333.33,197333.33,154175.94342259815,154175.94342259815,43157.38657740185,43157.38657740185
Bradford Bid,daily,2024-01-18,147049.09,147049.09,114889.0163673037,114889.0163673037,32160.073632696294,32160.073632696294
Bradford Bid,daily,2024-01-19,129780.79,129780.79,101397.34497147588,101397.34497147588,28383.44502852411,28383.44502852411
Bradford Bid,daily,2024-01-20,182033.54,182033.54,141296.85244030587,141296.85244030587,40736.687559694146,40736.687559694146
Bradford Bid,daily,2024-01-21,172806.7,172806.7,134134.8566346411,134134.8566346411,38671.84336535892,38671.84336535892
Bradford Bid,daily,2024-01-22,140319.82,140319.82,109631.45774405752,109631.45774405752,30688.36225594249,30688.36225594249
Bradford Bid,daily,2024-01-23,137519.54,137519.54,107443.60731429265,107443.60731429265,30075.93268570736,30075.93268570736
Bradford Bid,daily,2024-01-24,155463.08,155463.08,121462.84171246109,121462.84171246109,34000.2382875389,34000.2382875389
Bradford Bid,daily,2024-01-25,174856.54,174856.54,136614.894291356,136614.894291356,38241.645708644,38241.645708644
Bradford Bid,daily,2024-01-26,114713.18,114713.18,89625.06612292163,89625.06612292163,25088.113877078355,25088.113877078355
Bradford Bid,daily,2024-01-27,147550.81,147550.81,114530.89923987418,114530.89923987418,33019.91076012582,33019.91076012582
