area,Category,Group,Value
Bradford,Age (Residents),0-14,29.0%
Bradford,Age (Residents),15-29,23.3%
Bradford,Age (Residents),30-44,23.2%
Bradford,Age (Residents),45-59,13.3%
Bradford,Age (Residents),60+,11.2%
Bradford,Gender (Residents),M,51.0%
Bradford,Gender (Residents),F,49.0%
Bradford,Population (Residents),Total Population,12720
Bradford,Population (Residents),Households,4343
Bradford,Population (Residents),Average Household Size,2.93
Bradford,Purchasing Power (Residents),EUR per capita,11998.92
Bradford,Age (Visitors),15-29,26.5%
Bradford,Age (Visitors),30-44,27.0%
Bradford,Age (Visitors),45-59,22.7%
Bradford,Age (Visitors),60+,23.8%
Bradford,Gender (Visitors),Male,49.5%
Bradford,Gender (Visitors),Female,50.5%
Bradford,Purchasing Power (Visitors),EUR per capita,17549.10
Bradford,Purchasing Power Buckets (Visitors),Bucket 7000,3%
Bradford,Purchasing Power Buckets (Visitors),Bucket 10500,28%
Bradford,Purchasing Power Buckets (Visitors),Bucket 14000,18%
Bradford,Purchasing Power Buckets (Visitors),Bucket 17500,34%
Bradford,Purchasing Power Buckets (Visitors),Bucket 21000,7%
Bradford,Purchasing Power Buckets (Visitors),Bucket 24500,6%
Bradford,Purchasing Power Buckets (Visitors),Bucket 28000,3%
Bradford,Purchasing Power Buckets (Visitors),Bucket 31500,0%
Bradford,Purchasing Power Buckets (Visitors),Bucket 42000,1%
Bradford,Purchasing Power Buckets (Visitors),Bucket 63000,0%
