area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Bradford,dayOfWeek,Monday,896823.6,16921.2,203781.67522533206,3844.937268402492,693041.924774668,13076.262731597508
Bradford,dayOfWeek,Tuesday,932773.74,17599.5,211950.4831757308,3999.0646913487017,720823.2568242692,13600.435308651298
Bradford,dayOfWeek,Wednesday,955012.81,18019.11,217003.77898557953,4094.4110100018925,738009.0310144206,13924.698989998107
Bradford,dayOfWeek,Thursday,939518.66,17726.77,213483.10463758893,4027.9837494621684,726035.5553624111,13698.786250537833
Bradford,dayOfWeek,Friday,848164.24,16003.1,192725.00154257828,3636.3210410592583,655439.2384574217,12366.778958940742
Bradford,dayOfWeek,Saturday,1143074.38,21567.44,259736.26481680208,4900.683984589428,883338.1151831978,16666.75601541057
Bradford,dayOfWeek,Sunday,970790.7,18316.81,220588.92645016563,4162.0562021161295,750201.7735498343,14154.753797883872
Bradford,daily,2024-01-01,11671.93,11671.93,2166.9893824384594,2166.9893824384594,9504.94061756154,9504.94061756154
Bradford,daily,2024-01-02,27931.29,27931.29,5185.6727094670305,5185.6727094670305,22745.61729053297,22745.61729053297
Bradford,daily,2024-01-03,43521.49,43521.49,8080.121002944807,8080.121002944807,35441.36899705519,35441.36899705519
Bradford,daily,2024-01-04,25109.72,25109.72,4661.825133975498,4661.825133975498,20447.894866024504,20447.894866024504
Bradford,daily,2024-01-05,22236.69,22236.69,4128.423588093439,4128.423588093439,18108.26641190656,18108.26641190656
Bradford,daily,2024-01-06,23024.82,23024.82,8133.239081673342,8133.239081673342,14891.580918326656,14891.580918326656
Bradford,daily,2024-01-07,13881.97,13881.97,4903.637940909717,4903.637940909717,8978.33205909028,8978.33205909028
Bradford,daily,2024-01-08,10776.11,10776.11,2000.673063836821,2000.673063836821,8775.43693616318,8775.43693616318
Bradford,daily,2024-01-09,17646.31,17646.31,3276.1819518466623,3276.1819518466623,14370.12804815334,14370.12804815334
Bradford,daily,2024-01-10,11042.52,11042.52,2050.1342618885083,2050.1342618885083,8992.385738111492,8992.385738111492
Bradford,daily,2024-01-11,11146.72,11146.72,2069.479845151095,2069.479845151095,9077.240154848903,9077.240154848903
Bradford,daily,2024-01-12,21218.95,21218.95,3939.471823125443,3939.471823125443,17279.47817687456,17279.47817687456
Bradford,daily,2024-01-13,27747.86,27747.86,9801.595816375566,9801.595816375566,17946.264183624433,17946.264183624433
Bradford,daily,2024-01-14,14328.27,14328.27,5061.288016009146,5061.288016009146,9266.981983990854,9266.981983990854
