area,Category,Group,Value
Bradford,Age (Residents),0-14,19.1%
Bradford,Age (Residents),15-29,38.8%
Bradford,Age (Residents),30-44,24.4%
Bradford,Age (Residents),45-59,10.2%
Bradford,Age (Residents),60+,7.4%
Bradford,Gender (Residents),M,53.8%
Bradford,Gender (Residents),F,46.2%
Bradford,Population (Residents),Total Population,6467
Bradford,Population (Residents),Households,2593
Bradford,Population (Residents),Average Household Size,2.49
Bradford,Purchasing Power (Residents),EUR per capita,17049.44
Bradford,Age (Visitors),15-29,27.3%
Bradford,Age (Visitors),30-44,27.1%
Bradford,Age (Visitors),45-59,22.3%
Bradford,Age (Visitors),60+,23.2%
Bradford,Gender (Visitors),Male,49.7%
Bradford,Gender (Visitors),Female,50.3%
Bradford,Purchasing Power (Visitors),EUR per capita,18087.94
Bradford,Purchasing Power Buckets (Visitors),Bucket 3500,0%
Bradford,Purchasing Power Buckets (Visitors),Bucket 7000,4%
Bradford,Purchasing Power Buckets (Visitors),Bucket 10500,23%
Bradford,Purchasing Power Buckets (Visitors),Bucket 14000,21%
Bradford,Purchasing Power Buckets (Visitors),Bucket 17500,23%
Bradford,Purchasing Power Buckets (Visitors),Bucket 21000,15%
Bradford,Purchasing Power Buckets (Visitors),Bucket 24500,11%
Bradford,Purchasing Power Buckets (Visitors),Bucket 28000,2%
Bradford,Purchasing Power Buckets (Visitors),Bucket 31500,1%
Bradford,Purchasing Power Buckets (Visitors),Bucket 35000,0%
Bradford,Purchasing Power Buckets (Visitors),Bucket 42000,0%
Bradford,Purchasing Power Buckets (Visitors),Bucket 63000,0%
