area,common.dataType,Category,Value (All days of week),Value (Weekdays only),Value (Weekends only)
Bradford,Dwell Time Distribution,0-30 min,40.9%,41.5%,38.6%
Bradford,Dwell Time Distribution,30-2hrs,30.1%,28.7%,34.9%
Bradford,Dwell Time Distribution,2-4 hrs,8.5%,7.8%,10.7%
Bradford,Dwell Time Distribution,4-6 hrs,5.1%,5.6%,3.3%
Bradford,Dwell Time Distribution,6-8 hrs,6.3%,7.9%,0.9%
Bradford,Dwell Time Distribution,8-10 hrs,3.1%,3.5%,1.6%
Bradford,Dwell Time Distribution,10hrs+,6.1%,4.9%,10.1%
Bradford,Dwell Time by Day of Week,Monday,144.7 minutes,144.7 minutes,0.0 minutes
Bradford,Dwell Time by Day of Week,Tuesday,131.1 minutes,131.1 minutes,0.0 minutes
Bradford,Dwell Time by Day of Week,Wednesday,176.6 minutes,176.6 minutes,0.0 minutes
Bradford,Dwell Time by Day of Week,Thursday,183.8 minutes,183.8 minutes,0.0 minutes
Bradford,Dwell Time by Day of Week,Friday,172.7 minutes,172.7 minutes,0.0 minutes
Bradford,Dwell Time by Day of Week,Saturday,138.6 minutes,0.0 minutes,138.6 minutes
Bradford,Dwell Time by Day of Week,Sunday,250.2 minutes,0.0 minutes,250.2 minutes
