area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Bradford,dayOfWeek,Monday,5047595.16,95237.64,3958244.63011777,74683.85739459528,1089350.52988223,20553.782605404725
Bradford,dayOfWeek,Tuesday,5368614.96,101294.62,4209983.301551055,79433.64571948358,1158631.658448945,21860.974280516417
Bradford,dayOfWeek,Wednesday,4920034.79,92830.85,3858213.796906428,72796.49058102517,1061820.9930935719,20034.359418974844
Bradford,dayOfWeek,Thursday,5453097.88,102888.64,4276233.476897263,80683.6510993327,1176864.4031027374,22204.988900667307
Bradford,dayOfWeek,Friday,5116786.4,96543.14,4012503.310835974,75707.60993433317,1104283.0891640265,20835.530065666822
Bradford,dayOfWeek,Saturday,4897729.57,92409.99,3840722.3946663574,72466.45879713079,1057007.1753336429,19943.53120286921
Bradford,dayOfWeek,Sunday,4195208.74,79154.88,3289816.623750019,62072.01028927536,905392.1162499813,17082.86971072465
Bradford,daily,2024-01-01,105577.24,105577.24,82530.00534329381,82530.00534329381,23047.234656706198,23047.234656706198
Bradford,daily,2024-01-02,145875.65,145875.65,114031.37810721758,114031.37810721758,31844.27189278241,31844.27189278241
Bradford,daily,2024-01-03,101651.61,101651.61,79461.33007885428,79461.33007885428,22190.279921145713,22190.279921145713
Bradford,daily,2024-01-04,74286.54,74286.54,58069.98310558988,58069.98310558988,16216.55689441011,16216.55689441011
Bradford,daily,2024-01-05,109979.47,109979.47,85971.24007743166,85971.24007743166,24008.229922568342,24008.229922568342
Bradford,daily,2024-01-06,91163.62,91163.62,72258.29564131548,72258.29564131548,18905.324358684516,18905.324358684516
Bradford,daily,2024-01-07,115576.63,115576.63,91608.5857468904,91608.5857468904,23968.0442531096,23968.0442531096
Bradford,daily,2024-01-08,93551.27,93551.27,73129.27306085972,73129.27306085972,20421.99693914028,20421.99693914028
Bradford,daily,2024-01-09,111794.6,111794.6,87390.13195790489,87390.13195790489,24404.46804209512,24404.46804209512
Bradford,daily,2024-01-10,107771.58,107771.58,84245.32667509792,84245.32667509792,23526.253324902074,23526.253324902074
Bradford,daily,2024-01-11,134840.19,134840.19,105404.93008901115,105404.93008901115,29435.259910988847,29435.259910988847
Bradford,daily,2024-01-12,86445.1,86445.1,67574.36133868973,67574.36133868973,18870.738661310268,18870.738661310268
Bradford,daily,2024-01-13,124853.88,124853.88,98961.93868788148,98961.93868788148,25891.941312118513,25891.941312118513
Bradford,daily,2024-01-14,101414.5,101414.5,80383.36919174764,80383.36919174764,21031.130808252357,21031.130808252357
Bradford,daily,2024-01-15,91589.51,91589.51,71595.76012490629,71595.76012490629,19993.74987509371,19993.74987509371
Bradford,daily,2024-01-16,81890.67,81890.67,64014.15146546651,64014.15146546651,17876.518534533487,17876.518534533487
Bradford,daily,2024-01-17,115005.99,115005.99,89900.48394152749,89900.48394152749,25105.50605847251,25105.50605847251
Bradford,daily,2024-01-18,84836.28,84836.28,66316.74252618433,66316.74252618433,18519.537473815668,18519.537473815668
Bradford,daily,2024-01-19,59928.53,59928.53,46846.28904028693,46846.28904028693,13082.240959713068,13082.240959713068
Bradford,daily,2024-01-20,78513.48,78513.48,62231.515704055084,62231.515704055084,16281.964295944912,16281.964295944912
Bradford,daily,2024-01-21,111835.31,111835.31,88643.13300764236,88643.13300764236,23192.176992357632,23192.176992357632
Bradford,daily,2024-01-22,120600.76,120600.76,94273.93032063817,94273.93032063817,26326.82967936182,26326.82967936182
Bradford,daily,2024-01-23,93888.8,93888.8,73393.12114690102,73393.12114690102,20495.678853098987,20495.678853098987
Bradford,daily,2024-01-24,105068.85,105068.85,82132.59554723855,82132.59554723855,22936.254452761455,22936.254452761455
Bradford,daily,2024-01-25,103108.32,103108.32,80600.04410551031,80600.04410551031,22508.27589448969,22508.27589448969
Bradford,daily,2024-01-26,67093.25,67093.25,52446.969450981545,52446.969450981545,14646.280549018453,14646.280549018453
Bradford,daily,2024-01-27,89440.3,89440.3,70892.35420497727,70892.35420497727,18547.945795022737,18547.945795022737
Bradford,daily,2024-01-28,73497.89,73497.89,58256.04846135865,58256.04846135865,15241.841538641347,15241.841538641347
Bradford,daily,2024-01-29,88727.92,88727.92,69358.84771849828,69358.84771849828,19369.07228150172,19369.07228150172
Bradford,daily,2024-01-30,90512.09,90512.09,70753.53808579093,70753.53808579093,19758.551914209067,19758.551914209067
Bradford,daily,2024-01-31,63524.45,63524.45,49657.22913319007,49657.22913319007,13867.220866809928,13867.220866809928
Bradford,daily,2024-02-01,102915.51,102915.51,80449.32402294099,80449.32402294099,22466.185977059,22466.185977059
Bradford,daily,2024-02-02,101827.56,101827.56,79598.8706552148,79598.8706552148,22228.689344785198,22228.689344785198
Bradford,daily,2024-02-03,29963.6,29963.6,23749.810146614633,23749.810146614633,6213.789853385368,6213.789853385368
Bradford,daily,2024-02-04,131770.09,131770.09,104443.87925690916,104443.87925690916,27326.21074309084,27326.21074309084
Bradford,daily,2024-02-05,68421.48,68421.48,53485.25032474868,53485.25032474868,14936.22967525131,14936.22967525131
Bradford,daily,2024-02-06,84261.94,84261.94,65867.77944220082,65867.77944220082,18394.160557799183,18394.160557799183
Bradford,daily,2024-02-07,157358.56,157358.56,123007.59896368781,123007.59896368781,34350.96103631219,34350.96103631219
Bradford,daily,2024-02-08,153626.72,153626.72,120090.40985038728,120090.40985038728,33536.31014961273,33536.31014961273
Bradford,daily,2024-02-09,153379.85,153379.85,119897.43092406662,119897.43092406662,33482.419075933394,33482.419075933394
Bradford,daily,2024-02-10,66923.58,66923.58,53045.105372244194,53045.105372244194,13878.474627755808,13878.474627755808
Bradford,daily,2024-02-11,117799.02,117799.02,93370.10107120841,93370.10107120841,24428.9189287916,24428.9189287916
Bradford,daily,2024-02-12,133375.05,133375.05,104259.62630925071,104259.62630925071,29115.42369074927,29115.42369074927
Bradford,daily,2024-02-13,77052.06,77052.06,60231.797341091646,60231.797341091646,16820.262658908352,16820.262658908352
Bradford,daily,2024-02-14,155139.72,155139.72,121273.12591764196,121273.12591764196,33866.594082358046,33866.594082358046
Bradford,daily,2024-02-15,142708.45,142708.45,111555.56956246609,111555.56956246609,31152.880437533917,31152.880437533917
Bradford,daily,2024-02-16,126937.3,126937.3,99227.2202537525,99227.2202537525,27710.0797462475,27710.0797462475
Bradford,daily,2024-02-17,171635.08,171635.08,136041.74947266062,136041.74947266062,35593.33052733936,35593.33052733936
Bradford,daily,2024-02-18,119359.56,119359.56,94607.01948976284,94607.01948976284,24752.540510237155,24752.540510237155
Bradford,daily,2024-02-19,125263.97,125263.97,97919.17380509469,97919.17380509469,27344.796194905313,27344.796194905313
Bradford,daily,2024-02-20,151015.1,151015.1,118048.89964842847,118048.89964842847,32966.20035157153,32966.20035157153
Bradford,daily,2024-02-21,100048.47,100048.47,78208.15133724248,78208.15133724248,21840.318662757523,21840.318662757523
Bradford,daily,2024-02-22,162259.63,162259.63,126838.77823383975,126838.77823383975,35420.851766160245,35420.851766160245
Bradford,daily,2024-02-23,139935.34,139935.34,109387.8222040625,109387.8222040625,30547.5177959375,30547.5177959375
Bradford,daily,2024-02-24,129239.1,129239.1,102437.76076704213,102437.76076704213,26801.339232957886,26801.339232957886
Bradford,daily,2024-02-25,68882.59,68882.59,54597.85990024882,54597.85990024882,14284.730099751177,14284.730099751177
Bradford,daily,2024-02-26,121277.3,121277.3,94802.78341260148,94802.78341260148,26474.516587398517,26474.516587398517
Bradford,daily,2024-02-27,188016.8,188016.8,146973.2255610111,146973.2255610111,41043.57443898891,41043.57443898891
Bradford,daily,2024-02-28,143683.72,143683.72,112317.94067873276,112317.94067873276,31365.779321267244,31365.779321267244
Bradford,daily,2024-02-29,119257.29,119257.29,93223.73629891005,93223.73629891005,26033.553701089942,26033.553701089942
Bradford,daily,2024-03-01,120279.76,120279.76,94023.00377894039,94023.00377894039,26256.756221059608,26256.756221059608
Bradford,daily,2024-03-02,112725.69,112725.69,89348.86783117302,89348.86783117302,23376.82216882699,23376.82216882699
Bradford,daily,2024-03-03,167476.5,167476.5,132745.56725558697,132745.56725558697,34730.93274441304,34730.93274441304
Bradford,daily,2024-03-04,118160.27,118160.27,92366.19288840132,92366.19288840132,25794.077111598686,25794.077111598686
Bradford,daily,2024-03-05,99019.2,99019.2,77403.56827938178,77403.56827938178,21615.631720618214,21615.631720618214
Bradford,daily,2024-03-06,144401.19,144401.19,112878.78885901909,112878.78885901909,31522.401140980917,31522.401140980917
Bradford,daily,2024-03-07,155238.12,155238.12,121350.04545565772,121350.04545565772,33888.07454434228,33888.07454434228
Bradford,daily,2024-03-08,165352.87,165352.87,129256.77205265989,129256.77205265989,36096.09794734011,36096.09794734011
Bradford,daily,2024-03-09,122154.1,122154.1,96822.03352169227,96822.03352169227,25332.066478307734,25332.066478307734
Bradford,daily,2024-03-10,123604.32,123604.32,97971.50987536217,97971.50987536217,25632.810124637832,25632.810124637832
Bradford,daily,2024-03-11,174926.85,174926.85,136740.77732270284,136740.77732270284,38186.072677297176,38186.072677297176
Bradford,daily,2024-03-12,108901.21,108901.21,85128.36140811373,85128.36140811373,23772.848591886275,23772.848591886275
Bradford,daily,2024-03-13,115866.35,115866.35,90573.02960948733,90573.02960948733,25293.320390512672,25293.320390512672
Bradford,daily,2024-03-14,124865.38,124865.38,97607.59495694727,97607.59495694727,27257.785043052732,27257.785043052732
Bradford,daily,2024-03-15,80586.88,80586.88,62994.97540378378,62994.97540378378,17591.904596216224,17591.904596216224
Bradford,daily,2024-03-16,100792.56,100792.56,79890.40583211844,79890.40583211844,20902.15416788156,20902.15416788156
Bradford,daily,2024-03-17,122671.9,122671.9,97232.45322072433,97232.45322072433,25439.44677927567,25439.44677927567
Bradford,daily,2024-03-18,95778.4,95778.4,74870.22642164287,74870.22642164287,20908.17357835712,20908.17357835712
Bradford,daily,2024-03-19,81491.53,81491.53,63702.14268087693,63702.14268087693,17789.387319123067,17789.387319123067
Bradford,daily,2024-03-20,92926.23,92926.23,72640.67765393516,72640.67765393516,20285.55234606484,20285.55234606484
Bradford,daily,2024-03-21,114171.82,114171.82,89248.41106524075,89248.41106524075,24923.40893475925,24923.40893475925
Bradford,daily,2024-03-22,118404.79,118404.79,92557.33481356001,92557.33481356001,25847.455186439984,25847.455186439984
Bradford,daily,2024-03-23,108900.58,108900.58,86317.00129010595,86317.00129010595,22583.578709894056,22583.578709894056
Bradford,daily,2024-03-24,77503.09,77503.09,61430.65830794654,61430.65830794654,16072.431692053457,16072.431692053457
Bradford,daily,2024-03-25,78845.54,78845.54,61633.765359796154,61633.765359796154,17211.77464020384,17211.77464020384
Bradford,daily,2024-03-26,116311.51,116311.51,90921.01234874647,90921.01234874647,25390.497651253518,25390.497651253518
Bradford,daily,2024-03-27,101717.24,101717.24,79512.63322194347,79512.63322194347,22204.60677805654,22204.60677805654
Bradford,daily,2024-03-28,64157.35,64157.35,50151.96872272443,50151.96872272443,14005.381277275568,14005.381277275568
Bradford,daily,2024-03-29,119736.35,119736.35,93598.21875705878,93598.21875705878,26138.131242941214,26138.131242941214
