area,Category,Group,Value
Bradford,Age (Residents),0-14,19.3%
Bradford,Age (Residents),15-29,37.0%
Bradford,Age (Residents),30-44,29.8%
Bradford,Age (Residents),45-59,8.8%
Bradford,Age (Residents),60+,5.1%
Bradford,Gender (Residents),M,55.2%
Bradford,Gender (Residents),F,44.8%
Bradford,Population (Residents),Total Population,2119
Bradford,Population (Residents),Households,1052
Bradford,Population (Residents),Average Household Size,2.01
Bradford,Purchasing Power (Residents),EUR per capita,21323.23
Bradford,Age (Visitors),15-29,26.3%
Bradford,Age (Visitors),30-44,27.6%
Bradford,Age (Visitors),45-59,22.6%
Bradford,Age (Visitors),60+,23.3%
Bradford,Gender (Visitors),Male,49.7%
Bradford,Gender (Visitors),Female,50.3%
Bradford,Purchasing Power (Visitors),EUR per capita,18194.04
Bradford,Purchasing Power Buckets (Visitors),Bucket 3500,0%
Bradford,Purchasing Power Buckets (Visitors),Bucket 7000,2%
Bradford,Purchasing Power Buckets (Visitors),Bucket 10500,21%
Bradford,Purchasing Power Buckets (Visitors),Bucket 14000,25%
Bradford,Purchasing Power Buckets (Visitors),Bucket 17500,22%
Bradford,Purchasing Power Buckets (Visitors),Bucket 21000,11%
Bradford,Purchasing Power Buckets (Visitors),Bucket 24500,18%
Bradford,Purchasing Power Buckets (Visitors),Bucket 28000,0%
