area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Bradford,dayOfWeek,Monday,513938.35,9696.95,270042.28635374585,5095.137478372564,243896.0636462541,4601.812521627437
Bradford,dayOfWeek,Tuesday,730792.82,13788.54,383985.6744757449,7245.010743175868,346807.14552425506,6543.529256824133
Bradford,dayOfWeek,Wednesday,595953.78,11244.41,313136.2376681119,5908.230403702942,282817.5423318881,5336.179596297058
Bradford,dayOfWeek,Thursday,723893.13,13658.36,380360.32123496797,7176.609338926641,343532.80876503204,6481.75066107336
Bradford,dayOfWeek,Friday,692157.78,13059.58,363685.3903366679,6861.988100361945,328472.38966333214,6197.591899638055
Bradford,dayOfWeek,Saturday,834150.02,15738.68,438293.3839493061,8269.686687887706,395856.6360506939,7468.993312112293
Bradford,dayOfWeek,Sunday,571440.18,10781.89,300255.88228937594,5665.20522707556,271184.2977106241,5116.684772924439
Bradford,daily,2024-01-01,5654.8,5654.8,2462.3390403125027,2462.3390403125027,3192.4609596874975,3192.4609596874975
Bradford,daily,2024-01-02,13148.65,13148.65,5725.478217161523,5725.478217161523,7423.171782838475,7423.171782838475
Bradford,daily,2024-01-03,18609.71,18609.71,8103.45466893506,8103.45466893506,10506.255331064938,10506.255331064938
Bradford,daily,2024-01-04,6324.32,6324.32,2753.876359805681,2753.876359805681,3570.4436401943185,3570.4436401943185
Bradford,daily,2024-01-05,18513.78,18513.78,8061.6826904146565,8061.6826904146565,10452.09730958534,10452.09730958534
Bradford,daily,2024-01-06,9569.05,9569.05,6996.073232619571,6996.073232619571,2572.9767673804276,2572.9767673804276
Bradford,daily,2024-01-07,25223.77,25223.77,18441.46933318904,18441.46933318904,6782.30066681096,6782.30066681096
Bradford,daily,2024-01-08,7848.69,7848.69,3417.651517703603,3417.651517703603,4431.038482296396,4431.038482296396
Bradford,daily,2024-01-09,8542.73,8542.73,3719.8658820557444,3719.8658820557444,4822.864117944255,4822.864117944255
Bradford,daily,2024-01-10,6851.43,6851.43,2983.4023433133425,2983.4023433133425,3868.0276566866573,3868.0276566866573
Bradford,daily,2024-01-11,35288.04,35288.04,15365.904815043716,15365.904815043716,19922.135184956285,19922.135184956285
Bradford,daily,2024-01-12,18734.94,18734.94,8157.985106442723,8157.985106442723,10576.954893557275,10576.954893557275
Bradford,daily,2024-01-13,9065.83,9065.83,6628.161687364942,6628.161687364942,2437.6683126350586,2437.6683126350586
Bradford,daily,2024-01-14,9106.66,9106.66,6658.0131010463265,6658.0131010463265,2448.6468989536734,2448.6468989536734
Bradford,daily,2024-01-15,8550.78,8550.78,3723.3711924600943,3723.3711924600943,4827.408807539906,4827.408807539906
Bradford,daily,2024-01-16,7480.75,7480.75,3257.434882899086,3257.434882899086,4223.315117100913,4223.315117100913
Bradford,daily,2024-01-17,13527.08,13527.08,5890.262641548851,5890.262641548851,7636.817358451148,7636.817358451148
