area,Category,Group,Value
Lister Park,Age (Residents),0-14,25.2%
Lister Park,Age (Residents),15-29,23.8%
Lister Park,Age (Residents),30-44,23.3%
Lister Park,Age (Residents),45-59,14.5%
Lister Park,Age (Residents),60+,13.1%
Lister Park,Gender (Residents),M,51.4%
Lister Park,Gender (Residents),F,48.6%
Lister Park,Population (Residents),Total Population,12001
Lister Park,Population (Residents),Households,3583
Lister Park,Population (Residents),Average Household Size,3.35
Lister Park,Purchasing Power (Residents),EUR per capita,14075.33
Lister Park,Age (Visitors),15-29,26.4%
Lister Park,Age (Visitors),30-44,27.7%
Lister Park,Age (Visitors),45-59,22.4%
Lister Park,Age (Visitors),60+,23.3%
Lister Park,Gender (Visitors),Male,49.8%
Lister Park,Gender (Visitors),Female,50.2%
Lister Park,Purchasing Power (Visitors),EUR per capita,18012.99
Lister Park,Purchasing Power Buckets (Visitors),Bucket 7000,3%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 10500,22%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 14000,33%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 17500,17%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 21000,6%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 24500,14%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 28000,4%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 31500,0%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 35000,0%
Lister Park,Purchasing Power Buckets (Visitors),Bucket 42000,0%
