area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Lister Park,dayOfWeek,Monday,1326385.66,25026.14,388914.4465966304,7338.007098591367,937471.2134033695,17688.132901408633
Lister Park,dayOfWeek,Tuesday,1363734.33,25730.84,399865.58830617677,7544.634792769428,963868.7416938234,18186.20520723057
Lister Park,dayOfWeek,Wednesday,1301366.83,24554.09,381578.58289018384,7199.595571648337,919788.2471098162,17354.494428351663
Lister Park,dayOfWeek,Thursday,1324146.18,24983.89,388257.8003804279,7325.618819779073,935888.3796195721,17658.271180220927
Lister Park,dayOfWeek,Friday,1196574.61,22576.88,350852.0683642862,6619.850512465984,845722.5416357139,15957.029487534017
Lister Park,dayOfWeek,Saturday,1036516.57,19556.92,303920.8582892757,5734.356867922239,732595.7117107242,13822.56313207776
Lister Park,dayOfWeek,Sunday,1125286.62,21231.82,329949.4530722631,6225.460493548512,795337.166927737,15006.359506451488
Lister Park,daily,2024-01-01,26394.31,26394.31,7145.6039528949395,7145.6039528949395,19248.706047105064,19248.706047105064
Lister Park,daily,2024-01-02,51450.03,51450.03,13928.817906001832,13928.817906001832,37521.21209399817,37521.21209399817
Lister Park,daily,2024-01-03,11756.71,11756.71,3182.837264889268,3182.837264889268,8573.872735110732,8573.872735110732
Lister Park,daily,2024-01-04,9539.32,9539.32,2582.5339893306455,2582.5339893306455,6956.786010669354,6956.786010669354
Lister Park,daily,2024-01-05,13132.17,13132.17,3555.2089015431106,3555.2089015431106,9576.96109845689,9576.96109845689
Lister Park,daily,2024-01-06,23024.82,23024.82,8182.038844963976,8182.038844963976,14842.781155036024,14842.781155036024
Lister Park,daily,2024-01-07,18084.39,18084.39,6426.420769737964,6426.420769737964,11657.969230262035,11657.969230262035
Lister Park,daily,2024-01-08,31995.06,31995.06,8661.867925666962,8661.867925666962,23333.19207433304,23333.19207433304
Lister Park,daily,2024-01-09,82003.02,82003.02,22200.281191716047,22200.281191716047,59802.73880828396,59802.73880828396
Lister Park,daily,2024-01-10,4772.48,4772.48,1292.030439633089,1292.030439633089,3480.4495603669106,3480.4495603669106
Lister Park,daily,2024-01-11,23525.36,23525.36,6368.906988259079,6368.906988259079,17156.453011740923,17156.453011740923
Lister Park,daily,2024-01-12,42437.91,42437.91,11489.010224120264,11489.010224120264,30948.89977587974,30948.89977587974
Lister Park,daily,2024-01-13,27747.86,27747.86,9860.405787520689,9860.405787520689,17887.45421247931,17887.45421247931
Lister Park,daily,2024-01-14,14533.85,14533.85,5164.710311172017,5164.710311172017,9369.139688827983,9369.139688827983
Lister Park,daily,2024-01-15,8263.08,8263.08,2237.0237036348785,2237.0237036348785,6026.056296365122,6026.056296365122
Lister Park,daily,2024-01-16,16908.7,16908.7,4577.610612223418,4577.610612223418,12331.089387776585,12331.089387776585
Lister Park,daily,2024-01-17,51723.82,51723.82,14002.939749166631,14002.939749166631,37720.88025083337,37720.88025083337
Lister Park,daily,2024-01-18,19075.66,19075.66,5164.2612176669845,5164.2612176669845,13911.398782333015,13911.398782333015
Lister Park,daily,2024-01-19,34537.23,34537.23,9350.09732059833,9350.09732059833,25187.132679401675,25187.132679401675
Lister Park,daily,2024-01-20,32598.68,32598.68,11584.180291292192,11584.180291292192,21014.499708707808,21014.499708707808
Lister Park,daily,2024-01-21,33245.41,33245.41,11814.000545357309,11814.000545357309,21431.409454642697,21431.409454642697
