area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Baildon,dayOfWeek,Monday,427801.41,8071.72,327720.2344300004,6183.397036146569,100081.17556999956,1888.3229638534312
Baildon,dayOfWeek,Tuesday,571806.5,10788.8,438036.3314571545,8264.834997197388,133770.16854284552,2523.9650028026117
Baildon,dayOfWeek,Wednesday,549793.26,10373.46,421172.93642214546,7946.660912244847,128620.32357785455,2426.7990877551515
Baildon,dayOfWeek,Thursday,523215.02,9871.98,400812.4915055735,7562.498683415456,122402.5284944265,2309.481316584544
Baildon,dayOfWeek,Friday,454568.3,8576.76,348225.19598625624,6570.286427643729,106343.10401374374,2006.4735723562703
Baildon,dayOfWeek,Saturday,586863.9,11072.9,449571.1570621152,8482.471770768478,137292.74293788482,2590.4282292315215
Baildon,dayOfWeek,Sunday,779295.78,14703.69,596984.9321251888,11263.86360855158,182310.84787481124,3439.8263914484223
Baildon,daily,2024-01-01,17870.22,17870.22,12505.201549459533,12505.201549459533,5365.0184505404695,5365.0184505404695
Baildon,daily,2024-01-02,11750.73,11750.73,8222.912029246456,8222.912029246456,3527.817970753544,3527.817970753544
Baildon,daily,2024-01-03,4960.24,4960.24,3471.0709176323035,3471.0709176323035,1489.1690823676963,1489.1690823676963
Baildon,daily,2024-01-04,9815.71,9815.71,6868.826007796513,6868.826007796513,2946.8839922034863,2946.8839922034863
Baildon,daily,2024-01-05,10935.19,10935.19,7652.214406517344,7652.214406517344,3282.975593482656,3282.975593482656
Baildon,daily,2024-01-06,32382.59,32382.59,27306.558345522222,27306.558345522222,5076.03165447778,5076.03165447778
Baildon,daily,2024-01-07,28475.86,28475.86,24012.21559266638,24012.21559266638,4463.644407333621,4463.644407333621
Baildon,daily,2024-01-08,10782.37,10782.37,7545.274206520456,7545.274206520456,3237.095793479545,3237.095793479545
Baildon,daily,2024-01-09,3372.24,3372.24,2359.822143943914,2359.822143943914,1012.4178560560861,1012.4178560560861
Baildon,daily,2024-01-10,4960.24,4960.24,3471.0709176323035,3471.0709176323035,1489.1690823676963,1489.1690823676963
Baildon,daily,2024-01-11,11762.68,11762.68,8231.274386202109,8231.274386202109,3531.405613797892,3531.405613797892
Baildon,daily,2024-01-12,16402.79,16402.79,11478.32510867014,11478.32510867014,4924.464891329861,4924.464891329861
Baildon,daily,2024-01-13,13873.93,13873.93,11699.165478323108,11699.165478323108,2174.764521676892,2174.764521676892
Baildon,daily,2024-01-14,28871.85,28871.85,24346.13341824004,24346.13341824004,4525.71658175996,4525.71658175996
Baildon,daily,2024-01-15,7188.25,7188.25,5030.185136943052,5030.185136943052,2158.0648630569476,2158.0648630569476
Baildon,daily,2024-01-16,3372.24,3372.24,2359.822143943914,2359.822143943914,1012.4178560560861,1012.4178560560861
Baildon,daily,2024-01-17,8626.01,8626.01,6036.299140002385,6036.299140002385,2589.710859997616,2589.710859997616
Baildon,daily,2024-01-18,21069.32,21069.32,14743.863987687822,14743.863987687822,6325.456012312177,6325.456012312177
Baildon,daily,2024-01-19,34535.08,34535.08,24166.917694729495,24166.917694729495,10368.162305270509,10368.162305270509
Baildon,daily,2024-01-20,9761.94,9761.94,8231.737615042131,8231.737615042131,1530.2023849578684,1530.2023849578684
Baildon,daily,2024-01-21,49661.61,49661.61,41877.05958657321,41877.05958657321,7784.55041342679,7784.55041342679
Baildon,daily,2024-01-22,16647.88,16647.88,11649.833900825863,11649.833900825863,4998.046099174138,4998.046099174138
Baildon,daily,2024-01-23,8514.28,8514.28,5958.112851914096,5958.112851914096,2556.1671480859054,2556.1671480859054
Baildon,daily,2024-01-24,31055.89,31055.89,21732.25420547955,21732.25420547955,9323.63579452045,9323.63579452045
Baildon,daily,2024-01-25,21873.35,21873.35,15306.507156144167,15306.507156144167,6566.842843855831,6566.842843855831
Baildon,daily,2024-01-26,22820.64,22820.64,15969.40063903288,15969.40063903288,6851.23936096712,6851.23936096712
Baildon,daily,2024-01-27,9763.1,9763.1,8232.715782868758,8232.715782868758,1530.3842171312428,1530.3842171312428
Baildon,daily,2024-01-28,12400.11,12400.11,10456.36952467031,10456.36952467031,1943.7404753296898,1943.7404753296898
Baildon,daily,2024-01-29,5480.89,5480.89,3835.410762733601,3835.410762733601,1645.4792372663992,1645.4792372663992
Baildon,daily,2024-01-30,15227.22,15227.22,10655.686115669598,10655.686115669598,4571.533884330402,4571.533884330402
Baildon,daily,2024-01-31,13465.43,13465.43,9422.822780029504,9422.822780029504,4042.6072199704954,4042.6072199704954
Baildon,daily,2024-02-01,12583.33,12583.33,8805.547878725645,8805.547878725645,3777.7821212743547,3777.7821212743547
Baildon,daily,2024-02-02,16285.36,16285.36,11396.150081280828,11396.150081280828,4889.2099187191725,4889.2099187191725
Baildon,daily,2024-02-03,15416.53,15416.53,12999.96003810979,12999.96003810979,2416.569961890211,2416.569961890211
Baildon,daily,2024-02-04,9816.68,9816.68,8277.89701748134,8277.89701748134,1538.7829825186598,1538.7829825186598
Baildon,daily,2024-02-05,3247.11,3247.11,2272.258819604098,2272.258819604098,974.8511803959024,974.8511803959024
Baildon,daily,2024-02-06,14355.34,14355.34,10045.56295395459,10045.56295395459,4309.77704604541,4309.77704604541
Baildon,daily,2024-02-07,12153.5,12153.5,8504.761946487308,8504.761946487308,3648.7380535126927,3648.7380535126927
Baildon,daily,2024-02-08,17960.88,17960.88,12568.643497710533,12568.643497710533,5392.236502289468,5392.236502289468
Baildon,daily,2024-02-09,16285.36,16285.36,11396.150081280828,11396.150081280828,4889.2099187191725,4889.2099187191725
