area,Category,Group,Value
BD Walls RAVO,Age (Residents),0-14,21.5%
BD Walls RAVO,Age (Residents),15-29,17.2%
BD Walls RAVO,Age (Residents),30-44,20.1%
BD Walls RAVO,Age (Residents),45-59,20.1%
BD Walls RAVO,Age (Residents),60+,21.0%
BD Walls RAVO,Gender (Residents),M,48.3%
BD Walls RAVO,Gender (Residents),F,51.7%
BD Walls RAVO,Population (Residents),Total Population,2020
BD Walls RAVO,Population (Residents),Households,858
BD Walls RAVO,Population (Residents),Average Household Size,2.35
BD Walls RAVO,Purchasing Power (Residents),EUR per capita,20281.94
BD Walls RAVO,Age (Visitors),15-29,22.8%
BD Walls RAVO,Age (Visitors),30-44,26.0%
BD Walls RAVO,Age (Visitors),45-59,25.3%
BD Walls RAVO,Age (Visitors),60+,25.9%
BD Walls RAVO,Gender (Visitors),Male,48.5%
BD Walls RAVO,Gender (Visitors),Female,51.5%
BD Walls RAVO,Purchasing Power (Visitors),EUR per capita,18717.26
BD Walls RAVO,Purchasing Power Buckets (Visitors),Bucket 10500,5%
BD Walls RAVO,Purchasing Power Buckets (Visitors),Bucket 14000,4%
BD Walls RAVO,Purchasing Power Buckets (Visitors),Bucket 17500,90%
BD Walls RAVO,Purchasing Power Buckets (Visitors),Bucket 24500,1%
