area,Category,Group,Value
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Age (Residents),0-14,29.0%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Age (Residents),15-29,23.3%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Age (Residents),30-44,23.2%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Age (Residents),45-59,13.3%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Age (Residents),60+,11.2%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Gender (Residents),M,51.0%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Gender (Residents),F,49.0%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Population (Residents),Total Population,12720
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Population (Residents),Households,4343
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Population (Residents),Average Household Size,2.93
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Purchasing Power (Residents),EUR per capita,11998.92
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Age (Visitors),15-29,33.6%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Age (Visitors),30-44,29.4%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Age (Visitors),45-59,19.2%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Age (Visitors),60+,17.9%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Gender (Visitors),Male,50.2%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Gender (Visitors),Female,49.8%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Purchasing Power (Visitors),EUR per capita,13764.85
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Purchasing Power Buckets (Visitors),Bucket 7000,1%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Purchasing Power Buckets (Visitors),Bucket 10500,72%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Purchasing Power Buckets (Visitors),Bucket 14000,8%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Purchasing Power Buckets (Visitors),Bucket 17500,16%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Purchasing Power Buckets (Visitors),Bucket 21000,3%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Purchasing Power Buckets (Visitors),Bucket 24500,1%
