area,common.dataType,Category,Value (All days of week),Value (Weekdays only),Value (Weekends only)
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time Distribution,0-30 min,57.1%,100.0%,0.0%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time Distribution,30-2hrs,14.4%,0.0%,33.6%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time Distribution,2-4 hrs,11.2%,0.0%,26.2%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time Distribution,4-6 hrs,0.0%,0.0%,0.0%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time Distribution,6-8 hrs,0.0%,0.0%,0.0%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time Distribution,8-10 hrs,0.0%,0.0%,0.0%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time Distribution,10hrs+,17.2%,0.0%,40.2%
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time by Day of Week,Monday,0.0 minutes,0.0 minutes,0.0 minutes
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time by Day of Week,Tuesday,22.8 minutes,22.8 minutes,0.0 minutes
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time by Day of Week,Wednesday,0.0 minutes,0.0 minutes,0.0 minutes
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time by Day of Week,Thursday,0.0 minutes,0.0 minutes,0.0 minutes
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time by Day of Week,Friday,28.9 minutes,28.9 minutes,0.0 minutes
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time by Day of Week,Saturday,586.0 minutes,0.0 minutes,586.0 minutes
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",Dwell Time by Day of Week,Sunday,52.5 minutes,0.0 minutes,52.5 minutes
