area,Interval,Date,Transaction Amount,Industry,Segment
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Monday,5.96,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Tuesday,6.25,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Wednesday,6.43,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Thursday,6.3,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Friday,6.45,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Saturday,6.98,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",dayOfWeek,Sunday,3.08,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2024-12-30,7.09,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-01-06,4.81,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-01-13,7.01,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-01-20,7.59,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-01-27,8.37,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-02-03,8.06,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-02-10,5.34,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-02-17,7.87,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-02-24,6.13,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-03-03,8.25,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-03-10,6.06,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-03-17,8.14,Total Retail,Overall
"BD Walls : Root 1 Coates St, Bradford BD5 7DL",weekly,2025-03-24,9.02,Total Retail,Overall
