area,Category,Group,Value
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Age (Residents),0-14,19.0%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Age (Residents),15-29,16.6%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Age (Residents),30-44,17.9%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Age (Residents),45-59,21.3%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Age (Residents),60+,25.1%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Gender (Residents),M,48.7%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Gender (Residents),F,51.3%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Population (Residents),Total Population,7310
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Population (Residents),Households,3099
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Population (Residents),Average Household Size,2.36
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Purchasing Power (Residents),EUR per capita,20253.47
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Age (Visitors),15-29,23.3%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Age (Visitors),30-44,25.0%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Age (Visitors),45-59,24.6%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Age (Visitors),60+,27.2%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Gender (Visitors),Male,49.1%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Gender (Visitors),Female,50.9%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Purchasing Power (Visitors),EUR per capita,19861.58
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Purchasing Power Buckets (Visitors),Bucket 7000,2%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Purchasing Power Buckets (Visitors),Bucket 10500,5%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Purchasing Power Buckets (Visitors),Bucket 14000,12%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Purchasing Power Buckets (Visitors),Bucket 17500,50%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Purchasing Power Buckets (Visitors),Bucket 21000,13%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Purchasing Power Buckets (Visitors),Bucket 24500,11%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Purchasing Power Buckets (Visitors),Bucket 28000,5%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Purchasing Power Buckets (Visitors),Bucket 31500,0%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Purchasing Power Buckets (Visitors),Bucket 42000,0%
