area,common.dataType,Category,Value (All days of week),Value (Weekdays only),Value (Weekends only)
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time Distribution,0-30 min,77.2%,77.9%,73.6%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time Distribution,30-2hrs,20.5%,22.1%,12.6%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time Distribution,2-4 hrs,2.4%,0.0%,13.8%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time Distribution,4-6 hrs,0.0%,0.0%,0.0%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time Distribution,6-8 hrs,0.0%,0.0%,0.0%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time Distribution,8-10 hrs,0.0%,0.0%,0.0%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time Distribution,10hrs+,0.0%,0.0%,0.0%
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time by Day of Week,Monday,20.8 minutes,20.8 minutes,0.0 minutes
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time by Day of Week,Tuesday,26.0 minutes,26.0 minutes,0.0 minutes
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time by Day of Week,Wednesday,16.0 minutes,16.0 minutes,0.0 minutes
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time by Day of Week,Thursday,17.4 minutes,17.4 minutes,0.0 minutes
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time by Day of Week,Friday,31.5 minutes,31.5 minutes,0.0 minutes
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time by Day of Week,Saturday,46.1 minutes,0.0 minutes,46.1 minutes
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",Dwell Time by Day of Week,Sunday,22.6 minutes,0.0 minutes,22.6 minutes
