area,Interval,Date,Transaction Amount,Industry,Segment
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Monday,81.48,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Tuesday,84.82,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Wednesday,100.86,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Thursday,108.09,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Friday,115.54,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Saturday,118.35,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",dayOfWeek,Sunday,74.75,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2024-12-30,66.15,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-01-06,58.22,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-01-13,76.99,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-01-20,86.71,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-01-27,76.25,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-02-03,81.28,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-02-10,88.99,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-02-17,91.78,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-02-24,81.55,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-03-03,93.27,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-03-10,91,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-03-17,83.55,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-03-24,101.07,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-03-31,90.24,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-04-07,84.85,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-04-14,88.42,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-04-21,91.5,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-04-28,78.97,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-05-05,79.9,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-05-12,83.25,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-05-19,83.1,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-05-26,65.67,Total Retail,Overall
"BD walls: Serving the district Morrisons, Bradford Road, Idle BD10",weekly,2025-06-02,72.15,Total Retail,Overall
