area,Category,Group,Value
BD walls the portal BD1 CBH,Age (Residents),0-14,19.3%
BD walls the portal BD1 CBH,Age (Residents),15-29,37.0%
BD walls the portal BD1 CBH,Age (Residents),30-44,29.8%
BD walls the portal BD1 CBH,Age (Residents),45-59,8.8%
BD walls the portal BD1 CBH,Age (Residents),60+,5.1%
BD walls the portal BD1 CBH,Gender (Residents),M,55.2%
BD walls the portal BD1 CBH,Gender (Residents),F,44.8%
BD walls the portal BD1 CBH,Population (Residents),Total Population,2119
BD walls the portal BD1 CBH,Population (Residents),Households,1052
BD walls the portal BD1 CBH,Population (Residents),Average Household Size,2.01
BD walls the portal BD1 CBH,Purchasing Power (Residents),EUR per capita,21323.23
BD walls the portal BD1 CBH,Age (Visitors),15-29,28.4%
BD walls the portal BD1 CBH,Age (Visitors),30-44,28.7%
BD walls the portal BD1 CBH,Age (Visitors),45-59,21.4%
BD walls the portal BD1 CBH,Age (Visitors),60+,21.4%
BD walls the portal BD1 CBH,Gender (Visitors),Male,50.1%
BD walls the portal BD1 CBH,Gender (Visitors),Female,49.9%
BD walls the portal BD1 CBH,Purchasing Power (Visitors),EUR per capita,17511.82
BD walls the portal BD1 CBH,Purchasing Power Buckets (Visitors),Bucket 7000,7%
BD walls the portal BD1 CBH,Purchasing Power Buckets (Visitors),Bucket 10500,26%
BD walls the portal BD1 CBH,Purchasing Power Buckets (Visitors),Bucket 14000,21%
BD walls the portal BD1 CBH,Purchasing Power Buckets (Visitors),Bucket 17500,23%
BD walls the portal BD1 CBH,Purchasing Power Buckets (Visitors),Bucket 21000,9%
BD walls the portal BD1 CBH,Purchasing Power Buckets (Visitors),Bucket 24500,13%
BD walls the portal BD1 CBH,Purchasing Power Buckets (Visitors),Bucket 28000,2%
BD walls the portal BD1 CBH,Purchasing Power Buckets (Visitors),Bucket 31500,0%
