area,Interval,Date,Transaction Amount,Industry,Segment
BD walls the portal BD1 CBH,dayOfWeek,Monday,85.26,Total Retail,Overall
BD walls the portal BD1 CBH,dayOfWeek,Tuesday,79.71,Total Retail,Overall
BD walls the portal BD1 CBH,dayOfWeek,Wednesday,84.54,Total Retail,Overall
BD walls the portal BD1 CBH,dayOfWeek,Thursday,93.79,Total Retail,Overall
BD walls the portal BD1 CBH,dayOfWeek,Friday,107.56,Total Retail,Overall
BD walls the portal BD1 CBH,dayOfWeek,Saturday,132.89,Total Retail,Overall
BD walls the portal BD1 CBH,dayOfWeek,Sunday,89.55,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2024-12-30,75.82,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-01-06,68.36,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-01-13,81.14,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-01-20,79.54,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-01-27,88.59,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-02-03,87.93,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-02-10,84.1,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-02-17,99.13,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-02-24,102.33,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-03-03,86.62,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-03-10,80.11,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-03-17,82.44,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-03-24,98.48,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-03-31,101.88,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-04-07,96.78,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-04-14,102.35,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-04-21,100.71,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-04-28,108.23,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-05-05,93.14,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-05-12,90.31,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-05-19,94.41,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-05-26,107.95,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-06-02,107.35,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-06-09,99.49,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-06-16,86.01,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-06-23,96.22,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-06-30,100.99,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-07-07,94.22,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-07-14,101.56,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-07-21,105.67,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-07-28,90.68,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-08-04,93.94,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-08-11,94.8,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-08-18,98.97,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-08-25,108.37,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-09-01,90.14,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-09-08,81.04,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-09-15,89.04,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-09-22,96.88,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-09-29,98.36,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-10-06,104.97,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-10-13,97.35,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-10-20,104.42,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-10-27,131.94,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-11-03,104.3,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-11-10,109.37,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-11-17,104.79,Total Retail,Overall
BD walls the portal BD1 CBH,weekly,2025-11-24,115.64,Total Retail,Overall
BD walls the portal BD1 CBH,monthly,2025-01-01,76.6,Total Retail,Overall
BD walls the portal BD1 CBH,monthly,2025-02-01,92.95,Total Retail,Overall
BD walls the portal BD1 CBH,monthly,2025-03-01,88.53,Total Retail,Overall
BD walls the portal BD1 CBH,monthly,2025-04-01,98.83,Total Retail,Overall
BD walls the portal BD1 CBH,monthly,2025-05-01,100.74,Total Retail,Overall
BD walls the portal BD1 CBH,monthly,2025-06-01,96.37,Total Retail,Overall
BD walls the portal BD1 CBH,monthly,2025-07-01,100.96,Total Retail,Overall
BD walls the portal BD1 CBH,monthly,2025-08-01,97.25,Total Retail,Overall
BD walls the portal BD1 CBH,monthly,2025-09-01,90.49,Total Retail,Overall
BD walls the portal BD1 CBH,monthly,2025-10-01,103.67,Total Retail,Overall
BD walls the portal BD1 CBH,monthly,2025-11-01,112.31,Total Retail,Overall
