area,Category,Group,Value
BD walls : Come on in my friend BD5 3PX,Age (Residents),0-14,23.0%
BD walls : Come on in my friend BD5 3PX,Age (Residents),15-29,17.4%
BD walls : Come on in my friend BD5 3PX,Age (Residents),30-44,20.1%
BD walls : Come on in my friend BD5 3PX,Age (Residents),45-59,19.5%
BD walls : Come on in my friend BD5 3PX,Age (Residents),60+,20.0%
BD walls : Come on in my friend BD5 3PX,Gender (Residents),M,47.7%
BD walls : Come on in my friend BD5 3PX,Gender (Residents),F,52.3%
BD walls : Come on in my friend BD5 3PX,Population (Residents),Total Population,7040
BD walls : Come on in my friend BD5 3PX,Population (Residents),Households,2869
BD walls : Come on in my friend BD5 3PX,Population (Residents),Average Household Size,2.45
BD walls : Come on in my friend BD5 3PX,Purchasing Power (Residents),EUR per capita,17689.97
BD walls : Come on in my friend BD5 3PX,Age (Visitors),15-29,21.6%
BD walls : Come on in my friend BD5 3PX,Age (Visitors),30-44,24.0%
BD walls : Come on in my friend BD5 3PX,Age (Visitors),45-59,26.0%
BD walls : Come on in my friend BD5 3PX,Age (Visitors),60+,28.4%
BD walls : Come on in my friend BD5 3PX,Gender (Visitors),Male,48.1%
BD walls : Come on in my friend BD5 3PX,Gender (Visitors),Female,51.9%
BD walls : Come on in my friend BD5 3PX,Purchasing Power (Visitors),EUR per capita,17993.51
BD walls : Come on in my friend BD5 3PX,Purchasing Power Buckets (Visitors),Bucket 7000,0%
BD walls : Come on in my friend BD5 3PX,Purchasing Power Buckets (Visitors),Bucket 10500,6%
BD walls : Come on in my friend BD5 3PX,Purchasing Power Buckets (Visitors),Bucket 14000,5%
BD walls : Come on in my friend BD5 3PX,Purchasing Power Buckets (Visitors),Bucket 17500,84%
BD walls : Come on in my friend BD5 3PX,Purchasing Power Buckets (Visitors),Bucket 21000,2%
BD walls : Come on in my friend BD5 3PX,Purchasing Power Buckets (Visitors),Bucket 24500,3%
