area,common.dataType,Category,Value (All days of week),Value (Weekdays only),Value (Weekends only)
BD walls : Come on in my friend BD5 3PX,Dwell Time Distribution,0-30 min,48.6%,48.4%,53.7%
BD walls : Come on in my friend BD5 3PX,Dwell Time Distribution,30-2hrs,24.6%,24.9%,12.8%
BD walls : Come on in my friend BD5 3PX,Dwell Time Distribution,2-4 hrs,18.1%,18.5%,0.0%
BD walls : Come on in my friend BD5 3PX,Dwell Time Distribution,4-6 hrs,5.8%,5.2%,33.4%
BD walls : Come on in my friend BD5 3PX,Dwell Time Distribution,6-8 hrs,2.9%,3.0%,0.0%
BD walls : Come on in my friend BD5 3PX,Dwell Time Distribution,8-10 hrs,0.0%,0.0%,0.0%
BD walls : Come on in my friend BD5 3PX,Dwell Time Distribution,10hrs+,0.0%,0.0%,0.0%
BD walls : Come on in my friend BD5 3PX,Dwell Time by Day of Week,Monday,65.2 minutes,65.2 minutes,0.0 minutes
BD walls : Come on in my friend BD5 3PX,Dwell Time by Day of Week,Tuesday,89.2 minutes,89.2 minutes,0.0 minutes
BD walls : Come on in my friend BD5 3PX,Dwell Time by Day of Week,Wednesday,94.7 minutes,94.7 minutes,0.0 minutes
BD walls : Come on in my friend BD5 3PX,Dwell Time by Day of Week,Thursday,61.0 minutes,61.0 minutes,0.0 minutes
BD walls : Come on in my friend BD5 3PX,Dwell Time by Day of Week,Friday,104.7 minutes,104.7 minutes,0.0 minutes
BD walls : Come on in my friend BD5 3PX,Dwell Time by Day of Week,Saturday,107.8 minutes,0.0 minutes,107.8 minutes
BD walls : Come on in my friend BD5 3PX,Dwell Time by Day of Week,Sunday,87.8 minutes,0.0 minutes,87.8 minutes
