area,Category,Group,Value
Bradford,Age (Residents),0-14,29.0%
Bradford,Age (Residents),15-29,23.3%
Bradford,Age (Residents),30-44,23.2%
Bradford,Age (Residents),45-59,13.3%
Bradford,Age (Residents),60+,11.2%
Bradford,Gender (Residents),M,51.0%
Bradford,Gender (Residents),F,49.0%
Bradford,Population (Residents),Total Population,12720
Bradford,Population (Residents),Households,4343
Bradford,Population (Residents),Average Household Size,2.93
Bradford,Purchasing Power (Residents),EUR per capita,11998.92
Bradford,Age (Visitors),15-29,31.4%
Bradford,Age (Visitors),30-44,31.1%
Bradford,Age (Visitors),45-59,19.6%
Bradford,Age (Visitors),60+,17.9%
Bradford,Gender (Visitors),Male,50.1%
Bradford,Gender (Visitors),Female,49.9%
Bradford,Purchasing Power (Visitors),EUR per capita,13391.48
Bradford,Purchasing Power Buckets (Visitors),Bucket 7000,2%
Bradford,Purchasing Power Buckets (Visitors),Bucket 10500,71%
Bradford,Purchasing Power Buckets (Visitors),Bucket 14000,12%
Bradford,Purchasing Power Buckets (Visitors),Bucket 17500,13%
Bradford,Purchasing Power Buckets (Visitors),Bucket 21000,3%
