area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Bradford,dayOfWeek,Monday,190772.7,3406.66,105893.73289183367,1890.9620930735587,84878.96710816634,1515.6979069264412
Bradford,dayOfWeek,Tuesday,210138.72,3752.48,116643.38495975485,2082.919174504256,93495.33504024515,1669.5608254957444
Bradford,dayOfWeek,Wednesday,144855.87,2586.71,80406.30973715936,1435.8258692603033,64449.560262840634,1150.8841307396967
Bradford,dayOfWeek,Thursday,140624.3,2511.15,78057.45823328539,1393.8841739479922,62566.8417667146,1117.265826052008
Bradford,dayOfWeek,Friday,176887.69,3158.71,98186.4690110979,1753.3304976171326,78701.2209889021,1405.3795023828675
Bradford,dayOfWeek,Saturday,192339.55,3434.63,106763.45688998209,1906.4876253377904,85576.0931100179,1528.1423746622097
Bradford,dayOfWeek,Sunday,194535.29,3473.84,107982.26390513634,1928.252234564838,86553.02609486367,1545.587765435162
Bradford,daily,2024-12-25,986.16,986.16,660.2201585650229,660.2201585650229,325.9398414349771,325.9398414349771
Bradford,daily,2024-12-26,1894.07,1894.07,1268.0530499444844,1268.0530499444844,626.0169500555154,626.0169500555154
Bradford,daily,2024-12-27,943.83,943.83,631.8808228466229,631.8808228466229,311.9491771533772,311.9491771533772
Bradford,daily,2024-12-28,1965.66,1965.66,914.9011593412552,914.9011593412552,1050.758840658745,1050.758840658745
Bradford,daily,2024-12-29,1511.96,1511.96,703.730022932554,703.730022932554,808.229977067446,808.229977067446
Bradford,daily,2024-12-30,878.22,878.22,587.9558567118667,587.9558567118667,290.26414328813337,290.26414328813337
Bradford,daily,2024-12-31,1402.46,1402.46,938.9271148506348,938.9271148506348,463.5328851493652,463.5328851493652
Bradford,daily,2025-01-01,986.16,986.16,660.2201585650229,660.2201585650229,325.9398414349771,325.9398414349771
Bradford,daily,2025-01-02,1894.07,1894.07,1268.0530499444844,1268.0530499444844,626.0169500555154,626.0169500555154
Bradford,daily,2025-01-03,943.83,943.83,631.8808228466229,631.8808228466229,311.9491771533772,311.9491771533772
Bradford,daily,2025-01-04,1965.66,1965.66,914.9011593412552,914.9011593412552,1050.758840658745,1050.758840658745
Bradford,daily,2025-01-06,878.22,878.22,587.9558567118667,587.9558567118667,290.26414328813337,290.26414328813337
Bradford,daily,2025-01-07,11219.7,11219.7,7511.430308521932,7511.430308521932,3708.2696914780695,3708.2696914780695
Bradford,daily,2025-01-08,986.16,986.16,660.2201585650229,660.2201585650229,325.9398414349771,325.9398414349771
Bradford,daily,2025-01-09,939.71,939.71,629.1225411749997,629.1225411749997,310.58745882500034,310.58745882500034
Bradford,daily,2025-01-10,943.83,943.83,631.8808228466229,631.8808228466229,311.9491771533772,311.9491771533772
Bradford,daily,2025-01-11,1965.66,1965.66,914.9011593412552,914.9011593412552,1050.758840658745,1050.758840658745
Bradford,daily,2025-01-13,878.22,878.22,587.9558567118667,587.9558567118667,290.26414328813337,290.26414328813337
Bradford,daily,2025-01-14,2238.65,2238.65,1498.7444815968895,1498.7444815968895,739.9055184031106,739.9055184031106
Bradford,daily,2025-01-16,7517.68,7517.68,5032.980329399998,5032.980329399998,2484.6996706000027,2484.6996706000027
Bradford,daily,2025-01-18,8282.2,8282.2,3854.8855762930234,3854.8855762930234,4427.314423706977,4427.314423706977
Bradford,daily,2025-01-21,2238.65,2238.65,1498.7444815968895,1498.7444815968895,739.9055184031106,739.9055184031106
Bradford,daily,2025-01-23,939.71,939.71,629.1225411749997,629.1225411749997,310.58745882500034,310.58745882500034
Bradford,daily,2025-01-25,7443.12,7443.12,3464.3423161259234,3464.3423161259234,3978.7776838740765,3978.7776838740765
Bradford,daily,2025-01-28,2238.65,2238.65,1498.7444815968895,1498.7444815968895,739.9055184031106,739.9055184031106
Bradford,daily,2025-01-30,939.71,939.71,629.1225411749997,629.1225411749997,310.58745882500034,310.58745882500034
Bradford,daily,2025-02-01,1965.66,1965.66,914.9011593412552,914.9011593412552,1050.758840658745,1050.758840658745
Bradford,daily,2025-02-02,2446.77,2446.77,1138.8300670723333,1138.8300670723333,1307.9399329276666,1307.9399329276666
Bradford,daily,2025-02-04,6689.49,6689.49,4478.518849394758,4478.518849394758,2210.9711506052413,2210.9711506052413
Bradford,daily,2025-02-06,1808.11,1808.11,1210.5040469122694,1210.5040469122694,597.6059530877307,597.6059530877307
Bradford,daily,2025-02-08,1965.66,1965.66,914.9011593412552,914.9011593412552,1050.758840658745,1050.758840658745
Bradford,daily,2025-02-09,2446.77,2446.77,1138.8300670723333,1138.8300670723333,1307.9399329276666,1307.9399329276666
Bradford,daily,2025-02-11,1618.63,1618.63,1083.649869451309,1083.649869451309,534.9801305486909,534.9801305486909
Bradford,daily,2025-02-13,1808.11,1808.11,1210.5040469122694,1210.5040469122694,597.6059530877307,597.6059530877307
Bradford,daily,2025-02-14,779.52,779.52,521.8776040445837,521.8776040445837,257.6423959554163,257.6423959554163
Bradford,daily,2025-02-15,1965.66,1965.66,914.9011593412552,914.9011593412552,1050.758840658745,1050.758840658745
Bradford,daily,2025-02-16,2446.77,2446.77,1138.8300670723333,1138.8300670723333,1307.9399329276666,1307.9399329276666
Bradford,daily,2025-02-18,2515.64,2515.64,1684.1853651461367,1684.1853651461367,831.4546348538632,831.4546348538632
Bradford,daily,2025-02-19,959.09,959.09,642.0971768051105,642.0971768051105,316.99282319488947,316.99282319488947
Bradford,daily,2025-02-20,868.4,868.4,581.3815057372697,581.3815057372697,287.0184942627303,287.0184942627303
Bradford,daily,2025-02-21,779.52,779.52,521.8776040445837,521.8776040445837,257.6423959554163,257.6423959554163
Bradford,daily,2025-02-22,1967.51,1967.51,915.7622274531267,915.7622274531267,1051.7477725468734,1051.7477725468734
Bradford,daily,2025-02-23,2446.77,2446.77,1138.8300670723333,1138.8300670723333,1307.9399329276666,1307.9399329276666
Bradford,daily,2025-02-25,3354.19,3354.19,2245.582718480991,2245.582718480991,1108.607281519009,1108.607281519009
Bradford,daily,2025-02-26,959.09,959.09,642.0971768051105,642.0971768051105,316.99282319488947,316.99282319488947
Bradford,daily,2025-02-27,868.4,868.4,581.3815057372697,581.3815057372697,287.0184942627303,287.0184942627303
Bradford,daily,2025-02-28,779.52,779.52,521.8776040445837,521.8776040445837,257.6423959554163,257.6423959554163
Bradford,daily,2025-03-01,1037.12,1037.12,482.71943793738615,482.71943793738615,554.4005620626137,554.4005620626137
Bradford,daily,2025-03-02,19574.12,19574.12,9110.621918889761,9110.621918889761,10463.498081110238,10463.498081110238
Bradford,daily,2025-03-04,6259.57,6259.57,4190.693495932567,4190.693495932567,2068.876504067433,2068.876504067433
Bradford,daily,2025-03-05,959.09,959.09,642.0971768051105,642.0971768051105,316.99282319488947,316.99282319488947
Bradford,daily,2025-03-06,6947.18,6947.18,4651.038656181305,4651.038656181305,2296.141343818695,2296.141343818695
Bradford,daily,2025-03-07,779.52,779.52,521.8776040445837,521.8776040445837,257.6423959554163,257.6423959554163
Bradford,daily,2025-03-08,1037.12,1037.12,482.71943793738615,482.71943793738615,554.4005620626137,554.4005620626137
Bradford,daily,2025-03-09,2446.77,2446.77,1138.8300670723333,1138.8300670723333,1307.9399329276666,1307.9399329276666
Bradford,daily,2025-03-11,1679.46,1679.46,1124.3746932583083,1124.3746932583083,555.0853067416916,555.0853067416916
Bradford,daily,2025-03-12,959.09,959.09,642.0971768051105,642.0971768051105,316.99282319488947,316.99282319488947
Bradford,daily,2025-03-13,868.4,868.4,581.3815057372697,581.3815057372697,287.0184942627303,287.0184942627303
Bradford,daily,2025-03-14,6236.16,6236.16,4175.020832356669,4175.020832356669,2061.1391676433304,2061.1391676433304
Bradford,daily,2025-03-15,2269.26,2269.26,1056.209418132707,1056.209418132707,1213.0505818672932,1213.0505818672932
Bradford,daily,2025-03-16,2446.77,2446.77,1138.8300670723333,1138.8300670723333,1307.9399329276666,1307.9399329276666
Bradford,daily,2025-03-18,7176.08,7176.08,4804.28396555862,4804.28396555862,2371.796034441379,2371.796034441379
Bradford,daily,2025-03-19,7672.75,7672.75,5136.797499016163,5136.797499016163,2535.952500983837,2535.952500983837
Bradford,daily,2025-03-20,868.4,868.4,581.3815057372697,581.3815057372697,287.0184942627303,287.0184942627303
Bradford,daily,2025-03-21,779.52,779.52,521.8776040445837,521.8776040445837,257.6423959554163,257.6423959554163
Bradford,daily,2025-03-22,8296.93,8296.93,3861.7415402324104,3861.7415402324104,4435.18845976759,4435.18845976759
Bradford,daily,2025-03-23,2446.77,2446.77,1138.8300670723333,1138.8300670723333,1307.9399329276666,1307.9399329276666
