area,Interval,Date,Transaction Amount,Industry,Segment
Bradford,dayOfWeek,Monday,5.63,Total Retail,Overall
Bradford,dayOfWeek,Tuesday,4.5,Total Retail,Overall
Bradford,dayOfWeek,Wednesday,5.02,Total Retail,Overall
Bradford,dayOfWeek,Thursday,4.76,Total Retail,Overall
Bradford,dayOfWeek,Friday,3.35,Total Retail,Overall
Bradford,dayOfWeek,Saturday,5.48,Total Retail,Overall
Bradford,dayOfWeek,Sunday,4.25,Total Retail,Overall
Bradford,weekly,2024-12-30,6.85,Total Retail,Overall
Bradford,weekly,2025-01-06,3.71,Total Retail,Overall
Bradford,weekly,2025-01-13,4.27,Total Retail,Overall
Bradford,weekly,2025-01-20,6.18,Total Retail,Overall
Bradford,weekly,2025-01-27,5.76,Total Retail,Overall
Bradford,weekly,2025-02-03,6.65,Total Retail,Overall
Bradford,weekly,2025-02-10,3.93,Total Retail,Overall
Bradford,weekly,2025-02-17,5.22,Total Retail,Overall
Bradford,weekly,2025-02-24,5.76,Total Retail,Overall
Bradford,weekly,2025-03-03,6.08,Total Retail,Overall
Bradford,weekly,2025-03-10,6.47,Total Retail,Overall
Bradford,weekly,2025-03-17,7.7,Total Retail,Overall
Bradford,weekly,2025-03-24,6.33,Total Retail,Overall
Bradford,weekly,2025-03-31,5.11,Total Retail,Overall
Bradford,weekly,2025-04-07,2.74,Total Retail,Overall
Bradford,weekly,2025-04-14,6.09,Total Retail,Overall
Bradford,weekly,2025-04-21,4.97,Total Retail,Overall
Bradford,weekly,2025-04-28,7.64,Total Retail,Overall
Bradford,weekly,2025-05-05,5.59,Total Retail,Overall
Bradford,weekly,2025-05-12,6.29,Total Retail,Overall
Bradford,weekly,2025-05-19,7.53,Total Retail,Overall
Bradford,weekly,2025-05-26,4.9,Total Retail,Overall
Bradford,weekly,2025-06-02,7.65,Total Retail,Overall
Bradford,weekly,2025-06-09,6.33,Total Retail,Overall
Bradford,weekly,2025-06-16,5.75,Total Retail,Overall
Bradford,weekly,2025-06-23,5.6,Total Retail,Overall
Bradford,weekly,2025-06-30,5.15,Total Retail,Overall
Bradford,weekly,2025-07-07,4.45,Total Retail,Overall
Bradford,weekly,2025-07-14,4.84,Total Retail,Overall
Bradford,weekly,2025-07-21,7.56,Total Retail,Overall
Bradford,weekly,2025-07-28,5.9,Total Retail,Overall
Bradford,weekly,2025-08-04,1.38,Total Retail,Overall
Bradford,weekly,2025-08-11,2.82,Total Retail,Overall
Bradford,weekly,2025-08-18,2.24,Total Retail,Overall
Bradford,weekly,2025-08-25,1.33,Total Retail,Overall
Bradford,weekly,2025-09-01,2.88,Total Retail,Overall
Bradford,weekly,2025-09-08,1.5,Total Retail,Overall
Bradford,weekly,2025-09-15,1.81,Total Retail,Overall
Bradford,weekly,2025-09-22,1.72,Total Retail,Overall
Bradford,weekly,2025-09-29,4.07,Total Retail,Overall
Bradford,weekly,2025-10-06,6.11,Total Retail,Overall
Bradford,weekly,2025-10-13,1.19,Total Retail,Overall
Bradford,weekly,2025-10-20,4.21,Total Retail,Overall
Bradford,weekly,2025-10-27,2.88,Total Retail,Overall
Bradford,weekly,2025-11-03,3.09,Total Retail,Overall
Bradford,weekly,2025-11-10,3.22,Total Retail,Overall
Bradford,weekly,2025-11-17,2.92,Total Retail,Overall
Bradford,weekly,2025-11-24,1.53,Total Retail,Overall
Bradford,monthly,2025-01-01,5.26,Total Retail,Overall
Bradford,monthly,2025-02-01,5.42,Total Retail,Overall
Bradford,monthly,2025-03-01,6.45,Total Retail,Overall
Bradford,monthly,2025-04-01,5.01,Total Retail,Overall
Bradford,monthly,2025-05-01,6.49,Total Retail,Overall
Bradford,monthly,2025-06-01,6.18,Total Retail,Overall
Bradford,monthly,2025-07-01,5.43,Total Retail,Overall
Bradford,monthly,2025-08-01,2.02,Total Retail,Overall
Bradford,monthly,2025-09-01,2.16,Total Retail,Overall
Bradford,monthly,2025-10-01,3.79,Total Retail,Overall
Bradford,monthly,2025-11-01,2.58,Total Retail,Overall
