area,Category,Group,Value
Bradford city centre,Age (Residents),0-14,19.1%
Bradford city centre,Age (Residents),15-29,38.8%
Bradford city centre,Age (Residents),30-44,24.4%
Bradford city centre,Age (Residents),45-59,10.2%
Bradford city centre,Age (Residents),60+,7.4%
Bradford city centre,Gender (Residents),M,53.8%
Bradford city centre,Gender (Residents),F,46.2%
Bradford city centre,Population (Residents),Total Population,6467
Bradford city centre,Population (Residents),Households,2593
Bradford city centre,Population (Residents),Average Household Size,2.49
Bradford city centre,Purchasing Power (Residents),EUR per capita,17049.44
Bradford city centre,Age (Visitors),15-29,29.0%
Bradford city centre,Age (Visitors),30-44,27.4%
Bradford city centre,Age (Visitors),45-59,21.6%
Bradford city centre,Age (Visitors),60+,21.9%
Bradford city centre,Gender (Visitors),Male,49.6%
Bradford city centre,Gender (Visitors),Female,50.4%
Bradford city centre,Purchasing Power (Visitors),EUR per capita,17065.64
Bradford city centre,Purchasing Power Buckets (Visitors),Bucket 7000,4%
Bradford city centre,Purchasing Power Buckets (Visitors),Bucket 10500,29%
Bradford city centre,Purchasing Power Buckets (Visitors),Bucket 14000,23%
Bradford city centre,Purchasing Power Buckets (Visitors),Bucket 17500,25%
Bradford city centre,Purchasing Power Buckets (Visitors),Bucket 21000,12%
Bradford city centre,Purchasing Power Buckets (Visitors),Bucket 24500,5%
Bradford city centre,Purchasing Power Buckets (Visitors),Bucket 28000,1%
Bradford city centre,Purchasing Power Buckets (Visitors),Bucket 31500,1%
Bradford city centre,Purchasing Power Buckets (Visitors),Bucket 35000,0%
Bradford city centre,Purchasing Power Buckets (Visitors),Bucket 38500,0%
Bradford city centre,Purchasing Power Buckets (Visitors),Bucket 42000,0%
