area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Bradford city centre,dayOfWeek,Monday,5425202.68,96878.62,4432677.669398824,79154.95896573107,992525.0106011764,17723.661034268924
Bradford city centre,dayOfWeek,Tuesday,5752329.22,102720.16,4699957.362795587,83927.80625646123,1052371.8572044126,18792.353743538766
Bradford city centre,dayOfWeek,Wednesday,5790601.77,103403.6,4731228.061374529,84486.21290134883,1059373.7086254703,18917.387098651183
Bradford city centre,dayOfWeek,Thursday,5302804.56,94692.94,4332671.928544106,77369.14274836321,970132.6314558936,17323.79725163679
Bradford city centre,dayOfWeek,Friday,5365853.45,95818.81,4384186.207967006,78289.03811486148,981667.2420329943,17529.77188513851
Bradford city centre,dayOfWeek,Saturday,5949861.17,106247.52,4861351.418539474,86809.84603012195,1088509.7514605257,19437.673969878062
Bradford city centre,dayOfWeek,Sunday,4364820.79,77943.23,3566289.554137124,63683.74335128369,798531.2358628757,14259.486648716307
Bradford city centre,daily,2024-12-25,86316.4,86316.4,70501.56202468189,70501.56202468189,15814.83797531811,15814.83797531811
Bradford city centre,daily,2024-12-26,116592.06,116592.06,95230.13413065688,95230.13413065688,21361.92586934311,21361.92586934311
Bradford city centre,daily,2024-12-27,152014.06,152014.06,124162.13697181201,124162.13697181201,27851.923028187994,27851.923028187994
Bradford city centre,daily,2024-12-28,85872.99,85872.99,70239.62229376043,70239.62229376043,15633.367706239578,15633.367706239578
Bradford city centre,daily,2024-12-29,54283.62,54283.62,44401.16695060949,44401.16695060949,9882.453049390511,9882.453049390511
Bradford city centre,daily,2024-12-30,84377.46,84377.46,68917.87342469236,68917.87342469236,15459.586575307649,15459.586575307649
Bradford city centre,daily,2024-12-31,64426.74,64426.74,52622.51213162335,52622.51213162335,11804.22786837665,11804.22786837665
Bradford city centre,daily,2025-01-01,58830.4,58830.4,48051.5301210065,48051.5301210065,10778.869878993502,10778.869878993502
Bradford city centre,daily,2025-01-02,60005.72,60005.72,49011.50870999827,49011.50870999827,10994.211290001733,10994.211290001733
Bradford city centre,daily,2025-01-03,114841.68,114841.68,93800.45768288146,93800.45768288146,21041.222317118536,21041.222317118536
Bradford city centre,daily,2025-01-04,84450.01,84450.01,69075.69894916074,69075.69894916074,15374.31105083926,15374.31105083926
