area,Interval,Date,Transaction Amount,Industry,Segment
Bradford city centre,dayOfWeek,Monday,265.51,Total Retail,Overall
Bradford city centre,dayOfWeek,Tuesday,266.76,Total Retail,Overall
Bradford city centre,dayOfWeek,Wednesday,281.26,Total Retail,Overall
Bradford city centre,dayOfWeek,Thursday,293.74,Total Retail,Overall
Bradford city centre,dayOfWeek,Friday,330.31,Total Retail,Overall
Bradford city centre,dayOfWeek,Saturday,381.96,Total Retail,Overall
Bradford city centre,dayOfWeek,Sunday,239.8,Total Retail,Overall
Bradford city centre,weekly,2024-12-30,256.34,Total Retail,Overall
Bradford city centre,weekly,2025-01-06,229.46,Total Retail,Overall
Bradford city centre,weekly,2025-01-13,275.16,Total Retail,Overall
Bradford city centre,weekly,2025-01-20,259.71,Total Retail,Overall
Bradford city centre,weekly,2025-01-27,292.91,Total Retail,Overall
Bradford city centre,weekly,2025-02-03,286.19,Total Retail,Overall
Bradford city centre,weekly,2025-02-10,308.69,Total Retail,Overall
Bradford city centre,weekly,2025-02-17,322.95,Total Retail,Overall
Bradford city centre,weekly,2025-02-24,305.32,Total Retail,Overall
Bradford city centre,weekly,2025-03-03,280.88,Total Retail,Overall
Bradford city centre,weekly,2025-03-10,274.55,Total Retail,Overall
Bradford city centre,weekly,2025-03-17,283.73,Total Retail,Overall
Bradford city centre,weekly,2025-03-24,332.53,Total Retail,Overall
Bradford city centre,weekly,2025-03-31,293.88,Total Retail,Overall
Bradford city centre,weekly,2025-04-07,323.69,Total Retail,Overall
Bradford city centre,weekly,2025-04-14,327.3,Total Retail,Overall
Bradford city centre,weekly,2025-04-21,300.32,Total Retail,Overall
Bradford city centre,weekly,2025-04-28,328.93,Total Retail,Overall
Bradford city centre,weekly,2025-05-05,301.63,Total Retail,Overall
Bradford city centre,weekly,2025-05-12,288.2,Total Retail,Overall
Bradford city centre,weekly,2025-05-19,309.01,Total Retail,Overall
Bradford city centre,weekly,2025-05-26,337.3,Total Retail,Overall
Bradford city centre,weekly,2025-06-02,315.61,Total Retail,Overall
Bradford city centre,weekly,2025-06-09,314.98,Total Retail,Overall
Bradford city centre,weekly,2025-06-16,291.53,Total Retail,Overall
Bradford city centre,weekly,2025-06-23,310.92,Total Retail,Overall
Bradford city centre,weekly,2025-06-30,304.49,Total Retail,Overall
Bradford city centre,weekly,2025-07-07,301.04,Total Retail,Overall
Bradford city centre,weekly,2025-07-14,333.79,Total Retail,Overall
Bradford city centre,weekly,2025-07-21,343.01,Total Retail,Overall
Bradford city centre,weekly,2025-07-28,336.95,Total Retail,Overall
Bradford city centre,weekly,2025-08-04,298.64,Total Retail,Overall
Bradford city centre,weekly,2025-08-11,298.46,Total Retail,Overall
Bradford city centre,weekly,2025-08-18,320.24,Total Retail,Overall
Bradford city centre,weekly,2025-08-25,317.38,Total Retail,Overall
Bradford city centre,weekly,2025-09-01,295.85,Total Retail,Overall
Bradford city centre,weekly,2025-09-08,272.2,Total Retail,Overall
Bradford city centre,weekly,2025-09-15,259.95,Total Retail,Overall
Bradford city centre,weekly,2025-09-22,275.15,Total Retail,Overall
Bradford city centre,weekly,2025-09-29,267.27,Total Retail,Overall
Bradford city centre,weekly,2025-10-06,248.28,Total Retail,Overall
Bradford city centre,weekly,2025-10-13,257.5,Total Retail,Overall
Bradford city centre,weekly,2025-10-20,273.04,Total Retail,Overall
Bradford city centre,weekly,2025-10-27,302.79,Total Retail,Overall
Bradford city centre,weekly,2025-11-03,254.59,Total Retail,Overall
Bradford city centre,weekly,2025-11-10,277.88,Total Retail,Overall
Bradford city centre,weekly,2025-11-17,251.2,Total Retail,Overall
Bradford city centre,weekly,2025-11-24,288.28,Total Retail,Overall
Bradford city centre,monthly,2025-01-01,257,Total Retail,Overall
Bradford city centre,monthly,2025-02-01,305.9,Total Retail,Overall
Bradford city centre,monthly,2025-03-01,293.15,Total Retail,Overall
Bradford city centre,monthly,2025-04-01,310.52,Total Retail,Overall
Bradford city centre,monthly,2025-05-01,317.12,Total Retail,Overall
Bradford city centre,monthly,2025-06-01,304.85,Total Retail,Overall
Bradford city centre,monthly,2025-07-01,323.18,Total Retail,Overall
Bradford city centre,monthly,2025-08-01,312.04,Total Retail,Overall
Bradford city centre,monthly,2025-09-01,273.19,Total Retail,Overall
Bradford city centre,monthly,2025-10-01,268.18,Total Retail,Overall
Bradford city centre,monthly,2025-11-01,271.76,Total Retail,Overall
