area,Category,Group,Value
Bradford Bid,Age (Residents),0-14,24.2%
Bradford Bid,Age (Residents),15-29,31.1%
Bradford Bid,Age (Residents),30-44,24.2%
Bradford Bid,Age (Residents),45-59,11.5%
Bradford Bid,Age (Residents),60+,8.9%
Bradford Bid,Gender (Residents),M,52.7%
Bradford Bid,Gender (Residents),F,47.3%
Bradford Bid,Population (Residents),Total Population,17666
Bradford Bid,Population (Residents),Households,6369
Bradford Bid,Population (Residents),Average Household Size,2.77
Bradford Bid,Purchasing Power (Residents),EUR per capita,13972.29
Bradford Bid,Age (Visitors),15-29,29.1%
Bradford Bid,Age (Visitors),30-44,27.6%
Bradford Bid,Age (Visitors),45-59,21.4%
Bradford Bid,Age (Visitors),60+,21.9%
Bradford Bid,Gender (Visitors),Male,49.9%
Bradford Bid,Gender (Visitors),Female,50.1%
Bradford Bid,Purchasing Power (Visitors),EUR per capita,17725.00
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 3500,0%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 7000,4%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 10500,25%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 14000,24%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 17500,21%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 21000,16%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 24500,6%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 28000,2%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 31500,1%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 35000,0%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 38500,0%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 42000,0%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 45500,0%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 52500,0%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 56000,0%
Bradford Bid,Purchasing Power Buckets (Visitors),Bucket 80500,0%
