area,Interval,Date,Total Footfall,Average Footfall,Total Visiting,Average Visiting,Total Passing through,Average Passing through
Bradford Bid,dayOfWeek,Monday,9776104.05,188002,7626772.884185706,146668.70856112472,2149331.165814295,41333.29143887529
Bradford Bid,dayOfWeek,Tuesday,8836045.69,169923.96,6893391.613596622,132565.22678903528,1942654.076403378,37358.7332109647
Bradford Bid,dayOfWeek,Wednesday,9199273.37,176909.1,7176761.656145389,138014.6446830931,2022511.71385461,38894.455316906904
Bradford Bid,dayOfWeek,Thursday,9060594.65,174242.2,7068572.228547228,135934.07756752166,1992022.421452773,38308.122432478354
Bradford Bid,dayOfWeek,Friday,8994518.67,172971.51,7017023.422398831,134942.7558726379,1977495.2476011687,38028.75412736211
Bradford Bid,dayOfWeek,Saturday,9648698.75,185551.9,7527378.352133691,144757.27675270985,2121320.397866308,40794.623247290154
Bradford Bid,dayOfWeek,Sunday,8069481.2,155182.33,6295360.61511194,121064.62661358005,1774120.58488806,34117.703386419926
Bradford Bid,daily,2025-01-01,151088.86,151088.86,118045.27664507992,118045.27664507992,33043.583354920054,33043.583354920054
Bradford Bid,daily,2025-01-02,171673.62,171673.62,134128.08836841,134128.08836841,37545.53163158999,37545.53163158999
Bradford Bid,daily,2025-01-03,220639.84,220639.84,172385.25032041525,172385.25032041525,48254.58967958475,48254.58967958475
Bradford Bid,daily,2025-01-04,169561.66,169561.66,131616.01346956892,131616.01346956892,37945.646530431084,37945.646530431084
Bradford Bid,daily,2025-01-05,141016.74,141016.74,109459.06728723166,109459.06728723166,31557.672712768333,31557.672712768333
Bradford Bid,daily,2025-01-06,110462.71,110462.71,86304.1865622339,86304.1865622339,24158.523437766107,24158.523437766107
Bradford Bid,daily,2025-01-07,206571.09,206571.09,161393.37781703897,161393.37781703897,45177.71218296103,45177.71218296103
Bradford Bid,daily,2025-01-08,195219.07,195219.07,152524.0783770903,152524.0783770903,42694.991622909685,42694.991622909685
Bradford Bid,daily,2025-01-09,229268.51,229268.51,179126.80451063882,179126.80451063882,50141.705489361186,50141.705489361186
Bradford Bid,daily,2025-01-10,213980.51,213980.51,167182.3356110126,167182.3356110126,46798.17438898742,46798.17438898742
Bradford Bid,daily,2025-01-11,179429.23,179429.23,139275.35241465777,139275.35241465777,40153.877585342234,40153.877585342234
Bradford Bid,daily,2025-01-12,162047.27,162047.27,125783.24410734637,125783.24410734637,36264.02589265361,36264.02589265361
Bradford Bid,daily,2025-01-13,143187.44,143187.44,111871.92071540408,111871.92071540408,31315.519284595932,31315.519284595932
Bradford Bid,daily,2025-01-14,210819.95,210819.95,164712.99948951844,164712.99948951844,46106.950510481576,46106.950510481576
Bradford Bid,daily,2025-01-15,182149.26,182149.26,142312.6747226539,142312.6747226539,39836.5852773461,39836.5852773461
Bradford Bid,daily,2025-01-16,179754.62,179754.62,140441.7496176172,140441.7496176172,39312.8703823828,39312.8703823828
Bradford Bid,daily,2025-01-17,205890.02,205890.02,160861.25985304965,160861.25985304965,45028.76014695033,45028.76014695033
Bradford Bid,daily,2025-01-18,210202.25,210202.25,163161.7794219147,163161.7794219147,47040.470578085326,47040.470578085326
Bradford Bid,daily,2025-01-19,173760.93,173760.93,134875.54263956143,134875.54263956143,38885.387360438544,38885.387360438544
Bradford Bid,daily,2025-01-20,190314.76,190314.76,148692.35557037094,148692.35557037094,41622.40442962907,41622.40442962907
Bradford Bid,daily,2025-01-21,191025.35,191025.35,149247.53742250238,149247.53742250238,41777.81257749763,41777.81257749763
Bradford Bid,daily,2025-01-22,187791.75,187791.75,146721.13536639095,146721.13536639095,41070.61463360905,41070.61463360905
Bradford Bid,daily,2025-01-23,183265.86,183265.86,143185.0709794123,143185.0709794123,40080.78902058768,40080.78902058768
Bradford Bid,daily,2025-01-24,230977.73,230977.73,180462.21300963275,180462.21300963275,50515.51699036726,50515.51699036726
Bradford Bid,daily,2025-01-25,180657.33,180657.33,140228.61995250787,140228.61995250787,40428.71004749212,40428.71004749212
Bradford Bid,daily,2025-01-26,169101.81,169101.81,131259.07178951,131259.07178951,37842.73821049002,37842.73821049002
Bradford Bid,daily,2025-01-27,142519.65,142519.65,111350.17837589062,111350.17837589062,31169.471624109367,31169.471624109367
Bradford Bid,daily,2025-01-28,170214.73,170214.73,132988.26195338022,132988.26195338022,37226.468046619804,37226.468046619804
Bradford Bid,daily,2025-01-29,195002.51,195002.51,152354.88069361943,152354.88069361943,42647.62930638058,42647.62930638058
Bradford Bid,daily,2025-01-30,154925.1,154925.1,121042.5195396052,121042.5195396052,33882.580460394805,33882.580460394805
Bradford Bid,daily,2025-01-31,126785.06,126785.06,99056.79003841222,99056.79003841222,27728.269961587775,27728.269961587775
Bradford Bid,daily,2025-02-01,208503.5,208503.5,161843.18710050528,161843.18710050528,46660.31289949472,46660.31289949472
Bradford Bid,daily,2025-02-02,146210.13,146210.13,113490.24561016579,113490.24561016579,32719.88438983422,32719.88438983422
Bradford Bid,daily,2025-02-03,198128.72,198128.72,154797.37926234657,154797.37926234657,43331.34073765344,43331.34073765344
Bradford Bid,daily,2025-02-04,162268.29,162268.29,126779.73203169354,126779.73203169354,35488.55796830648,35488.55796830648
Bradford Bid,daily,2025-02-05,234657.75,234657.75,183337.4016831023,183337.4016831023,51320.3483168977,51320.3483168977
Bradford Bid,daily,2025-02-06,139164.36,139164.36,108728.7002849548,108728.7002849548,30435.65971504519,30435.65971504519
Bradford Bid,daily,2025-02-07,207672.19,207672.19,162253.66396992872,162253.66396992872,45418.52603007128,45418.52603007128
Bradford Bid,daily,2025-02-08,203640.04,203640.04,158068.10482737402,158068.10482737402,45571.93517262598,45571.93517262598
Bradford Bid,daily,2025-02-09,180844.29,180844.29,140373.7407886584,140373.7407886584,40470.549211341604,40470.549211341604
Bradford Bid,daily,2025-02-10,220897.18,220897.18,172586.3092965161,172586.3092965161,48310.870703483895,48310.870703483895
Bradford Bid,daily,2025-02-11,215943.2,215943.2,168715.77946662533,168715.77946662533,47227.42053337469,47227.42053337469
Bradford Bid,daily,2025-02-12,180323.69,180323.69,140886.36231494258,140886.36231494258,39437.327685057426,39437.327685057426
Bradford Bid,daily,2025-02-13,182724.52,182724.52,142762.1236485565,142762.1236485565,39962.396351443494,39962.396351443494
Bradford Bid,daily,2025-02-14,213574.8,213574.8,166865.35559549273,166865.35559549273,46709.44440450726,46709.44440450726
Bradford Bid,daily,2025-02-15,230587.29,230587.29,178984.91832735887,178984.91832735887,51602.37167264113,51602.37167264113
Bradford Bid,daily,2025-02-16,158526.81,158526.81,123050.61627874953,123050.61627874953,35476.19372125047,35476.19372125047
Bradford Bid,daily,2025-02-17,210875.38,210875.38,164756.30678354684,164756.30678354684,46119.07321645317,46119.07321645317
Bradford Bid,daily,2025-02-18,163449.08,163449.08,127702.27974440869,127702.27974440869,35746.80025559129,35746.80025559129
Bradford Bid,daily,2025-02-19,189037.21,189037.21,147694.2095576343,147694.2095576343,41343.00044236569,41343.00044236569
Bradford Bid,daily,2025-02-20,222233.35,222233.35,173630.254940787,173630.254940787,48603.095059212996,48603.095059212996
Bradford Bid,daily,2025-02-21,238225.97,238225.97,186125.24134931268,186125.24134931268,52100.72865068732,52100.72865068732
Bradford Bid,daily,2025-02-22,221326.87,221326.87,171796.85727951428,171796.85727951428,49530.0127204857,49530.0127204857
Bradford Bid,daily,2025-02-23,226688.08,226688.08,175958.2997162844,175958.2997162844,50729.78028371557,50729.78028371557
Bradford Bid,daily,2025-02-24,167738.67,167738.67,131053.72364466694,131053.72364466694,36684.94635533308,36684.94635533308
Bradford Bid,daily,2025-02-25,163775.37,163775.37,127957.20915029953,127957.20915029953,35818.16084970046,35818.16084970046
Bradford Bid,daily,2025-02-26,223511.32,223511.32,174628.72909827362,174628.72909827362,48882.590901726384,48882.590901726384
Bradford Bid,daily,2025-02-27,184949.37,184949.37,144500.39233192473,144500.39233192473,40448.97766807527,40448.97766807527
Bradford Bid,daily,2025-02-28,195427.6,195427.6,152687.00224546023,152687.00224546023,42740.59775453978,42740.59775453978
Bradford Bid,daily,2025-03-01,177832.51,177832.51,138035.9571349281,138035.9571349281,39796.55286507192,39796.55286507192
Bradford Bid,daily,2025-03-02,168964.01,168964.01,131152.10959855182,131152.10959855182,37811.9004014482,37811.9004014482
Bradford Bid,daily,2025-03-03,167589.11,167589.11,130936.87286178963,130936.87286178963,36652.23713821037,36652.23713821037
Bradford Bid,daily,2025-03-04,164742.55,164742.55,128712.86400576397,128712.86400576397,36029.68599423601,36029.68599423601
Bradford Bid,daily,2025-03-05,166824.26,166824.26,130339.29783314762,130339.29783314762,36484.96216685238,36484.96216685238
Bradford Bid,daily,2025-03-06,158625.15,158625.15,123933.35759246117,123933.35759246117,34691.79240753883,34691.79240753883
Bradford Bid,daily,2025-03-07,183944.29,183944.29,143715.12631925882,143715.12631925882,40229.16368074118,40229.16368074118
Bradford Bid,daily,2025-03-08,221755.19,221755.19,172129.32495463194,172129.32495463194,49625.865045368075,49625.865045368075
Bradford Bid,daily,2025-03-09,177187.35,177187.35,137535.1753706423,137535.1753706423,39652.17462935771,39652.17462935771
Bradford Bid,daily,2025-03-10,233623.45,233623.45,182529.3061714014,182529.3061714014,51094.14382859861,51094.14382859861
Bradford Bid,daily,2025-03-11,205869.21,205869.21,160845.0010619847,160845.0010619847,45024.2089380153,45024.2089380153
Bradford Bid,daily,2025-03-12,261170.37,261170.37,204051.63278184697,204051.63278184697,57118.73721815304,57118.73721815304
Bradford Bid,daily,2025-03-13,174873.58,174873.58,136628.2075926413,136628.2075926413,38245.3724073587,38245.3724073587
Bradford Bid,daily,2025-03-14,152186.22,152186.22,118902.64074710073,118902.64074710073,33283.57925289927,33283.57925289927
Bradford Bid,daily,2025-03-15,214228.57,214228.57,166287.06250390853,166287.06250390853,47941.507496091464,47941.507496091464
Bradford Bid,daily,2025-03-16,149529.75,149529.75,116066.97876218759,116066.97876218759,33462.77123781241,33462.77123781241
Bradford Bid,daily,2025-03-17,213286.51,213286.51,166640.11547650574,166640.11547650574,46646.39452349426,46646.39452349426
Bradford Bid,daily,2025-03-18,204961.24,204961.24,160135.60680329855,160135.60680329855,44825.633196701434,44825.633196701434
Bradford Bid,daily,2025-03-19,182324.34,182324.34,142449.46420557817,142449.46420557817,39874.87579442181,39874.87579442181
Bradford Bid,daily,2025-03-20,200533.88,200533.88,156676.52361207348,156676.52361207348,43857.35638792653,43857.35638792653
Bradford Bid,daily,2025-03-21,200943.08,200943.08,156996.23035420632,156996.23035420632,43946.84964579367,43946.84964579367
Bradford Bid,daily,2025-03-22,196504.33,196504.33,152529.27191269898,152529.27191269898,43975.05808730101,43975.05808730101
Bradford Bid,daily,2025-03-23,197768.88,197768.88,153510.83242486278,153510.83242486278,44258.04757513722,44258.04757513722
Bradford Bid,daily,2025-03-24,216982.21,216982.21,169527.55488730824,169527.55488730824,47454.655112691755,47454.655112691755
Bradford Bid,daily,2025-03-25,189058.9,189058.9,147711.1558900802,147711.1558900802,41347.74410991979,41347.74410991979
Bradford Bid,daily,2025-03-26,193769.92,193769.92,151391.86179507218,151391.86179507218,42378.05820492783,42378.05820492783
Bradford Bid,daily,2025-03-27,186667,186667,145842.3715388887,145842.3715388887,40824.628461111315,40824.628461111315
Bradford Bid,daily,2025-03-28,204490.2,204490.2,159767.58465321484,159767.58465321484,44722.61534678516,44722.61534678516
Bradford Bid,daily,2025-03-29,253732.18,253732.18,196950.28947312196,196950.28947312196,56781.890526878036,56781.890526878036
Bradford Bid,daily,2025-03-30,181693.83,181693.83,141033.16502455546,141033.16502455546,40660.66497544453,40660.66497544453
Bradford Bid,daily,2025-03-31,198708.58,198708.58,155250.42215455856,155250.42215455856,43458.15784544142,43458.15784544142
Bradford Bid,daily,2025-04-01,152229.85,152229.85,118936.72873624848,118936.72873624848,33293.12126375153,33293.12126375153
Bradford Bid,daily,2025-04-02,276907.26,276907.26,216346.8181024801,216346.8181024801,60560.44189751992,60560.44189751992
Bradford Bid,daily,2025-04-03,166127.33,166127.33,129794.78849836107,129794.78849836107,36332.541501638916,36332.541501638916
Bradford Bid,daily,2025-04-04,196726.16,196726.16,153701.56330866658,153701.56330866658,43024.596691333434,43024.596691333434
Bradford Bid,daily,2025-04-05,225198.94,225198.94,174802.4094619777,174802.4094619777,50396.53053802232,50396.53053802232
Bradford Bid,daily,2025-04-06,191630.57,191630.57,148746.1946427109,148746.1946427109,42884.37535728909,42884.37535728909
Bradford Bid,daily,2025-04-07,242225.75,242225.75,189250.25755910776,189250.25755910776,52975.49244089225,52975.49244089225
Bradford Bid,daily,2025-04-08,226866.08,226866.08,177249.79310178684,177249.79310178684,49616.28689821316,49616.28689821316
Bradford Bid,daily,2025-04-09,221862.93,221862.93,173340.84689723654,173340.84689723654,48522.08310276346,48522.08310276346
Bradford Bid,daily,2025-04-10,196376.85,196376.85,153428.6484452882,153428.6484452882,42948.2015547118,42948.2015547118
Bradford Bid,daily,2025-04-11,228042.09,228042.09,178168.60621472832,178168.60621472832,49873.483785271674,49873.483785271674
Bradford Bid,daily,2025-04-12,202818.58,202818.58,157430.47666057787,157430.47666057787,45388.10333942212,45388.10333942212
Bradford Bid,daily,2025-04-13,234856.63,234856.63,182298.83676237636,182298.83676237636,52557.79323762363,52557.79323762363
Bradford Bid,daily,2025-04-14,270130.56,270130.56,211052.20256139577,211052.20256139577,59078.35743860424,59078.35743860424
Bradford Bid,daily,2025-04-15,160418.88,160418.88,125334.79350293518,125334.79350293518,35084.08649706483,35084.08649706483
Bradford Bid,daily,2025-04-16,188370.09,188370.09,147172.99068712682,147172.99068712682,41197.099312873186,41197.099312873186
Bradford Bid,daily,2025-04-17,188370.98,188370.98,147173.68604147798,147173.68604147798,41197.29395852202,41197.29395852202
Bradford Bid,daily,2025-04-18,157041.6,157041.6,122696.13469044631,122696.13469044631,34345.46530955369,34345.46530955369
Bradford Bid,daily,2025-04-19,189757.35,189757.35,147292.1763891065,147292.1763891065,42465.17361089351,42465.17361089351
Bradford Bid,daily,2025-04-20,151238.08,151238.08,117393.0072068871,117393.0072068871,33845.072793112886,33845.072793112886
Bradford Bid,daily,2025-04-21,271356.63,271356.63,212010.12740334793,212010.12740334793,59346.50259665207,59346.50259665207
Bradford Bid,daily,2025-04-22,163452.88,163452.88,127705.2486730991,127705.2486730991,35747.63132690091,35747.63132690091
Bradford Bid,daily,2025-04-23,184038.17,184038.17,143788.47448385178,143788.47448385178,40249.69551614824,40249.69551614824
Bradford Bid,daily,2025-04-24,240658.54,240658.54,188025.80105046154,188025.80105046154,52632.73894953846,52632.73894953846
Bradford Bid,daily,2025-04-25,170155.99,170155.99,132942.36856620305,132942.36856620305,37213.62143379693,37213.62143379693
Bradford Bid,daily,2025-04-26,236601.54,236601.54,183653.2590891169,183653.2590891169,52948.280910883106,52948.280910883106
Bradford Bid,daily,2025-04-27,221186.62,221186.62,171687.9933660028,171687.9933660028,49498.626633997206,49498.626633997206
Bradford Bid,daily,2025-04-28,162891.9,162891.9,127266.95666869613,127266.95666869613,35624.94333130386,35624.94333130386
Bradford Bid,daily,2025-04-29,245182.53,245182.53,191560.380973095,191560.380973095,53622.14902690502,53622.14902690502
Bradford Bid,daily,2025-04-30,189550.01,189550.01,148094.8586714313,148094.8586714313,41455.1513285687,41455.1513285687
Bradford Bid,daily,2025-05-01,194159.43,194159.43,151696.1847988067,151696.1847988067,42463.2452011933,42463.2452011933
Bradford Bid,daily,2025-05-02,206863.6,206863.6,161621.91500946635,161621.91500946635,45241.684990533664,45241.684990533664
Bradford Bid,daily,2025-05-03,236211.22,236211.22,183350.28751890792,183350.28751890792,52860.93248109209,52860.93248109209
Bradford Bid,daily,2025-05-04,199413.68,199413.68,154787.54803943477,154787.54803943477,44626.131960565224,44626.131960565224
Bradford Bid,daily,2025-05-05,151085.39,151085.39,118042.56554440742,118042.56554440742,33042.8244555926,33042.8244555926
Bradford Bid,daily,2025-05-06,193435.74,193435.74,151130.76795566367,151130.76795566367,42304.97204433632,42304.97204433632
Bradford Bid,daily,2025-05-07,189991.42,189991.42,148439.73099070028,148439.73099070028,41551.689009299735,41551.689009299735
