area,common.dataType,Category,Value (All days of week),Value (Weekdays only),Value (Weekends only)
Darley's street market,Dwell Time Distribution,0-30 min,47.9%,46.0%,52.5%
Darley's street market,Dwell Time Distribution,30-2hrs,37.8%,34.8%,44.8%
Darley's street market,Dwell Time Distribution,2-4 hrs,6.0%,7.4%,2.7%
Darley's street market,Dwell Time Distribution,4-6 hrs,1.5%,2.1%,0.0%
Darley's street market,Dwell Time Distribution,6-8 hrs,3.9%,5.5%,0.0%
Darley's street market,Dwell Time Distribution,8-10 hrs,2.9%,4.1%,0.0%
Darley's street market,Dwell Time Distribution,10hrs+,0.0%,0.0%,0.0%
Darley's street market,Dwell Time by Day of Week,Monday,23.6 minutes,23.6 minutes,0.0 minutes
Darley's street market,Dwell Time by Day of Week,Tuesday,138.9 minutes,138.9 minutes,0.0 minutes
Darley's street market,Dwell Time by Day of Week,Wednesday,109.8 minutes,109.8 minutes,0.0 minutes
Darley's street market,Dwell Time by Day of Week,Thursday,205.6 minutes,205.6 minutes,0.0 minutes
Darley's street market,Dwell Time by Day of Week,Friday,64.8 minutes,64.8 minutes,0.0 minutes
Darley's street market,Dwell Time by Day of Week,Saturday,33.5 minutes,0.0 minutes,33.5 minutes
Darley's street market,Dwell Time by Day of Week,Sunday,45.6 minutes,0.0 minutes,45.6 minutes
