area,Interval,Date,Transaction Amount,Industry,Segment
Darley's street market,dayOfWeek,Monday,382.87,Total Retail,Overall
Darley's street market,dayOfWeek,Tuesday,376.5,Total Retail,Overall
Darley's street market,dayOfWeek,Wednesday,388.23,Total Retail,Overall
Darley's street market,dayOfWeek,Thursday,409.66,Total Retail,Overall
Darley's street market,dayOfWeek,Friday,483,Total Retail,Overall
Darley's street market,dayOfWeek,Saturday,539.83,Total Retail,Overall
Darley's street market,dayOfWeek,Sunday,308.04,Total Retail,Overall
Darley's street market,weekly,2024-12-30,356.35,Total Retail,Overall
Darley's street market,weekly,2025-01-06,330.93,Total Retail,Overall
Darley's street market,weekly,2025-01-13,399.51,Total Retail,Overall
Darley's street market,weekly,2025-01-20,371.23,Total Retail,Overall
Darley's street market,weekly,2025-01-27,415.42,Total Retail,Overall
Darley's street market,weekly,2025-02-03,404.49,Total Retail,Overall
Darley's street market,weekly,2025-02-10,413.51,Total Retail,Overall
Darley's street market,weekly,2025-02-17,415.94,Total Retail,Overall
Darley's street market,weekly,2025-02-24,389.53,Total Retail,Overall
Darley's street market,weekly,2025-03-03,382.05,Total Retail,Overall
Darley's street market,weekly,2025-03-10,383.2,Total Retail,Overall
Darley's street market,weekly,2025-03-17,384.72,Total Retail,Overall
Darley's street market,weekly,2025-03-24,467.05,Total Retail,Overall
Darley's street market,weekly,2025-03-31,392.01,Total Retail,Overall
Darley's street market,weekly,2025-04-07,415.43,Total Retail,Overall
Darley's street market,weekly,2025-04-14,420.48,Total Retail,Overall
Darley's street market,weekly,2025-04-21,403.37,Total Retail,Overall
Darley's street market,weekly,2025-04-28,479.3,Total Retail,Overall
Darley's street market,weekly,2025-05-05,405.47,Total Retail,Overall
Darley's street market,weekly,2025-05-12,395.68,Total Retail,Overall
Darley's street market,weekly,2025-05-19,424.41,Total Retail,Overall
Darley's street market,weekly,2025-05-26,445.31,Total Retail,Overall
Darley's street market,weekly,2025-06-02,431.79,Total Retail,Overall
Darley's street market,weekly,2025-06-09,416.5,Total Retail,Overall
Darley's street market,weekly,2025-06-16,390.85,Total Retail,Overall
Darley's street market,weekly,2025-06-23,426.05,Total Retail,Overall
Darley's street market,weekly,2025-06-30,427.98,Total Retail,Overall
Darley's street market,weekly,2025-07-07,478.34,Total Retail,Overall
Darley's street market,weekly,2025-07-14,534.3,Total Retail,Overall
Darley's street market,weekly,2025-07-21,550.23,Total Retail,Overall
Darley's street market,weekly,2025-07-28,487.29,Total Retail,Overall
Darley's street market,weekly,2025-08-04,446.78,Total Retail,Overall
Darley's street market,weekly,2025-08-11,429.94,Total Retail,Overall
Darley's street market,weekly,2025-08-18,460.63,Total Retail,Overall
Darley's street market,weekly,2025-08-25,484.88,Total Retail,Overall
Darley's street market,weekly,2025-09-01,463.76,Total Retail,Overall
Darley's street market,weekly,2025-09-08,398.79,Total Retail,Overall
Darley's street market,weekly,2025-09-15,353.19,Total Retail,Overall
Darley's street market,weekly,2025-09-22,374.49,Total Retail,Overall
Darley's street market,weekly,2025-09-29,404.1,Total Retail,Overall
Darley's street market,weekly,2025-10-06,342.79,Total Retail,Overall
Darley's street market,weekly,2025-10-13,351.61,Total Retail,Overall
Darley's street market,weekly,2025-10-20,366.89,Total Retail,Overall
Darley's street market,weekly,2025-10-27,415.18,Total Retail,Overall
Darley's street market,weekly,2025-11-03,370.04,Total Retail,Overall
Darley's street market,weekly,2025-11-10,343.07,Total Retail,Overall
Darley's street market,weekly,2025-11-17,344.39,Total Retail,Overall
Darley's street market,weekly,2025-11-24,415.14,Total Retail,Overall
Darley's street market,monthly,2025-01-01,366.21,Total Retail,Overall
Darley's street market,monthly,2025-02-01,410.98,Total Retail,Overall
Darley's street market,monthly,2025-03-01,399.53,Total Retail,Overall
Darley's street market,monthly,2025-04-01,415.31,Total Retail,Overall
Darley's street market,monthly,2025-05-01,430.27,Total Retail,Overall
Darley's street market,monthly,2025-06-01,414.71,Total Retail,Overall
Darley's street market,monthly,2025-07-01,497.96,Total Retail,Overall
Darley's street market,monthly,2025-08-01,457.75,Total Retail,Overall
Darley's street market,monthly,2025-09-01,394.22,Total Retail,Overall
Darley's street market,monthly,2025-10-01,376.02,Total Retail,Overall
Darley's street market,monthly,2025-11-01,370.7,Total Retail,Overall
